venue,symbol,asset,instrument,minutes,bars,status
binance,0GUSDT,0G,binance:0GUSDT:segment0,60,8552,included
binance,0GUSDT,0G,binance:0GUSDT:segment0,240,2138,included
binance,1000000BOBUSDT,1000000BOB,binance:1000000BOBUSDT:segment0,60,11055,included
binance,1000000BOBUSDT,1000000BOB,binance:1000000BOBUSDT:segment0,240,2763,included
binance,1000000MOGUSDT,1000000MOG,binance:1000000MOGUSDT:segment0,60,16091,included
binance,1000000MOGUSDT,1000000MOG,binance:1000000MOGUSDT:segment0,240,4022,included
binance,1000BONKUSDT,1000BONK,binance:1000BONKUSDT:segment0,60,24514,included
binance,1000BONKUSDT,1000BONK,binance:1000BONKUSDT:segment0,240,6128,included
binance,1000CATUSDT,1000CAT,binance:1000CATUSDT:segment0,60,16499,included
binance,1000CATUSDT,1000CAT,binance:1000CATUSDT:segment0,240,4124,included
binance,1000CHEEMSUSDT,1000CHEEMS,binance:1000CHEEMSUSDT:segment0,60,15660,included
binance,1000CHEEMSUSDT,1000CHEEMS,binance:1000CHEEMSUSDT:segment0,240,3915,included
binance,1000FLOKIUSDT,1000FLOKI,binance:1000FLOKIUSDT:segment0,60,29311,included
binance,1000FLOKIUSDT,1000FLOKI,binance:1000FLOKIUSDT:segment0,240,7327,included
binance,1000LUNCUSDT,1000LUNC,binance:1000LUNCUSDT:segment0,60,29448,included
binance,1000LUNCUSDT,1000LUNC,binance:1000LUNCUSDT:segment0,240,7362,included
binance,1000PEPEUSDT,1000PEPE,binance:1000PEPEUSDT:segment0,60,29335,included
binance,1000PEPEUSDT,1000PEPE,binance:1000PEPEUSDT:segment0,240,7333,included
binance,1000RATSUSDT,1000RATS,binance:1000RATSUSDT:segment0,60,23962,included
binance,1000RATSUSDT,1000RATS,binance:1000RATSUSDT:segment0,240,5990,included
binance,1000SATSUSDT,1000SATS,binance:1000SATSUSDT:segment0,60,24034,included
binance,1000SATSUSDT,1000SATS,binance:1000SATSUSDT:segment0,240,6008,included
binance,1000SHIBUSDT,1000SHIB,binance:1000SHIBUSDT:segment0,60,29448,included
binance,1000SHIBUSDT,1000SHIB,binance:1000SHIBUSDT:segment0,240,7362,included
binance,1000WHYUSDT,1000WHY,binance:1000WHYUSDT:segment0,60,11445,included
binance,1000WHYUSDT,1000WHY,binance:1000WHYUSDT:segment0,240,2861,included
binance,1000XECUSDT,1000XEC,binance:1000XECUSDT:segment0,60,29448,included
binance,1000XECUSDT,1000XEC,binance:1000XECUSDT:segment0,240,7362,included
binance,1000XUSDT,1000X,binance:1000XUSDT:segment0,60,8780,included
binance,1000XUSDT,1000X,binance:1000XUSDT:segment0,240,2194,included
binance,1INCHUSDT,1INCH,binance:1INCHUSDT:segment0,60,29448,included
binance,1INCHUSDT,1INCH,binance:1INCHUSDT:segment0,240,7362,included
binance,1MBABYDOGEUSDT,1MBABYDOGE,binance:1MBABYDOGEUSDT:segment0,60,17340,included
binance,1MBABYDOGEUSDT,1MBABYDOGE,binance:1MBABYDOGEUSDT:segment0,240,4335,included
binance,2ZUSDT,2Z,binance:2ZUSDT:segment0,60,8195,included
