split,stage,events,mean_net_bp,delta_mean_net_bp_vs_prior,events_removed_vs_prior,profit_factor,equal_risk_1pct_return,max_drawdown,matched_control_excess_bp,paired_signflip_p_one_sided
development,baseline,177,-14.307710839509998,,,0.6176556477579283,-0.708876439266945,-0.7146191117789179,8.911967428449595,0.0698593014069859
development,fixed_bundle,35,-24.568086573341738,-10.26037573383174,142.0,0.398252330365661,-0.2832967646548286,-0.2832967646548286,9.080245981140584,0.2147478525214748
development,fixed_plus_fee,31,-25.268973672659445,-0.7008870993177077,4.0,0.4145465840128812,-0.2090219044972893,-0.2090219044972893,9.225742411000212,0.2385576144238557
development,final,31,-23.15172704913092,2.1172466235285263,0.0,0.4359308213634252,-0.1974795456133634,-0.1974795456133634,11.589733928506393,0.1822581774182258
validation,baseline,94,-19.261303043521984,,,0.5047864724662948,-0.544606873055631,-0.5619413708280584,-5.779518581132289,0.7930220697793022
validation,fixed_bundle,30,-8.73372075508648,10.527582288435504,64.0,0.733013319683677,-0.202808061786614,-0.2700873744640145,10.13422397789311,0.1528084719152808
validation,fixed_plus_fee,22,-4.354997654924768,4.378723100161713,8.0,0.8813380844358473,-0.0830805483146054,-0.1539787621170225,11.990691416482845,0.1858881411185888
validation,final,22,-4.354997654924768,0.0,0.0,0.8813380844358473,-0.0830805483146054,-0.1539787621170225,11.3580648215287,0.1993780062199378
