split,family,bucket,events,mean_net_bp,win_rate
development,gap,2,9,-21.055091957488887,0.3333333333333333
development,gap,3–5,15,-38.397341850639,0.2
development,gap,6–8,7,6.821773836276,0.42857142857142855
development,fee_to_risk,0.50–0.75,10,-26.9788963277958,0.2
development,fee_to_risk,≤0.35,9,-7.7801267755734465,0.4444444444444444
development,fee_to_risk,1.00–1.25,1,-37.618053491561,0.0
development,fee_to_risk,0.75–1.00,3,-9.669286262467333,0.3333333333333333
development,fee_to_risk,0.35–0.50,8,-38.90844024824637,0.25
development,side,long,13,-17.770970167985077,0.38461538461538464
development,side,short,18,-27.037829241069282,0.2222222222222222
validation,gap,2,7,-16.836734259545715,0.2857142857142857
validation,gap,6–8,5,-61.566247939454406,0.0
validation,gap,3–5,10,32.98784311057509,0.6
validation,fee_to_risk,0.35–0.50,5,-1.1594228363993997,0.4
validation,fee_to_risk,0.75–1.00,5,-9.462471882775002,0.4
validation,fee_to_risk,≤0.35,6,25.94455803020217,0.5
validation,fee_to_risk,0.50–0.75,3,-28.47811028821867,0.3333333333333333
validation,fee_to_risk,1.00–1.25,3,-37.644497376341995,0.0
validation,side,long,11,1.7728346467482756,0.36363636363636365
validation,side,short,11,-10.482829956597454,0.36363636363636365
