fee_to_risk_max,events,mean_net_bp,median_net_bp,win_rate,profit_factor,equal_risk_1pct_return,max_drawdown,tp,sl,protected_stop,timeout,minimum_fold_events,robust_score_bp,worst_fold_net_bp,eligible,2023H1_events,2023H2_events,2024H1_events,2024H2_events,2023H1_mean_net_bp,2023H2_mean_net_bp,2024H1_mean_net_bp,2024H2_mean_net_bp
,35,-24.568086573341738,-46.67332404803658,0.2571428571428571,0.39825233036566104,-0.28329676465482867,-0.28329676465482867,4,24,0,7,5,-37.32100687702702,-50.19156843124694,True,11,8,11,5,-50.19156843124694,10.407270618786342,-21.271235785094042,-31.410069727500144
0.35,10,-15.609130322987811,-47.93873239491595,0.4,0.6542842681782136,-0.0427874778949906,-0.0427874778949906,0,5,0,5,1,-51.91259807296643,-103.1715885211981,False,4,3,2,1,-66.2574946135405,29.80233210794808,61.35163371081888,-103.1715885211981
0.5,19,-30.466944883499252,-65.63464532938433,0.2631578947368421,0.4061433807436101,-0.12627205219807958,-0.12627205219807958,1,13,0,5,3,-46.49894554489555,-62.181692139082294,False,5,3,8,3,-62.181692139082294,29.80233210794808,-35.77070352173346,-23.73495341368361
0.75,29,-24.36630393005068,-51.576992136710395,0.27586206896551724,0.44100723276768655,-0.1747321449961211,-0.1747321449961211,3,19,0,7,4,-40.816568611597475,-54.44873828284943,True,9,5,11,4,-54.44873828284943,27.824205122365846,-21.271235785094042,-30.430400350404934
1.0,30,-24.85733767869604,-49.65786117117008,0.26666666666666666,0.42653875647960904,-0.19176446594517016,-0.19176446594517016,3,20,0,7,4,-38.29913757815102,-53.66554161146679,True,9,6,11,4,-53.66554161146679,15.495823196662332,-21.271235785094042,-30.430400350404934
1.25,31,-25.268973672659445,-48.79898118177127,0.25806451612903225,0.41454658401288125,-0.2090219044972893,-0.2090219044972893,3,21,0,7,4,-38.0501341311158,-52.060792799476275,True,10,6,11,4,-52.060792799476275,15.495823196662332,-21.271235785094042,-30.430400350404934
