protection_trigger_r,events,mean_net_bp,median_net_bp,win_rate,profit_factor,equal_risk_1pct_return,max_drawdown,tp,sl,protected_stop,timeout,minimum_fold_events,robust_score_bp,worst_fold_net_bp,eligible,2023H1_events,2023H2_events,2024H1_events,2024H2_events,2023H1_mean_net_bp,2023H2_mean_net_bp,2024H1_mean_net_bp,2024H2_mean_net_bp
,31,-25.268973672659445,-48.79898118177127,0.25806451612903225,0.41454658401288125,-0.2090219044972893,-0.2090219044972893,3,21,0,7,4,-38.0501341311158,-52.060792799476275,True,10,6,11,4,-52.060792799476275,15.495823196662332,-21.271235785094042,-30.430400350404934
1.0,31,-21.402229053760106,-47.73355831814373,0.3870967741935484,0.45012762663038003,-0.17881496602990654,-0.17881496602990654,3,19,5,4,4,-35.211435711107555,-46.67798514718023,True,10,6,11,4,-46.67798514718023,17.48789327178481,-16.354091583986374,-30.430400350404934
1.5,31,-23.15172704913092,-47.73355831814373,0.2903225806451613,0.4359308213634252,-0.19747954561336345,-0.19747954561336345,3,20,1,7,4,-35.15910686192966,-52.060792799476275,True,10,6,11,4,-52.060792799476275,15.495823196662332,-15.304449846059095,-30.430400350404934
2.0,31,-25.268973672659445,-48.79898118177127,0.25806451612903225,0.41454658401288125,-0.2090219044972893,-0.2090219044972893,3,21,0,7,4,-38.0501341311158,-52.060792799476275,True,10,6,11,4,-52.060792799476275,15.495823196662332,-21.271235785094042,-30.430400350404934
