fold,minutes,policy,baseline_n,n,retained_pct,symbols,universe_symbols,matched_n,matched_pct,mean_gross_bp,mean_net_bp,median_net_bp,win_pct,loss_count,loss_removed_pct,winner_retained_pct,control_net_bp,matched_case_net_bp,boundary_marks,tail_n,tail_retained_n,tail_count_pct,tail_profit_pct,excess_bp,p,months,p_resolution,ci_low,ci_high,p_holm_validation,portfolio_net_pct,portfolio_mdd_pct,portfolio_min_equity,incremental_net_pct,positive_delta_months,incremental_excess_bp,incremental_p,incremental_months,incremental_p_resolution,incremental_ci_low,incremental_ci_high,incremental_p_holm_validation
development,15,P00,13062,13062,100.0,48,54,13062,100.0,8.169287584110553,-11.830712415889447,-85.41961222734705,26.802939825447865,9561,0.0,100.0,-29.5212647626221,-11.830712415889447,2,1307,1307,100.0,100.0,17.69055234673265,0.0095,24,0.0001,4.116373774219298,30.94225612403644,,-28.543988071415825,39.42976482319117,0.6753928723956802,,,,,,,,,
development,15,S01,13062,3457,26.466084826213443,48,54,3457,100.0,9.177991105915714,-10.822008894084286,-95.86933614330937,30.835984958056116,2391,74.99215563225604,30.44844330191374,-25.92631643515164,-10.822008894084286,0,1307,422,32.28768171384851,33.24615310568462,15.10430754106735,0.0546,24,0.0001,-2.9363266365515632,31.6109686936048,,-8.080069640376275,15.955594019227092,0.8861271386918622,20.463918431039552,17.0,85.26632679599814,0.0012,24.0,0.0001,32.63901895996659,141.1919468171157,
development,15,H00,13062,12995,99.48706170571123,47,54,12995,100.0,8.611469046162947,-11.388530953837053,-85.22037621858878,26.825702193151212,9509,0.5438761635812139,99.57155098543274,-29.27729023668305,-11.388530953837053,2,1307,1300,99.46442234123948,99.59306883623701,17.888759282845996,0.0081,24,0.0001,4.3882435504165755,30.999497268094803,,-27.909660762018575,38.629907438498236,0.6845343574163951,0.6343273093972535,13.0,2.64303045582189,0.2042,24.0,0.0001,-3.129368529431497,8.573696361352496,
development,15,H01,13062,5123,39.22064002449854,47,54,5123,100.0,17.16563705085542,-2.834362949144578,-91.18254879448838,26.605504587155966,3760,60.67356971028135,38.93173379034561,-14.058286063231257,-2.834362949144578,1,1307,543,41.54552410099465,46.782529674944676,11.22392311408668,0.1601,24,0.0001,-9.09650946128586,32.5688998757206,,-7.50740795714403,14.230122856306604,0.924798548854544,21.036580114271796,18.0,87.65241714279914,0.0463,24.0,0.0001,-13.154999198668406,178.3911549823555,
validation,15,P00,7529,7529,100.0,54,54,7528,99.98671802364191,9.991641525893336,-10.008358474106666,-97.62899688329661,28.11794395005977,5412,0.0,100.0,-24.330019726918724,-9.951326718263678,22,753,753,100.0,100.0,14.37869300865505,0.055908203125,12,0.000244140625,-1.2937068900953173,29.713875644282712,0.33544921875,-4.931337720246476,14.111774130510657,0.9290335533583824,,,,,,,,,
validation,15,S01,7529,2233,29.65865320759729,54,54,2233,100.0,4.345507848807751,-15.65449215119225,-113.76558603491291,30.989699955217198,1541,71.52623798965263,32.687765706188,-20.125160446361797,-15.65449215119225,5,753,254,33.731739707835324,34.20890228107737,4.470668295169545,0.365966796875,12,0.000244140625,-19.55528494113616,27.650110747004625,0.922119140625,-5.520409545317229,9.686896925079868,0.9266602592038861,-0.5890718250707527,5.0,-4.90893187558962,0.520751953125,12.0,0.000244140625,-209.40241858754405,183.28878615461963,1.0
validation,15,H00,7529,7499,99.60154070925753,54,54,7499,100.0,8.76121893491532,-11.23878106508468,-97.59052227598761,28.09707961061475,5392,0.3695491500369519,99.5276334435522,-24.870523717091256,-11.23878106508468,22,753,748,99.33598937583001,98.09184756611232,13.63174265200658,0.060546875,12,0.000244140625,-1.652385292809424,28.530519368501714,0.33544921875,-11.577297279242027,18.649899463793705,0.874632012628506,-6.645959558995552,4.0,-55.382996324962924,0.97802734375,12.0,0.000244140625,-100.22857056719356,-9.7488406665895,
validation,15,H01,7529,2960,39.314650019922965,54,54,2960,100.0,-3.1620213077467243,-23.162021307746723,-101.74796109831905,26.722972972972975,2169,59.92239467849224,37.364194615021255,-20.27885197323782,-23.162021307746723,16,753,296,39.309428950863214,35.19807832594207,-2.883169334508905,0.580810546875,12,0.000244140625,-30.928587711132412,23.615822330349673,0.922119140625,-11.88065945182254,14.28885000311919,0.8708618585791752,-6.949321731576063,6.0,-57.91101442980054,0.705322265625,12.0,0.000244140625,-259.94144741499434,134.47146336292062,1.0
development,60,P00,3090,3090,100.0,47,54,3089,99.96763754045307,59.218358307069686,39.218358307069686,-145.5002064791183,30.80906148867314,2138,0.0,100.0,-17.464340810118564,39.25717737993947,20,309,309,100.0,100.0,56.72151819005804,0.0031,24,0.0001,21.172564240158486,93.60939498208113,,15.995287395186764,10.372342137811131,0.9790839071402632,,,,,,,,,
development,60,S01,3090,704,22.783171521035598,47,54,704,100.0,47.05660617780712,27.05660617780711,-178.11553401197332,33.66477272727273,467,78.15715622076706,24.89495798319328,-14.610337356308884,27.05660617780711,3,309,70,22.653721682847898,24.461141085483334,41.66694353411601,0.102,24,0.0001,-18.419048727637644,106.18160862927267,,3.3459741858076653,6.54530898832828,0.9836996451715028,-12.649313209379098,11.0,-52.70547170574624,0.8222,24.0,0.0001,-164.28172600373424,49.63586353393886,
