fold,minutes,policy,time,equity
development,15,P00,2023-01-01T00:00:00+00:00,1.0
development,15,P00,2023-01-01T23:45:00+00:00,0.9992900711925079
development,15,P00,2023-01-02T23:45:00+00:00,1.000811543664694
development,15,P00,2023-01-03T23:45:00+00:00,1.0029905271823276
development,15,P00,2023-01-04T23:45:00+00:00,1.001803000146025
development,15,P00,2023-01-05T23:45:00+00:00,0.999889118646193
development,15,P00,2023-01-06T23:45:00+00:00,1.000808835003224
development,15,P00,2023-01-07T23:45:00+00:00,0.9997973044194305
development,15,P00,2023-01-08T23:45:00+00:00,1.0128703050800691
development,15,P00,2023-01-09T23:45:00+00:00,1.0270828609401623
development,15,P00,2023-01-10T23:45:00+00:00,1.022295897338943
development,15,P00,2023-01-11T23:45:00+00:00,1.0174011349714431
development,15,P00,2023-01-12T23:45:00+00:00,1.0139803759900257
development,15,P00,2023-01-13T23:45:00+00:00,1.0254078618692464
development,15,P00,2023-01-14T23:45:00+00:00,1.0460674110890018
development,15,P00,2023-01-15T23:45:00+00:00,1.0306501939070492
development,15,P00,2023-01-16T23:45:00+00:00,1.026479644135655
development,15,P00,2023-01-17T23:45:00+00:00,1.0194494609783151
development,15,P00,2023-01-18T23:45:00+00:00,1.0108635732684035
development,15,P00,2023-01-19T23:45:00+00:00,1.0074855683446398
development,15,P00,2023-01-20T23:45:00+00:00,1.025562177040106
development,15,P00,2023-01-21T23:45:00+00:00,1.0203534970721417
development,15,P00,2023-01-22T23:45:00+00:00,1.0136616771281866
development,15,P00,2023-01-23T23:45:00+00:00,1.0090610284130224
development,15,P00,2023-01-24T23:45:00+00:00,1.0135741174373731
development,15,P00,2023-01-25T23:45:00+00:00,1.0089872894207785
development,15,P00,2023-01-26T23:45:00+00:00,1.0227107980909014
development,15,P00,2023-01-27T23:45:00+00:00,1.0228332893364167
development,15,P00,2023-01-28T23:45:00+00:00,1.0212437609307554
development,15,P00,2023-01-29T23:45:00+00:00,1.024198687965927
development,15,P00,2023-01-30T23:45:00+00:00,1.0255271558646866
development,15,P00,2023-01-31T23:45:00+00:00,1.0207429116903968
development,15,P00,2023-02-01T23:45:00+00:00,1.0109933745543502
development,15,P00,2023-02-02T23:45:00+00:00,1.010619999685008
development,15,P00,2023-02-03T23:45:00+00:00,1.009043297706641
development,15,P00,2023-02-04T23:45:00+00:00,1.0082023095617245
development,15,P00,2023-02-05T23:45:00+00:00,1.0068916025198216
development,15,P00,2023-02-06T23:45:00+00:00,1.005149367986122
development,15,P00,2023-02-07T23:45:00+00:00,1.0005187125380897
development,15,P00,2023-02-08T23:45:00+00:00,1.000535413549134
development,15,P00,2023-02-09T23:45:00+00:00,1.0121613637994402
development,15,P00,2023-02-10T23:45:00+00:00,1.0107898420637071
development,15,P00,2023-02-11T23:45:00+00:00,1.0056807239980317
development,15,P00,2023-02-12T23:45:00+00:00,0.9968028975707922
development,15,P00,2023-02-13T23:45:00+00:00,0.9969535264443183
development,15,P00,2023-02-14T23:45:00+00:00,1.003711522461099
development,15,P00,2023-02-15T23:45:00+00:00,1.025519267561828
development,15,P00,2023-02-16T23:45:00+00:00,1.0182940618246554
development,15,P00,2023-02-17T23:45:00+00:00,1.0251494878669285
development,15,P00,2023-02-18T23:45:00+00:00,1.0203535118017895
development,15,P00,2023-02-19T23:45:00+00:00,1.0209941001215952
development,15,P00,2023-02-20T23:45:00+00:00,1.030628282897702
development,15,P00,2023-02-21T23:45:00+00:00,1.027931541717371
development,15,P00,2023-02-22T23:45:00+00:00,1.0303561901279525
development,15,P00,2023-02-23T23:45:00+00:00,1.0276974752245627
development,15,P00,2023-02-24T23:45:00+00:00,1.0415870697365268
development,15,P00,2023-02-25T23:45:00+00:00,1.0419184779176958
development,15,P00,2023-02-26T23:45:00+00:00,1.0369986907315911
development,15,P00,2023-02-27T23:45:00+00:00,1.032667189809406
development,15,P00,2023-02-28T23:45:00+00:00,1.03808085688261
development,15,P00,2023-03-01T23:45:00+00:00,1.0270758649428144
development,15,P00,2023-03-02T23:45:00+00:00,1.027732562332377
development,15,P00,2023-03-03T23:45:00+00:00,1.029005089645694
development,15,P00,2023-03-04T23:45:00+00:00,1.0310272426139269
development,15,P00,2023-03-05T23:45:00+00:00,1.0265685420622168
development,15,P00,2023-03-06T23:45:00+00:00,1.026518614068107
development,15,P00,2023-03-07T23:45:00+00:00,1.0236731233417187
development,15,P00,2023-03-08T23:45:00+00:00,1.0290493027036238
development,15,P00,2023-03-09T23:45:00+00:00,1.0338247794778421
development,15,P00,2023-03-10T23:45:00+00:00,1.0329591092491544
development,15,P00,2023-03-11T23:45:00+00:00,1.0325491319909386
development,15,P00,2023-03-12T23:45:00+00:00,1.0430461737907735
development,15,P00,2023-03-13T23:45:00+00:00,1.0689625909358709
development,15,P00,2023-03-14T23:45:00+00:00,1.076006748404633
development,15,P00,2023-03-15T23:45:00+00:00,1.0812969153311285
development,15,P00,2023-03-16T23:45:00+00:00,1.0699148683254422
development,15,P00,2023-03-17T23:45:00+00:00,1.0965880888422324
development,15,P00,2023-03-18T23:45:00+00:00,1.0940255001194323
development,15,P00,2023-03-19T23:45:00+00:00,1.0743065705745576
development,15,P00,2023-03-20T23:45:00+00:00,1.0812195630019155
development,15,P00,2023-03-21T23:45:00+00:00,1.074090289520395
development,15,P00,2023-03-22T23:45:00+00:00,1.0654422824273486
development,15,P00,2023-03-23T23:45:00+00:00,1.0578942483483325
development,15,P00,2023-03-24T23:45:00+00:00,1.0597073152311471
development,15,P00,2023-03-25T23:45:00+00:00,1.0579435113824587
development,15,P00,2023-03-26T23:45:00+00:00,1.053937276385347
development,15,P00,2023-03-27T23:45:00+00:00,1.0539861219696547
development,15,P00,2023-03-28T23:45:00+00:00,1.0547250075815893
development,15,P00,2023-03-29T23:45:00+00:00,1.0637006028309857
development,15,P00,2023-03-30T23:45:00+00:00,1.0603536776530438
development,15,P00,2023-03-31T23:45:00+00:00,1.05526183318115
development,15,P00,2023-04-01T23:45:00+00:00,1.053987301776447
development,15,P00,2023-04-02T23:45:00+00:00,1.0539186310176725
development,15,P00,2023-04-03T23:45:00+00:00,1.0448285713182335
development,15,P00,2023-04-04T23:45:00+00:00,1.0457323313291857
development,15,P00,2023-04-05T23:45:00+00:00,1.044410256267526
development,15,P00,2023-04-06T23:45:00+00:00,1.0409598055161784
development,15,P00,2023-04-07T23:45:00+00:00,1.0398661128585478
development,15,P00,2023-04-08T23:45:00+00:00,1.0380631776492009
development,15,P00,2023-04-09T23:45:00+00:00,1.034086535047155
development,15,P00,2023-04-10T23:45:00+00:00,1.041123435458584
development,15,P00,2023-04-11T23:45:00+00:00,1.0402202575937645
development,15,P00,2023-04-12T23:45:00+00:00,1.040037847486849
development,15,P00,2023-04-13T23:45:00+00:00,1.0467221122089456
development,15,P00,2023-04-14T23:45:00+00:00,1.0538518899121143
development,15,P00,2023-04-15T23:45:00+00:00,1.048174863338301
development,15,P00,2023-04-16T23:45:00+00:00,1.0437836891002201
development,15,P00,2023-04-17T23:45:00+00:00,1.0397048677992633
development,15,P00,2023-04-18T23:45:00+00:00,1.0392477279508536
development,15,P00,2023-04-19T23:45:00+00:00,1.0556354624106892
