event_id,entry_time,fold,match_status,event_net_return,available,control_mean_return,excess
2023-01-02T02:00:00+00:00_L,2023-01-02 03:00:00+00:00,2023H1,matched,0.0035339542454109,,-0.0038409295277769986,0.007374883773187899
2023-01-06T00:00:00+00:00_L,2023-01-06 01:00:00+00:00,2023H1,matched,-0.0040164279571806,,-0.0031770161987085435,-0.0008394117584720564
2023-01-08T14:00:00+00:00_L,2023-01-08 15:00:00+00:00,2023H1,matched,-0.0033978424861543,,-0.004001992107177442,0.0006041496210231418
2023-01-08T20:00:00+00:00_L,2023-01-08 21:00:00+00:00,2023H1,matched,0.0322488759509482,,-0.004224787774901575,0.03647366372584977
2023-01-18T15:00:00+00:00_S,2023-01-18 16:00:00+00:00,2023H1,matched,-0.0048478785919403,,-0.012753360743690786,0.007905482151750486
2023-01-23T10:00:00+00:00_L,2023-01-23 11:00:00+00:00,2023H1,matched,-0.0082063276609301,,0.023601615584582625,-0.031807943245512726
2023-01-23T20:00:00+00:00_L,2023-01-23 21:00:00+00:00,2023H1,matched,-0.0135987719458231,,0.12344645226097954,-0.13704522420680265
2023-01-25T20:00:00+00:00_L,2023-01-25 21:00:00+00:00,2023H1,matched,-0.0101043494940774,,0.033888102007888575,-0.04399245150196598
2023-01-27T16:00:00+00:00_L,2023-01-27 17:00:00+00:00,2023H1,matched,-0.0080124831425707,,0.03151000117716296,-0.03952248431973366
2023-01-28T20:00:00+00:00_S,2023-01-28 21:00:00+00:00,2023H1,matched,-0.0054660233913037,,-0.0029024293193471054,-0.0025635940719565945
2023-01-30T09:00:00+00:00_S,2023-01-30 10:00:00+00:00,2023H1,matched,0.0011647070490183,,-0.015052016153525324,0.016216723202543623
2023-02-05T11:00:00+00:00_S,2023-02-05 12:00:00+00:00,2023H1,matched,0.011910593715614,,0.009769030400223441,0.0021415633153905583
2023-02-07T09:00:00+00:00_L,2023-02-07 10:00:00+00:00,2023H1,matched,-0.0079222503682397,,-0.0036253168283354805,-0.00429693353990422
2023-02-11T21:00:00+00:00_L,2023-02-11 22:00:00+00:00,2023H1,matched,-0.0094086631417863,,-0.007378383298978994,-0.002030279842807307
2023-02-13T01:00:00+00:00_S,2023-02-13 02:00:00+00:00,2023H1,matched,-0.0076925734024178,,0.013329268113665008,-0.021021841516082808
2023-02-13T08:00:00+00:00_S,2023-02-13 09:00:00+00:00,2023H1,matched,-0.0027319397323586,,-0.005282317484342304,0.002550377751983704
2023-02-14T08:00:00+00:00_S,2023-02-14 09:00:00+00:00,2023H1,matched,-0.0056181284366458,,-0.00604432949331109,0.00042620105666528983
2023-02-16T23:00:00+00:00_S,2023-02-17 00:00:00+00:00,2023H1,matched,-0.0275159794033788,,0.01209343090754574,-0.03960941031092454
2023-02-19T17:00:00+00:00_S,2023-02-19 18:00:00+00:00,2023H1,matched,-0.0204846905056095,,-0.0061935895838122175,-0.014291100921797282
2023-02-20T09:00:00+00:00_L,2023-02-20 10:00:00+00:00,2023H1,matched,-0.0058566452810329,,-0.021648970219319958,0.01579232493828706
2023-02-23T02:00:00+00:00_L,2023-02-23 03:00:00+00:00,2023H1,matched,-0.0168757230971182,,-0.013089986001478074,-0.003785737095640127
2023-02-23T11:00:00+00:00_S,2023-02-23 12:00:00+00:00,2023H1,matched,0.0218119269913366,,0.0022852047590116165,0.019526722232324982
2023-02-28T19:00:00+00:00_S,2023-02-28 20:00:00+00:00,2023H1,matched,-0.0118437889560425,,0.0019831427820542866,-0.013826931738096786
2023-03-07T01:00:00+00:00_L,2023-03-07 02:00:00+00:00,2023H1,matched,-0.0051225535549069,,-0.00586303600738184,0.0007404824524749401
2023-03-11T01:00:00+00:00_L,2023-03-11 02:00:00+00:00,2023H1,matched,-0.0195315840621962,,0.056052995105504246,-0.07558457916770045
2023-03-11T07:00:00+00:00_S,2023-03-11 08:00:00+00:00,2023H1,matched,-0.0110151797495894,,-0.01230180953998757,0.0012866297903981715
2023-03-19T14:00:00+00:00_L,2023-03-19 15:00:00+00:00,2023H1,matched,-0.0078470973077007,,-0.005725582852853256,-0.002121514454847445
2023-03-20T18:00:00+00:00_L,2023-03-20 19:00:00+00:00,2023H1,matched,-0.0091120705059933,,-0.01660431661076689,0.00749224610477359
