symbol,decision_i,decision_time,window_start_i,window_start_time,window_len,conf,x1n,y1n,x2n,y2n,core_start_i,core_end_i,core_mid_i,core_start_time,core_end_time,core_mid_time,predicted_core_bars,decision_delay_bars,event_id,raw_detection_count,event_conf_max,event_decision_first,event_decision_last,window_lengths_seen
RLS_USDT_SWAP,372,2026-05-03T00:15:00+00:00,356,2026-05-02T20:15:00+00:00,17,0.6233824491500854,0.3616689443588257,0.19957862794399261,0.761751115322113,0.4268493056297302,362,368,365.0,2026-05-02T21:45:00+00:00,2026-05-02T23:15:00+00:00,2026-05-02T22:30:00+00:00,7,4,c97f3d8f5a03f346,29,0.7966626882553101,2026-05-03T00:15:00+00:00,2026-05-03T00:45:00+00:00,"[12, 13, 14, 15, 16, 17, 18, 19]"
SHIB_USDT_SWAP,372,2026-05-03T00:15:00+00:00,358,2026-05-02T20:45:00+00:00,15,0.3293817341327667,0.3491956293582916,0.45789486169815063,0.8026530146598816,0.5246589779853821,363,369,366.0,2026-05-02T22:00:00+00:00,2026-05-02T23:30:00+00:00,2026-05-02T22:45:00+00:00,7,3,369a5a05fa963fd2,33,0.8207105994224548,2026-05-03T00:15:00+00:00,2026-05-03T01:15:00+00:00,"[12, 13, 14, 15, 16, 17, 18, 19]"
SKY_USDT_SWAP,372,2026-05-03T00:15:00+00:00,358,2026-05-02T20:45:00+00:00,15,0.5680864453315735,0.3427669107913971,0.4460618197917938,0.7938108444213867,0.5089741945266724,363,369,366.0,2026-05-02T22:00:00+00:00,2026-05-02T23:30:00+00:00,2026-05-02T22:45:00+00:00,7,3,8aba5bd65a115a76,48,0.8411202430725098,2026-05-03T00:15:00+00:00,2026-05-03T01:15:00+00:00,"[12, 13, 14, 15, 16, 17, 18, 19]"
XTZ_USDT_SWAP,372,2026-05-03T00:15:00+00:00,358,2026-05-02T20:45:00+00:00,15,0.5312280058860779,0.3433471620082855,0.4238610863685608,0.8016796112060547,0.5318704843521118,363,369,366.0,2026-05-02T22:00:00+00:00,2026-05-02T23:30:00+00:00,2026-05-02T22:45:00+00:00,7,3,bdbffc836ab1d8e7,39,0.835371196269989,2026-05-03T00:15:00+00:00,2026-05-03T01:15:00+00:00,"[12, 13, 14, 15, 16, 17, 18, 19]"
ARB_USDT_SWAP,373,2026-05-03T00:30:00+00:00,359,2026-05-02T21:00:00+00:00,15,0.6951013803482056,0.3427547514438629,0.2945294976234436,0.8057979941368103,0.4954351782798767,364,370,367.0,2026-05-02T22:15:00+00:00,2026-05-02T23:45:00+00:00,2026-05-02T23:00:00+00:00,7,3,a233155c2e60aca7,40,0.9227100610733032,2026-05-03T00:30:00+00:00,2026-05-03T01:30:00+00:00,"[12, 13, 14, 15, 16, 17, 18, 19]"
LINEA_USDT_SWAP,373,2026-05-03T00:30:00+00:00,359,2026-05-02T21:00:00+00:00,15,0.4242130517959595,0.3424391448497772,0.46016615629196167,0.8085636496543884,0.5707682967185974,364,370,367.0,2026-05-02T22:15:00+00:00,2026-05-02T23:45:00+00:00,2026-05-02T23:00:00+00:00,7,3,05ee5bcc6f9c37f6,38,0.83233642578125,2026-05-03T00:30:00+00:00,2026-05-03T01:30:00+00:00,"[12, 13, 14, 15, 16, 17, 18, 19]"
MASK_USDT_SWAP,373,2026-05-03T00:30:00+00:00,359,2026-05-02T21:00:00+00:00,15,0.25560060143470764,0.3426353633403778,0.45204800367355347,0.8013126254081726,0.5481221079826355,364,370,367.0,2026-05-02T22:15:00+00:00,2026-05-02T23:45:00+00:00,2026-05-02T23:00:00+00:00,7,3,00ff1dfdce4c939b,1,0.25560060143470764,2026-05-03T00:30:00+00:00,2026-05-03T00:30:00+00:00,[15]
AVNT_USDT_SWAP,374,2026-05-03T00:45:00+00:00,363,2026-05-02T22:00:00+00:00,12,0.6433135271072388,0.42098137736320496,0.4039497375488281,0.7502250075340271,0.6048151850700378,368,371,369.5,2026-05-02T23:15:00+00:00,2026-05-03T00:00:00+00:00,2026-05-02T23:45:00+00:00,4,3,2821a4d01be3bb8b,63,0.9069059491157532,2026-05-03T00:45:00+00:00,2026-05-03T02:15:00+00:00,"[12, 13, 14, 15, 16, 17, 18, 19]"
BEAT_USDT_SWAP,374,2026-05-03T00:45:00+00:00,362,2026-05-02T21:45:00+00:00,13,0.27094244956970215,0.38889145851135254,0.5618188381195068,0.8025389909744263,0.8944313526153564,367,372,369.5,2026-05-02T23:00:00+00:00,2026-05-03T00:15:00+00:00,2026-05-02T23:45:00+00:00,6,2,3578546801a6b272,1,0.27094244956970215,2026-05-03T00:45:00+00:00,2026-05-03T00:45:00+00:00,[13]
DASH_USDT_SWAP,374,2026-05-03T00:45:00+00:00,363,2026-05-02T22:00:00+00:00,12,0.38492637872695923,0.4334270656108856,0.4295251965522766,0.7453136444091797,0.6509844064712524,368,371,369.5,2026-05-02T23:15:00+00:00,2026-05-03T00:00:00+00:00,2026-05-02T23:45:00+00:00,4,3,4605d980d164ce37,1,0.38492637872695923,2026-05-03T00:45:00+00:00,2026-05-03T00:45:00+00:00,[12]
