trade_id,policy,signal_i,entry_i,entry_time,side,entry_price,entry_equity,entry_atr,initial_stop,initial_risk,exit_i,exit_time,exit_timing,exit_price_weighted,exit_reason,gross_return,net_return,cost_return,gross_r,net_r
1,baseline,20336,20337,2026-03-01 00:45:00+00:00,1,1955.11,1000.0,5.313660339500034,,0.0,20351,2026-03-01 01:55:00+00:00,open,2004.87,reverse_arrow,0.025451253382162697,0.023451253382162696,0.002,,
2,baseline,20400,20401,2026-03-01 06:05:00+00:00,1,2005.32,1023.4512533821627,5.618020544338502,,0.0,20659,2026-03-02 03:35:00+00:00,open,1970.81,reverse_arrow,-0.017209223465581514,-0.019209223465581515,0.002,,
3,baseline,20728,20729,2026-03-02 09:25:00+00:00,-1,1961.16,1003.7915495498153,7.561004704910283,,0.0,20901,2026-03-02 23:45:00+00:00,open,2026.43,reverse_arrow,-0.0332813232984559,-0.0352813232984559,0.002,,
4,baseline,20900,20901,2026-03-02 23:45:00+00:00,1,2026.43,968.3764553658903,6.52006090631991,,0.0,21076,2026-03-03 14:20:00+00:00,open,1961.41,reverse_arrow,-0.0320859837250731,-0.0340859837250731,0.002,,
5,baseline,21075,21076,2026-03-03 14:20:00+00:00,-1,1961.41,935.3683912685445,6.95181828516611,,0.0,21082,2026-03-03 14:50:00+00:00,open,1936.23,reverse_arrow,0.012837703488816743,0.010837703488816741,0.002,,
6,baseline,21252,21253,2026-03-04 05:05:00+00:00,-1,1959.31,945.5056365459245,6.609500175816916,,0.0,21322,2026-03-04 10:50:00+00:00,open,2068.24,reverse_arrow,-0.055596102709627226,-0.05759610270962723,0.002,,
7,baseline,21321,21322,2026-03-04 10:50:00+00:00,1,2068.24,891.0481967908939,9.103951893649922,,0.0,21422,2026-03-04 19:10:00+00:00,open,2171.98,reverse_arrow,0.05015858894519032,0.04815858894519032,0.002,,
8,baseline,21446,21447,2026-03-04 21:15:00+00:00,1,2144.5,933.9598206304996,8.565044689356203,,0.0,21531,2026-03-05 04:15:00+00:00,open,2125.01,reverse_arrow,-0.009088365586383707,-0.011088365586383708,0.002,,
9,baseline,21530,21531,2026-03-05 04:15:00+00:00,-1,2125.01,923.6037326963553,5.995475677910036,,0.0,21549,2026-03-05 05:45:00+00:00,open,2116.46,reverse_arrow,0.004023510477597858,0.002023510477597858,0.002,,
10,baseline,21599,21600,2026-03-05 10:00:00+00:00,1,2124.65,925.4726545266149,7.086695645992528,,0.0,21606,2026-03-05 10:30:00+00:00,open,2142.3,reverse_arrow,0.008307250605982253,0.006307250605982253,0.002,,
11,baseline,21622,21623,2026-03-05 11:55:00+00:00,1,2136.34,931.3098424876979,7.302985592854887,,0.0,21727,2026-03-05 20:35:00+00:00,open,2090.32,reverse_arrow,-0.021541514927399197,-0.0235415149273992,0.002,,
12,baseline,21726,21727,2026-03-05 20:35:00+00:00,-1,2090.32,909.38539792874,7.464884104114652,,0.0,21759,2026-03-05 23:15:00+00:00,open,2078.17,reverse_arrow,0.0058125071759348446,0.0038125071759348445,0.002,,
13,baseline,21790,21791,2026-03-06 01:55:00+00:00,-1,2086.44,912.8524362840337,6.126430070874057,,0.0,21838,2026-03-06 05:50:00+00:00,open,2060.05,reverse_arrow,0.012648338797185521,0.01064833879718552,0.002,,
14,baseline,21891,21892,2026-03-06 10:20:00+00:00,-1,2063.51,922.5727982974224,5.576586860145077,,0.0,21915,2026-03-06 12:15:00+00:00,open,2043.29,reverse_arrow,0.009798837902409097,0.007798837902409096,0.002,,
15,baseline,21988,21989,2026-03-06 18:25:00+00:00,-1,1975.75,929.7677940045161,7.316668248765593,,0.0,22087,2026-03-07 02:35:00+00:00,open,1974.61,reverse_arrow,0.000576996077438996,-0.001423003922561004,0.002,,
16,baseline,22102,22103,2026-03-07 03:55:00+00:00,1,1979.1,928.4447307865768,3.6585020850823433,,0.0,22128,2026-03-07 06:00:00+00:00,open,1977.71,reverse_arrow,-0.0007023394472234212,-0.0027023394472234213,0.002,,
17,baseline,22127,22128,2026-03-07 06:00:00+00:00,-1,1977.71,925.9357579660054,3.0555126543821296,,0.0,22164,2026-03-07 09:00:00+00:00,open,1976.62,reverse_arrow,0.0005511424829728329,-0.0014488575170271672,0.002,,
18,baseline,22264,22265,2026-03-07 17:25:00+00:00,-1,1981.36,924.5942089827921,2.8505334379350087,,0.0,22588,2026-03-08 20:20:00+00:00,open,1957.77,reverse_arrow,0.011905963580570833,0.009905963580570831,0.002,,
19,baseline,22587,22588,2026-03-08 20:20:00+00:00,1,1957.77,933.7532055437822,5.598380226551339,,0.0,22668,2026-03-09 03:00:00+00:00,open,1958.91,reverse_arrow,0.0005822951623530859,-0.0014177048376469142,0.002,,
20,baseline,22678,22679,2026-03-09 03:55:00+00:00,1,1973.0,932.4294191071144,9.069006500211021,,0.0,22726,2026-03-09 07:50:00+00:00,open,1981.28,reverse_arrow,0.004196654840344705,0.0021966548403447046,0.002,,
21,baseline,22928,22929,2026-03-10 00:45:00+00:00,-1,2017.46,934.4776447038759,5.7561936039325685,,0.0,23251,2026-03-11 03:35:00+00:00,open,2020.38,reverse_arrow,-0.0014473645078465491,-0.003447364507846549,0.002,,
22,baseline,23262,23263,2026-03-11 04:35:00+00:00,-1,2035.19,931.2561596381477,3.9887913979811644,,0.0,23275,2026-03-11 05:35:00+00:00,open,2028.95,reverse_arrow,0.003066052800966945,0.0010660528009669452,0.002,,
23,baseline,23274,23275,2026-03-11 05:35:00+00:00,1,2028.95,932.2489278755477,3.6869989876795684,,0.0,23288,2026-03-11 06:40:00+00:00,open,2021.38,reverse_arrow,-0.0037309938638211415,-0.0057309938638211416,0.002,,
24,baseline,23287,23288,2026-03-11 06:40:00+00:00,-1,2021.38,926.9062149903391,4.239325009899079,,0.0,23301,2026-03-11 07:45:00+00:00,open,2010.29,reverse_arrow,0.005486350908785131,0.0034863509087851314,0.002,,
25,baseline,23391,23392,2026-03-11 15:20:00+00:00,1,2050.02,930.1377353153293,10.663466357384596,,0.0,23685,2026-03-12 15:45:00+00:00,open,2073.01,reverse_arrow,0.011214524736344211,0.00921452473634421,0.002,,
26,baseline,23755,23756,2026-03-12 21:40:00+00:00,1,2058.84,938.7085124855996,3.961516530274566,,0.0,23790,2026-03-13 00:30:00+00:00,open,2132.0,reverse_arrow,0.03553457286627415,0.03353457286627415,0.002,,
27,baseline,23816,23817,2026-03-13 02:45:00+00:00,1,2107.54,970.1877014977398,7.156383769541134,,0.0,23903,2026-03-13 09:55:00+00:00,open,2112.65,reverse_arrow,0.0024246277650721293,0.00042462776507212925,0.002,,
28,baseline,23902,23903,2026-03-13 09:55:00+00:00,-1,2112.65,970.5996701331272,5.5872836007393625,,0.0,23964,2026-03-13 15:00:00+00:00,open,2150.64,reverse_arrow,-0.01798215511324619,-0.01998215511324619,0.002,,
29,baseline,23963,23964,2026-03-13 15:00:00+00:00,1,2150.64,951.2049969716614,11.788653996317866,,0.0,24030,2026-03-13 20:30:00+00:00,open,2109.53,reverse_arrow,-0.019115240114570442,-0.021115240114570444,0.002,,
30,baseline,24029,24030,2026-03-13 20:30:00+00:00,-1,2109.53,931.1200750624256,5.107839359117331,,0.0,24084,2026-03-14 01:00:00+00:00,open,2084.36,reverse_arrow,0.011931567695173895,0.009931567695173893,0.002,,
31,baseline,24207,24208,2026-03-14 11:20:00+00:00,-1,2069.15,940.3675571202434,2.6199410223353254,,0.0,24288,2026-03-14 18:00:00+00:00,open,2074.26,reverse_arrow,-0.002469613126163006,-0.004469613126163006,0.002,,
32,baseline,24287,24288,2026-03-14 18:00:00+00:00,1,2074.26,936.164477943521,1.9966574630808076,,0.0,24336,2026-03-14 22:00:00+00:00,open,2085.89,reverse_arrow,0.005606818817313064,0.003606818817313064,0.002,,
33,baseline,24363,24364,2026-03-15 00:20:00+00:00,1,2091.33,939.5410535986678,3.1613667772943534,,0.0,24576,2026-03-15 18:00:00+00:00,open,2110.0,reverse_arrow,0.008927333323770048,0.006927333323770047,0.002,,
34,baseline,24615,24616,2026-03-15 21:20:00+00:00,1,2125.65,946.0495676483118,4.98725911612628,,0.0,24635,2026-03-15 22:55:00+00:00,open,2179.93,reverse_arrow,0.025535718486110026,0.023535718486110024,0.002,,
35,baseline,24654,24655,2026-03-16 00:35:00+00:00,1,2169.99,968.3155239463886,8.307541232775446,,0.0,24687,2026-03-16 03:15:00+00:00,open,2180.47,reverse_arrow,0.004829515343388602,0.0028295153433886017,0.002,,
36,baseline,24742,24743,2026-03-16 07:55:00+00:00,1,2247.31,971.0553875786362,6.296484559868268,,0.0,24782,2026-03-16 11:10:00+00:00,open,2273.33,reverse_arrow,0.011578286929706971,0.00957828692970697,0.002,,
37,baseline,24804,24805,2026-03-16 13:05:00+00:00,1,2277.81,980.3564347055022,8.404377563182871,,0.0,24831,2026-03-16 15:15:00+00:00,open,2285.92,reverse_arrow,0.003560437437714281,0.001560437437714281,0.002,,
38,baseline,24840,24841,2026-03-16 16:05:00+00:00,1,2272.47,981.8862195885208,10.436561526321293,,0.0,24897,2026-03-16 20:45:00+00:00,open,2335.87,reverse_arrow,0.027899158184706563,0.02589915818470656,0.002,,
39,baseline,24926,24927,2026-03-16 23:15:00+00:00,1,2338.64,1007.3162461090275,9.391029568728163,,0.0,25026,2026-03-17 07:30:00+00:00,open,2334.44,reverse_arrow,-0.0017959155748639155,-0.0037959155748639156,0.002,,
40,baseline,25025,25026,2026-03-17 07:30:00+00:00,-1,2334.44,1003.4925586816088,6.772389421307635,,0.0,25122,2026-03-17 15:30:00+00:00,open,2322.38,reverse_arrow,0.00516612121108273,0.0031661212110827303,0.002,,
41,baseline,25121,25122,2026-03-17 15:30:00+00:00,1,2322.38,1006.6697377568144,9.267917276595723,,0.0,25184,2026-03-17 20:40:00+00:00,open,2327.49,reverse_arrow,0.0022003289728638187,0.00020032897286381864,0.002,,
42,baseline,25183,25184,2026-03-17 20:40:00+00:00,-1,2327.49,1006.8714028713923,5.086335894621832,,0.0,25208,2026-03-17 22:40:00+00:00,open,2319.4,reverse_arrow,0.0034758473720616356,0.0014758473720616356,0.002,,
43,baseline,25207,25208,2026-03-17 22:40:00+00:00,1,2319.4,1008.3573913853241,4.7333957992506805,,0.0,25215,2026-03-17 23:15:00+00:00,open,2329.32,reverse_arrow,0.0042769681814263105,0.0022769681814263105,0.002,,
44,baseline,25214,25215,2026-03-17 23:15:00+00:00,-1,2329.32,1010.6533890810146,4.355103635460295,,0.0,25222,2026-03-17 23:50:00+00:00,open,2320.77,reverse_arrow,0.0036705991448148234,0.0016705991448148234,0.002,,
45,baseline,25279,25280,2026-03-18 04:40:00+00:00,1,2329.16,1012.3417857685176,3.971599670945532,,0.0,25428,2026-03-18 17:00:00+00:00,open,2180.23,reverse_arrow,-0.06394150680932176,-0.06594150680932176,0.002,,
46,baseline,25427,25428,2026-03-18 17:00:00+00:00,-1,2180.23,945.5864430089019,8.262555093623556,,0.0,25602,2026-03-19 07:30:00+00:00,open,2153.95,reverse_arrow,0.012053774143095053,0.010053774143095051,0.002,,
47,baseline,25680,25681,2026-03-19 14:05:00+00:00,-1,2134.26,955.0931555396861,10.129976553960294,,0.0,25687,2026-03-19 14:35:00+00:00,open,2113.46,reverse_arrow,0.009745766682597301,0.0077457666825973,0.002,,
