trade_id,kind,bar_open,time,timing,side,price,fraction,gross_return,cost_return,net_return,reason
1,entry,2026-03-01 00:45:00+00:00,2026-03-01 00:45:00+00:00,open,1,1955.11,1.0,0.0,0.001,-0.001,arrow_next_open
1,exit,2026-03-01 01:10:00+00:00,2026-03-01 01:15:00+00:00,intrabar,1,1944.48,1.0,-0.005437034233367832,0.001,-0.006437034233367832,stop
2,entry,2026-03-01 06:05:00+00:00,2026-03-01 06:05:00+00:00,open,1,2005.32,1.0,0.0,0.001,-0.001,arrow_next_open
2,exit,2026-03-01 06:10:00+00:00,2026-03-01 06:15:00+00:00,intrabar,1,1994.0800000000002,1.0,-0.005605090459377959,0.001,-0.006605090459377959,stop
3,entry,2026-03-02 09:25:00+00:00,2026-03-02 09:25:00+00:00,open,-1,1961.16,1.0,0.0,0.001,-0.001,arrow_next_open
3,exit,2026-03-02 14:45:00+00:00,2026-03-02 14:50:00+00:00,intrabar,-1,1976.29,1.0,-0.0077148218401352775,0.001,-0.008714821840135278,stop
4,entry,2026-03-02 23:45:00+00:00,2026-03-02 23:45:00+00:00,open,1,2026.43,1.0,0.0,0.001,-0.001,arrow_next_open
4,exit,2026-03-03 02:00:00+00:00,2026-03-03 02:05:00+00:00,intrabar,1,2013.38,1.0,-0.006439896764260267,0.001,-0.007439896764260267,stop
5,entry,2026-03-03 14:20:00+00:00,2026-03-03 14:20:00+00:00,open,-1,1961.41,1.0,0.0,0.001,-0.001,arrow_next_open
5,exit,2026-03-03 14:30:00+00:00,2026-03-03 14:35:00+00:00,intrabar,-1,1975.32,1.0,-0.007091836994814971,0.001,-0.008091836994814972,stop
6,entry,2026-03-04 05:05:00+00:00,2026-03-04 05:05:00+00:00,open,-1,1959.31,1.0,0.0,0.001,-0.001,arrow_next_open
6,exit,2026-03-04 05:40:00+00:00,2026-03-04 05:45:00+00:00,intrabar,-1,1972.53,1.0,-0.006747273274775312,0.001,-0.007747273274775312,stop
7,entry,2026-03-04 10:50:00+00:00,2026-03-04 10:50:00+00:00,open,1,2068.24,1.0,0.0,0.001,-0.001,arrow_next_open
7,exit,2026-03-04 11:35:00+00:00,2026-03-04 11:40:00+00:00,intrabar,1,2050.03,1.0,-0.008804587475341186,0.001,-0.009804587475341187,stop
8,entry,2026-03-04 21:15:00+00:00,2026-03-04 21:15:00+00:00,open,1,2144.5,1.0,0.0,0.001,-0.001,arrow_next_open
8,exit,2026-03-04 22:50:00+00:00,2026-03-04 22:55:00+00:00,intrabar,1,2127.36,1.0,-0.007992539053392367,0.001,-0.008992539053392368,stop
9,entry,2026-03-05 04:15:00+00:00,2026-03-05 04:15:00+00:00,open,-1,2125.01,1.0,0.0,0.001,-0.001,arrow_next_open
9,exit,2026-03-05 04:40:00+00:00,2026-03-05 04:45:00+00:00,intrabar,-1,2137.01,1.0,-0.005647032249260109,0.001,-0.006647032249260109,stop
10,entry,2026-03-05 10:00:00+00:00,2026-03-05 10:00:00+00:00,open,1,2124.65,1.0,0.0,0.001,-0.001,arrow_next_open
10,exit,2026-03-05 10:30:00+00:00,2026-03-05 10:30:00+00:00,open,1,2142.3,1.0,0.008307250605982253,0.001,0.007307250605982253,reverse_arrow
11,entry,2026-03-05 11:55:00+00:00,2026-03-05 11:55:00+00:00,open,1,2136.34,1.0,0.0,0.001,-0.001,arrow_next_open
11,exit,2026-03-05 12:15:00+00:00,2026-03-05 12:20:00+00:00,intrabar,1,2121.73,1.0,-0.0068387990675642385,0.001,-0.00783879906756424,stop
12,entry,2026-03-05 20:35:00+00:00,2026-03-05 20:35:00+00:00,open,-1,2090.32,1.0,0.0,0.001,-0.001,arrow_next_open
12,exit,2026-03-05 23:15:00+00:00,2026-03-05 23:15:00+00:00,open,-1,2078.17,1.0,0.0058125071759348446,0.001,0.0048125071759348445,reverse_arrow
13,entry,2026-03-06 01:55:00+00:00,2026-03-06 01:55:00+00:00,open,-1,2086.44,1.0,0.0,0.001,-0.001,arrow_next_open
13,exit,2026-03-06 05:50:00+00:00,2026-03-06 05:50:00+00:00,open,-1,2060.05,1.0,0.012648338797185521,0.001,0.01164833879718552,reverse_arrow
14,entry,2026-03-06 10:20:00+00:00,2026-03-06 10:20:00+00:00,open,-1,2063.51,1.0,0.0,0.001,-0.001,arrow_next_open
14,exit,2026-03-06 12:15:00+00:00,2026-03-06 12:15:00+00:00,open,-1,2043.29,1.0,0.009798837902409097,0.001,0.008798837902409096,reverse_arrow
15,entry,2026-03-06 18:25:00+00:00,2026-03-06 18:25:00+00:00,open,-1,1975.75,1.0,0.0,0.001,-0.001,arrow_next_open
15,exit,2026-03-06 19:15:00+00:00,2026-03-06 19:20:00+00:00,intrabar,-1,1990.39,1.0,-0.007409844362900264,0.001,-0.008409844362900265,stop
16,entry,2026-03-06 22:05:00+00:00,2026-03-06 22:05:00+00:00,open,-1,1983.26,1.0,0.0,0.001,-0.001,arrow_next_open
16,exit,2026-03-07 02:35:00+00:00,2026-03-07 02:35:00+00:00,open,-1,1974.61,1.0,0.004361505803575971,0.001,0.0033615058035759713,reverse_arrow
17,entry,2026-03-07 03:55:00+00:00,2026-03-07 03:55:00+00:00,open,1,1979.1,1.0,0.0,0.001,-0.001,arrow_next_open
