trade_id,policy,signal_i,entry_i,entry_time,side,entry_price,entry_equity,entry_atr,initial_stop,initial_risk,exit_i,exit_time,exit_timing,exit_price_weighted,exit_reason,gross_return,net_return,cost_return,gross_r,net_r
1,stop_2,20336,20337,2026-03-01 00:45:00+00:00,1,1955.11,1000.0,5.313660339500034,1944.48,10.629999999999882,20342,2026-03-01 01:15:00+00:00,intrabar,1944.48,stop,-0.005437034233367832,-0.007437034233367832,0.002,-0.9999999999999907,-1.3678476011288752
2,stop_2,20400,20401,2026-03-01 06:05:00+00:00,1,2005.32,992.5629657666321,5.618020544338502,1994.0800000000002,11.239999999999782,20402,2026-03-01 06:15:00+00:00,intrabar,1994.0800000000002,stop,-0.005605090459377959,-0.007605090459377959,0.002,-1.0000000000000024,-1.3568185053380877
3,stop_2,20728,20729,2026-03-02 09:25:00+00:00,-1,1961.16,985.0144346253485,7.561004704910283,1976.29,15.129999999999882,20793,2026-03-02 14:50:00+00:00,intrabar,1976.29,stop,-0.0077148218401352775,-0.00971482184013528,0.002,-0.999999999999988,-1.259241242564432
4,stop_2,20900,20901,2026-03-02 23:45:00+00:00,1,2026.43,975.4451948830016,6.52006090631991,2013.38,13.049999999999955,20928,2026-03-03 02:05:00+00:00,intrabar,2013.38,stop,-0.006439896764260267,-0.008439896764260267,0.002,-0.9999999999999983,-1.3105639846743289
5,stop_2,21075,21076,2026-03-03 14:20:00+00:00,-1,1961.41,967.2125381389953,6.95181828516611,1975.32,13.909999999999854,21078,2026-03-03 14:35:00+00:00,intrabar,1975.32,stop,-0.007091836994814971,-0.009091836994814972,0.002,-1.0000000000000129,-1.2820143781452353
6,stop_2,21252,21253,2026-03-04 05:05:00+00:00,-1,1959.31,958.4187994028944,6.609500175816916,1972.53,13.220000000000027,21260,2026-03-04 05:45:00+00:00,intrabar,1972.53,stop,-0.006747273274775312,-0.008747273274775312,0.002,-0.9999999999999991,-1.296416036308622
7,stop_2,21321,21322,2026-03-04 10:50:00+00:00,1,2068.24,950.0352482528352,9.103951893649922,2050.03,18.20999999999958,21331,2026-03-04 11:40:00+00:00,intrabar,2050.03,stop,-0.008804587475341186,-0.010804587475341187,0.002,-1.000000000000004,-1.227154310818241
8,stop_2,21446,21447,2026-03-04 21:15:00+00:00,1,2144.5,939.77050930843,8.565044689356203,2127.36,17.139999999999873,21466,2026-03-04 22:55:00+00:00,intrabar,2127.36,stop,-0.007992539053392367,-0.009992539053392369,0.002,-1.0000000000000033,-1.2502333722287102
9,stop_2,21530,21531,2026-03-05 04:15:00+00:00,-1,2125.01,930.379815792939,5.995475677910036,2137.01,12.0,21536,2026-03-05 04:45:00+00:00,intrabar,2137.01,stop,-0.005647032249260109,-0.007647032249260109,0.002,-1.0000000000000189,-1.3541683333333523
10,stop_2,21599,21600,2026-03-05 10:00:00+00:00,1,2124.65,923.2651713375097,7.086695645992528,2110.4700000000003,14.179999999999836,21606,2026-03-05 10:30:00+00:00,open,2142.3,reverse_arrow,0.008307250605982253,0.006307250605982253,0.002,1.2447108603667418,0.9450423131170909
11,stop_2,21622,21623,2026-03-05 11:55:00+00:00,1,2136.34,929.0884361489105,7.302985592854887,2121.73,14.610000000000127,21627,2026-03-05 12:20:00+00:00,intrabar,2121.73,stop,-0.0068387990675642385,-0.00883879906756424,0.002,-1.000000000000004,-1.2924490075290913
12,stop_2,21726,21727,2026-03-05 20:35:00+00:00,-1,2090.32,920.8764101457929,7.464884104114652,2105.25,14.929999999999836,21759,2026-03-05 23:15:00+00:00,open,2078.17,reverse_arrow,0.0058125071759348446,0.0038125071759348445,0.002,0.8137977227059784,0.5337816476892305
13,stop_2,21790,21791,2026-03-06 01:55:00+00:00,-1,2086.44,924.387258067623,6.126430070874057,2098.7,12.259999999999764,21838,2026-03-06 05:50:00+00:00,open,2060.05,reverse_arrow,0.012648338797185521,0.01064833879718552,0.002,2.1525285481240024,1.8121631321370462
14,stop_2,21891,21892,2026-03-06 10:20:00+00:00,-1,2063.51,934.2304467713285,5.576586860145077,2074.67,11.159999999999854,21915,2026-03-06 12:15:00+00:00,open,2043.29,reverse_arrow,0.009798837902409097,0.007798837902409096,0.002,1.8118279569892886,1.4420232974910758
