fold,variant,timeframe_min,side,seeds,pairs,matched_pairs,mean_net_r_difference,mean_net_return_difference,match_rate,seed_mean_net_r_difference_p05,seed_mean_net_r_difference_p95,seed_mean_net_return_difference_p05,seed_mean_net_return_difference_p95
development,A,15,-1,99,99495,99336,0.08082937190428327,-0.000559679260426547,0.9984019297452134,-0.008904724183667294,0.1799571628243778,-0.002102054217497232,0.0007998899132670232
development,A,15,1,99,94842,94704,0.04102209406617275,-0.00011101600027472922,0.9985449484405643,-0.05904475017979309,0.16445567924466162,-0.002247247713331627,0.0019849888638939946
development,A,30,-1,99,47520,47355,0.19211698969170693,0.00266878110673501,0.9965277777777778,0.04632369926024435,0.31465725732415223,-0.0003602562557160605,0.004869318213526617
development,A,30,1,99,48312,48088,0.14568307029315136,0.0035276439967071808,0.9953634707733069,-0.033633083889046574,0.30745638293682664,-0.00017597736518130348,0.007256801709061777
development,A,60,-1,99,24750,24747,-0.012233836881039743,-0.0007227848448669844,0.9998787878787879,-0.2080845237578954,0.16969529291318863,-0.005471641484473768,0.004251506733462619
development,A,60,1,99,24156,23956,0.09542627093009035,0.0030848174513537856,0.9917204835237622,-0.16772359545443188,0.37280629808599963,-0.007095168534204446,0.01184784947721833
development,A,240,-1,99,5742,5742,-0.24330889379255155,-0.021977210194685425,1.0,-0.46943489932534255,0.017174934212756465,-0.039421106765568724,-0.003046060003828373
development,A,240,1,99,5841,5805,0.4647298526230185,0.05891366299794657,0.9938366718027735,-0.7829616395229586,1.2495251346237901,0.013666938369223959,0.10026329454756143
development,B,15,-1,99,33957,33909,0.3376976424142537,0.004135978792180625,0.9985864475660394,0.16041255269859117,0.49161694230342706,0.0017623443262629176,0.006877866254897012
development,B,15,1,99,33264,33218,-0.030575890555635213,-0.001659457601436877,0.9986171236171236,-0.20154624996916645,0.14818368035631863,-0.004775152692197033,0.0018290711800053724
development,B,30,-1,99,16137,16064,0.19253568207118063,0.007183704810630072,0.9954762347400384,-0.02254426727441688,0.39990498183767,0.002864912344257502,0.011188453408429186
development,B,30,1,99,17424,17288,0.2561509252370834,0.007779309029904839,0.9921946740128559,-0.037571404973114994,0.5403065027583105,0.0017476294646677905,0.014275219400677063
development,B,60,-1,99,8217,8217,0.12482869291170036,0.006970328686252845,1.0,-0.25257843478454206,0.4608334121528349,-0.0014732849299076544,0.016596293423133412
development,B,60,1,99,9504,9379,0.01496909991746058,-0.001437936281298694,0.9868476430976431,-0.3248666395381891,0.3769108271313183,-0.014343563674906364,0.010232511611322647
development,B,240,-1,99,2079,2058,-0.25578567821504855,-0.0417235377784133,0.98989898989899,-0.5272296149889907,-0.02719110749372142,-0.06295522877757258,-0.022811968107225005
development,B,240,1,99,2475,2453,0.8702907131126146,0.07781199880676007,0.9911111111111112,-2.132726927860635,2.324566351321631,0.005965415400316509,0.14455858950425862
development,C,15,-1,99,21780,21756,0.29878438912477207,0.0037751748595056,0.9988980716253444,0.08966126084972553,0.4711052784767949,0.0004253688885971577,0.006774256333697141
development,C,15,1,99,20790,20763,0.028059133308141936,-0.00010557222060246762,0.9987012987012988,-0.23477848116628036,0.259993944407388,-0.0047077537523184,0.004050433397577189
development,C,30,-1,99,10197,10154,0.21772387352655134,0.005868809339283894,0.9957830734529763,-0.12052711213257701,0.5033414251006018,-0.0006639465322063967,0.010737902010603899
development,C,30,1,99,11484,11421,0.21192370449307343,0.010522396243069996,0.9945141065830722,-0.23526539240118294,0.5463555414271594,0.0011580531580136814,0.017930551784173857
development,C,60,-1,99,5346,5346,0.04574765929404198,0.002413223096271297,1.0,-0.3830372675159889,0.39821833583841876,-0.009107940240850642,0.01386779862869116
development,C,60,1,99,6534,6480,-0.27462457805540624,-0.004735540028919562,0.9917355371900827,-0.7963278006899345,0.25449020131321504,-0.019212542735983093,0.009068422316787329
development,C,240,-1,99,1782,1761,-0.2464100027128266,-0.04326144191933946,0.9882154882154882,-0.6029548990436989,0.011679919878583878,-0.06578625153993273,-0.022697858736601993
development,C,240,1,99,1782,1760,-0.4863867117282536,0.043944959895937406,0.9876543209876543,-3.926073982598759,1.6829489690206496,-0.04906720577160496,0.1365414575335119
development,D,15,-1,99,21780,21756,0.29878438912477207,0.0037751748595056,0.9988980716253444,0.08966126084972553,0.4711052784767949,0.0004253688885971577,0.006774256333697141
development,D,15,1,99,20790,20763,0.028059133308141936,-0.00010557222060246762,0.9987012987012988,-0.23477848116628036,0.259993944407388,-0.0047077537523184,0.004050433397577189
development,D,30,-1,99,10197,10154,0.21772387352655134,0.005868809339283894,0.9957830734529763,-0.12052711213257701,0.5033414251006018,-0.0006639465322063967,0.010737902010603899
development,D,30,1,99,11484,11421,0.21192370449307343,0.010522396243069996,0.9945141065830722,-0.23526539240118294,0.5463555414271594,0.0011580531580136814,0.017930551784173857
