fold,variant,timeframe_min,side,seed,seed_pairs,seed_matched_pairs,seed_mean_net_r_difference,seed_mean_net_return_difference,seed_match_rate
development,A,15,1,66,958,958,-0.020888460046903503,-0.000541571727283536,1.0
development,A,15,1,67,958,955,0.05185517629015705,0.000101226444102212,0.9968684759916493
development,A,15,1,68,958,954,0.029059342545625803,-0.0009883662151262314,0.9958246346555324
development,A,15,1,69,958,956,0.009101637922695924,-0.0010822463598904146,0.9979123173277662
development,A,15,1,70,958,955,-0.008328798022668322,-0.00028449670181335013,0.9968684759916493
development,A,15,1,71,958,955,-0.055614969486083125,-0.0020620000170156094,0.9968684759916493
development,A,15,1,72,958,958,-0.03533559496358547,-0.0007002812501788304,1.0
development,A,15,1,73,958,956,-0.0366625124131245,-0.0005784734031519611,0.9979123173277662
development,A,15,1,74,958,957,0.10925393162297205,0.001886194392317295,0.9989561586638831
development,A,15,1,75,958,958,-0.03127374202986241,-0.000986047726403584,1.0
development,A,15,1,76,958,955,0.138875301131673,0.00041360202176718804,0.9968684759916493
development,A,15,1,77,958,957,0.18095941031293356,0.0013354728191004403,0.9989561586638831
development,A,15,1,78,958,957,0.03610610019526591,-0.0005656451474703377,0.9989561586638831
development,A,15,1,79,958,954,0.08630314897606975,0.0005272914815839777,0.9958246346555324
development,A,15,1,80,958,957,-0.01859452592794142,-0.0004834389005167849,0.9989561586638831
development,A,15,1,81,958,957,0.005732986483393884,0.000277739067466302,0.9989561586638831
development,A,15,1,82,958,957,-0.04933190278423841,-0.0008107491500926019,0.9989561586638831
development,A,15,1,83,958,955,0.020731055641606416,-0.0008439281311078859,0.9968684759916493
development,A,15,1,84,958,953,0.00107676544182691,-0.0003430226667711633,0.9947807933194155
development,A,15,1,85,958,958,0.1251664092876552,0.002658136109839619,1.0
development,A,15,1,86,958,954,0.07085167598537916,0.0006475252211395403,0.9958246346555324
development,A,15,1,87,958,958,0.14867290270010172,0.0007867989286852139,1.0
development,A,15,1,88,958,955,0.10078739039046318,-0.00013632905320885478,0.9968684759916493
development,A,15,1,89,958,957,-0.03907013099144815,-0.0004744618067419195,0.9989561586638831
development,A,15,1,90,958,957,0.0734942802337628,-0.0009931359263539957,0.9989561586638831
development,A,15,1,91,958,958,0.23144648964691833,0.004002944951902896,1.0
development,A,15,1,92,958,956,-0.04403995237390861,-0.0009523178281396812,0.9979123173277662
development,A,15,1,93,958,958,0.05778284474602953,7.103230707722669e-05,1.0
development,A,15,1,94,958,956,0.07369310799278227,-0.000165949742365188,0.9979123173277662
development,A,15,1,95,958,957,0.03570960060483772,1.5000795848481516e-05,0.9989561586638831
development,A,15,1,96,958,956,0.035581724075220145,-0.0007464806630235318,0.9979123173277662
development,A,15,1,97,958,955,0.12614260200989696,0.0009087598371574296,0.9968684759916493
development,A,15,1,98,958,957,-0.015394134240318292,-0.0004463993078300666,0.9989561586638831
development,A,30,-1,0,480,478,0.23118813447297526,0.003439217483416771,0.9958333333333333
development,A,30,-1,1,480,477,0.19682272451667465,0.003640956189886024,0.99375
development,A,30,-1,2,480,479,0.15134942826476439,0.0010312358543240927,0.9979166666666667
development,A,30,-1,3,480,478,0.10710508099188915,0.0017549599685839651,0.9958333333333333
development,A,30,-1,4,480,475,0.24184448852571,0.002288662026877956,0.9895833333333334
development,A,30,-1,5,480,480,0.08547785476912996,0.0009553590686430369,1.0
development,A,30,-1,6,480,480,0.2249814854361191,0.004457137698411399,1.0
development,A,30,-1,7,480,478,0.01812859958717106,-0.00030989279565277433,0.9958333333333333
development,A,30,-1,8,480,479,0.21119110447668307,0.004908509974899686,0.9979166666666667
development,A,30,-1,9,480,479,0.11227093297207193,0.0004146217512715387,0.9979166666666667
development,A,30,-1,10,480,475,0.26792443427086565,0.005900871021596094,0.9895833333333334
development,A,30,-1,11,480,480,0.21343073460313203,0.0031459997330769976,1.0
development,A,30,-1,12,480,477,0.10555740842291507,0.0005344172515000022,0.99375
development,A,30,-1,13,480,479,0.26629697776785355,0.004071960822813741,0.9979166666666667
development,A,30,-1,14,480,479,0.20934555841982358,0.0034683523119057964,0.9979166666666667
development,A,30,-1,15,480,479,0.00527588433361784,-0.001104194222641049,0.9979166666666667
development,A,30,-1,16,480,479,0.35332936853319785,0.005413903489013214,0.9979166666666667
development,A,30,-1,17,480,478,0.2736145792871697,0.0037388402999712143,0.9958333333333333
development,A,30,-1,18,480,480,0.13556285484314026,0.0011328942773333364,1.0
