fold,variant,timeframe_min,raw_signals,admitted_signals,positions,censored_positions,mfe_ge_10r_all_positions,n,win_rate,profit_factor,net_r,realized_net_r_ge_10,mfe_ge_10r_closed
development,A,15,2934,2926,1965,2,37,1963.0,0.30056036678553233,0.862493474368611,-141.68542962806043,13.0,37.0
development,A,30,1427,1419,969,1,32,968.0,0.31921487603305787,1.1455299577158324,170.66469155753782,11.0,32.0
development,A,60,767,761,499,5,13,494.0,0.29554655870445345,1.0641441789925477,29.91631533729762,2.0,13.0
development,A,240,198,195,123,6,2,117.0,0.4017094017094017,2.113701323830161,87.29614568337459,2.0,2.0
development,A0,15,2934,2934,1972,2,37,1970.0,0.30101522842639594,0.8591568414353725,-144.54933610241227,13.0,37.0
development,A0,30,1427,1427,977,1,32,976.0,0.3176229508196721,1.1206380811709282,165.54277733443786,11.0,32.0
development,A0,60,767,767,502,5,13,497.0,0.29577464788732394,1.068074403183655,29.897470366073183,2.0,13.0
development,A0,240,198,198,125,6,2,119.0,0.40336134453781514,2.106555310109663,87.71528405275265,2.0,2.0
development,B,15,2934,872,679,0,20,679.0,0.30633284241531666,0.9697095280458543,5.257208332563442,6.0,20.0
development,B,30,1427,422,339,0,13,339.0,0.3303834808259587,1.4489534363151182,82.2164453140818,4.0,13.0
development,B,60,767,230,184,5,6,179.0,0.31843575418994413,1.0088540348343693,3.195395656023475,0.0,6.0
development,B,240,198,62,48,2,1,46.0,0.3695652173913043,2.336375847955748,60.07353502337117,1.0,1.0
development,C,15,2934,502,430,0,12,430.0,0.3186046511627907,1.0045008922993157,9.751519492725222,3.0,12.0
development,C,30,1427,252,220,1,4,219.0,0.3698630136986301,1.5263867998362488,63.70977867735747,2.0,4.0
development,C,60,767,138,124,4,1,120.0,0.3333333333333333,0.9310556631845962,-13.816541077870333,0.0,1.0
development,C,240,198,41,36,0,1,36.0,0.3611111111111111,1.9889885481482228,36.41735554830128,1.0,1.0
development,D,15,2934,502,430,0,12,430.0,0.3186046511627907,1.0045008922993157,9.751519492725222,3.0,12.0
development,D,30,1427,252,220,1,4,219.0,0.3698630136986301,1.5263867998362488,63.70977867735747,2.0,4.0
development,D,60,767,138,124,4,1,120.0,0.3333333333333333,0.9310556631845962,-13.816541077870333,0.0,1.0
development,D,240,198,41,36,0,1,36.0,0.3611111111111111,1.9889885481482228,36.41735554830128,1.0,1.0
validation,A,15,3646,3646,2513,6,51,2507.0,0.27682489030714,0.8962234397570176,-199.9780805772477,15.0,51.0
validation,A,30,1822,1822,1247,5,22,1242.0,0.2834138486312399,0.9129708606362161,-33.880719568262144,9.0,22.0
validation,A,60,940,940,617,3,16,614.0,0.2899022801302932,1.1260433151752147,123.411711115194,10.0,16.0
validation,A,240,219,211,146,3,5,143.0,0.3146853146853147,0.8241024865035278,-4.274070040021906,1.0,4.0
validation,A0,15,3646,3646,2513,6,51,2507.0,0.27682489030714,0.8962234397570176,-199.9780805772477,15.0,51.0
validation,A0,30,1822,1822,1247,5,22,1242.0,0.2834138486312399,0.9129708606362161,-33.880719568262144,9.0,22.0
validation,A0,60,940,940,617,3,16,614.0,0.2899022801302932,1.1260433151752147,123.411711115194,10.0,16.0
validation,A0,240,219,219,151,3,5,148.0,0.32432432432432434,0.9882505058806512,-2.130962570571967,1.0,4.0
validation,B,15,3646,1087,876,1,24,875.0,0.264,0.8068706987240368,-149.98889123960208,7.0,24.0
validation,B,30,1822,527,420,3,10,417.0,0.2997601918465228,0.9902252183590102,69.12847882482941,6.0,10.0
validation,B,60,940,253,204,0,7,204.0,0.3431372549019608,1.85669231021333,100.4221852181249,4.0,7.0
validation,B,240,219,67,51,1,4,50.0,0.3,0.9970798174078654,5.930367440459637,1.0,3.0
validation,C,15,3646,605,531,1,14,530.0,0.28679245283018867,0.9129309653456115,-19.403397399259724,5.0,14.0
validation,C,30,1822,304,265,2,6,263.0,0.33840304182509506,1.1093487746289066,70.26963067468193,4.0,6.0
validation,C,60,940,162,141,0,5,141.0,0.3971631205673759,2.133135607283432,47.70702124206771,2.0,5.0
validation,C,240,219,40,33,1,3,32.0,0.28125,0.9444207922750638,6.623405924729244,1.0,3.0
validation,D,15,3646,605,531,1,14,530.0,0.28679245283018867,0.9129309653456115,-19.403397399259724,5.0,14.0
validation,D,30,1822,304,265,2,6,263.0,0.33840304182509506,1.1093487746289066,70.26963067468193,4.0,6.0
validation,D,60,940,162,141,0,5,141.0,0.3971631205673759,2.133135607283432,47.70702124206771,2.0,5.0
validation,D,240,219,40,33,1,3,32.0,0.28125,0.9444207922750638,6.623405924729244,1.0,3.0
