fold,variant,side,raw_signals,admitted_signals,positions,censored_positions,mfe_ge_10r_all_positions,n,win_rate,profit_factor,net_r,realized_net_r_ge_10,mfe_ge_10r_closed
development,A,-1,2754,2743,1799,6,35,1793.0,0.30619074177356387,0.8145016041851102,-113.02693205906516,11.0,35.0
development,A,1,2572,2558,1757,8,49,1749.0,0.31046312178387653,1.3884249717567765,259.21865500921473,17.0,49.0
development,A0,-1,2754,2754,1809,6,35,1803.0,0.3067110371602884,0.814394682742295,-114.62235664283718,11.0,35.0
development,A0,1,2572,2572,1767,8,49,1759.0,0.30983513359863557,1.371822313215564,253.2285522936886,17.0,49.0
development,B,-1,2754,793,612,2,20,610.0,0.3163934426229508,0.9792984834356097,55.1002504351616,7.0,20.0
development,B,1,2572,793,638,5,20,633.0,0.3175355450236967,1.5525580852726364,95.6423338908783,4.0,20.0
development,C,-1,2754,455,395,0,11,395.0,0.3139240506329114,0.8817379373885681,25.342056690890622,4.0,11.0
development,C,1,2572,478,415,5,7,410.0,0.35853658536585364,1.6961727858585747,70.72005594962303,2.0,7.0
development,D,-1,2754,455,395,0,11,395.0,0.3139240506329114,0.8817379373885681,25.342056690890622,4.0,11.0
development,D,1,2572,478,415,5,7,410.0,0.35853658536585364,1.6961727858585747,70.72005594962303,2.0,7.0
validation,A,-1,3393,3390,2285,13,40,2272.0,0.3142605633802817,1.0049627447706797,-114.17663969258376,10.0,40.0
validation,A,1,3234,3229,2238,4,54,2234.0,0.2484333034914951,0.8866867516946102,-0.5445193777539714,25.0,53.0
validation,A0,-1,3393,3393,2287,13,40,2274.0,0.3148636763412489,1.0325945676048431,-111.13178021700074,10.0,40.0
validation,A0,1,3234,3234,2241,4,54,2237.0,0.248547161376844,0.8905715837342308,-1.4462713838870371,25.0,53.0
validation,B,-1,3393,983,789,4,25,785.0,0.32101910828025476,1.1658907072836788,24.624644041233825,7.0,25.0
validation,B,1,3234,951,762,1,20,761.0,0.2483574244415243,1.0047521450089731,0.8674962025780388,11.0,19.0
validation,C,-1,3393,566,491,3,16,488.0,0.36475409836065575,1.302685415974982,97.48416035174142,5.0,16.0
validation,C,1,3234,545,479,1,12,478.0,0.26778242677824265,1.139732471469836,7.712500090477734,7.0,12.0
validation,D,-1,3393,566,491,3,16,488.0,0.36475409836065575,1.302685415974982,97.48416035174142,5.0,16.0
validation,D,1,3234,545,479,1,12,478.0,0.26778242677824265,1.139732471469836,7.712500090477734,7.0,12.0
