fold,variant,timeframe_min,a_realized_net_r_ge_10,retained_same_entry_net_r_ge_10,missed_same_entry_net_r_ge_10
development,B,15,13,4,9
development,B,30,11,4,7
development,B,60,2,0,2
development,B,240,2,1,1
validation,B,15,15,7,8
validation,B,30,9,6,3
validation,B,60,10,3,7
validation,B,240,1,1,0
development,C,15,13,1,12
development,C,30,11,2,9
development,C,60,2,0,2
development,C,240,2,0,2
validation,C,15,15,5,10
validation,C,30,9,4,5
validation,C,60,10,1,9
validation,C,240,1,1,0
development,D,15,13,1,12
development,D,30,11,2,9
development,D,60,2,0,2
development,D,240,2,0,2
validation,D,15,15,5,10
validation,D,30,9,4,5
validation,D,60,10,1,9
validation,D,240,1,1,0
