arm,gate,feature,n,top_n,descriptive_auc,top_gross_bp,top_net_bp,top_win_rate,top_matched_actual_bp,top_random_bp,top_excess_bp,val_auc
early,baseline,relative_volume,10386,1039,0.5082411959237264,14.636573557247754,-5.36342644275227,0.30798845043310874,-4.750788219911367,85.5475073278851,-90.29829554779646,not_applicable_no_training
early,baseline,tr_expansion,10386,1039,0.5191160906399612,140.59567439045324,120.5956743904532,0.343599615014437,125.58331496819916,143.2313267060337,-17.648011737834576,not_applicable_no_training
early,tag_recent_density,relative_volume,7034,704,0.5134450075407654,-8.824964677337656,-28.82496467733766,0.29829545454545453,-27.619318205099752,81.9683127320924,-109.58763093719213,not_applicable_no_training
early,tag_recent_density,tr_expansion,7034,704,0.5184343165861399,134.35874197041605,114.35874197041606,0.3309659090909091,121.82252307564076,159.94064504865216,-38.118121973011384,not_applicable_no_training
early,tag_above_six,relative_volume,6528,653,0.49882515686967255,-8.851646041711867,-28.851646041711888,0.31393568147013784,-30.28168372223451,107.69618074752634,-137.97786446976085,not_applicable_no_training
early,tag_above_six,tr_expansion,6528,653,0.5177084560065507,145.5152694395451,125.51526943954512,0.3445635528330781,127.22343101134423,158.34552021925796,-31.122089207913763,not_applicable_no_training
early,tag_original_volume,relative_volume,2027,203,0.4911336722058411,-117.06792928952648,-137.06792928952652,0.2857142857142857,-137.8505651358938,60.855970379670275,-198.706535515564,not_applicable_no_training
early,tag_original_volume,tr_expansion,2027,203,0.5205831982176127,17.971469814607687,-2.02853018539234,0.31527093596059114,-17.707396513288554,64.68070436097075,-82.38810087425931,not_applicable_no_training
early,tag_original_expansion,relative_volume,1148,115,0.4770192517452007,-124.44407906171321,-144.44407906171324,0.26956521739130435,-152.72231964956183,62.61913081200535,-215.34145046156726,not_applicable_no_training
early,tag_original_expansion,tr_expansion,1148,115,0.5274391906631762,101.76334529248334,81.76334529248327,0.3217391304347826,46.77477128629498,39.04488631416336,7.7298849721316065,not_applicable_no_training
early,tag_original_body,relative_volume,7806,781,0.5096712141461651,-5.755151814791247,-25.755151814791265,0.2970550576184379,-20.439952785103575,85.28559139357282,-105.72554417867637,not_applicable_no_training
early,tag_original_body,tr_expansion,7806,781,0.5239261484374902,137.87232878189684,117.8723287818968,0.3495518565941101,126.09413050855834,157.70881764110487,-31.61468713254654,not_applicable_no_training
early,tag_original_close_position,relative_volume,7100,710,0.5030771615019825,-12.146723601379076,-32.14672360137909,0.29859154929577464,-27.19960626196423,96.25958701475848,-123.45919327672271,not_applicable_no_training
early,tag_original_close_position,tr_expansion,7100,710,0.5186231429668183,144.81349845022245,124.81349845022245,0.35070422535211265,134.30937881381243,168.1358292818669,-33.82645046805448,not_applicable_no_training
early,tag_nonnegative_md,relative_volume,6197,620,0.5005031270487879,-52.05757287240267,-72.05757287240269,0.29838709677419356,-71.69625116956534,107.03080744558352,-178.72705861514888,not_applicable_no_training
early,tag_nonnegative_md,tr_expansion,6197,620,0.5184256469565601,125.69369253163609,105.69369253163606,0.3467741935483871,112.75742064675723,197.9560883957761,-85.19866774901894,not_applicable_no_training
confirmed,baseline,relative_volume,3809,381,0.49890269100902623,-8.733374197318415,-28.733374197318433,0.31496062992125984,-49.18594258254974,68.336122250013,-117.52206483256275,not_applicable_no_training
confirmed,baseline,tr_expansion,3809,381,0.5232762319743772,208.922165866404,188.92216586640393,0.3858267716535433,169.58591303364452,159.05048736144732,10.535425672197222,not_applicable_no_training
confirmed,tag_above_six,relative_volume,3168,317,0.4970861202177795,-43.93987851215684,-63.93987851215684,0.3028391167192429,-90.32693130688733,67.3405440801222,-157.6674753870095,not_applicable_no_training
confirmed,tag_above_six,tr_expansion,3168,317,0.5240396225448585,212.89328869585515,192.89328869585512,0.38170347003154576,167.6501477632568,185.48967582475555,-17.8395280614987,not_applicable_no_training
confirmed,tag_original_volume,relative_volume,1479,148,0.4808742126359992,-300.1164387760835,-320.11643877608356,0.24324324324324326,-317.6691371385836,13.477113146156974,-331.1462502847405,not_applicable_no_training
confirmed,tag_original_volume,tr_expansion,1479,148,0.5414116349600221,11.842351693417333,-8.157648306582692,0.3310810810810811,-12.806634992791823,117.29363864590043,-130.10027363869222,not_applicable_no_training
confirmed,tag_original_expansion,relative_volume,752,76,0.4590960143277783,-361.0180939308152,-381.0180939308152,0.23684210526315788,-382.21447541757476,56.42604859637971,-438.64052401395446,not_applicable_no_training
confirmed,tag_original_expansion,tr_expansion,752,76,0.5055095164374829,-44.22147573920413,-64.2214757392042,0.2894736842105263,-55.678260776375836,23.324308013939245,-79.00256879031507,not_applicable_no_training
confirmed,tag_original_body,relative_volume,2404,241,0.4741250371575637,-62.329049254970464,-82.32904925497049,0.29045643153526973,-105.21461823561208,69.75220838708347,-174.9668266226956,not_applicable_no_training
confirmed,tag_original_body,tr_expansion,2404,241,0.5154958774660888,134.07631996780026,114.07631996780019,0.35684647302904565,123.62616509435169,171.02397492394832,-47.39780982959658,not_applicable_no_training
confirmed,tag_original_close_position,relative_volume,2185,219,0.487158833621824,-38.241915758119134,-58.241915758119184,0.3059360730593607,-84.21732896225242,67.35361234107494,-151.57094130332737,not_applicable_no_training
confirmed,tag_original_close_position,tr_expansion,2185,219,0.5309103927090891,263.18676908423384,243.18676908423382,0.3972602739726027,226.77780718383448,197.30975980816478,29.468047375669652,not_applicable_no_training
confirmed,tag_nonnegative_md,relative_volume,2720,272,0.49880827244924886,-72.68381974436977,-92.6838197443698,0.3272058823529412,-125.84161110906605,81.82383467976186,-207.66544578882792,not_applicable_no_training
confirmed,tag_nonnegative_md,tr_expansion,2720,272,0.5191155323780974,141.75451050857544,121.75451050857542,0.3786764705882353,96.03060224500229,194.9908612966326,-98.9602590516303,not_applicable_no_training
