candidates,valid,matched,invalid,natural_exits,censored,mean_net_bp,mean_gross_bp,wins,win_rate,natural_wins,natural_win_rate,median_peak_r,median_net_r,max_peak_r,max_net_r,paired_actual_net_bp,paired_random_net_bp,mean_excess_bp,asset_balanced_excess_bp,permutation_assets,permutation_p,account_return_not_computed,arm,gate,period,alerts_per_day,original_signals,drop_fraction,positive_events,hits_1,hits_6,recall_1,recall_6,forward_known,forward_success,random_forward_success,peak_5r_base,peak_5r_kept,peak_5r_retention,peak_10r_base,peak_10r_kept,peak_10r_retention,holm_p_13
10386,10386,10260,0,9912,474,25.006476673055996,45.006476673056014,3064,0.2950125168496052,2735,0.27592816787732044,0.991934173320477,-1.046842465270433,83.83749999999993,57.71152499999994,24.1797094999826,122.39341374050207,-98.21370424051945,-95.34160165515472,272,1.0,True,early,baseline,full,170.2622950819672,10386,0.0,1660,1463,1519,0.8813253012048192,0.9150602409638554,10206,0.22134038800705466,0.2304415826428405,1351,1351,1.0,454,454,1.0,
4981,4981,4924,0,4981,0,-106.07410819426313,-86.07410819426312,1078,0.2164224051395302,1078,0.2164224051395302,0.8571428571428713,-1.0606614173228337,32.23809523809522,15.747666666666776,-107.08766929604337,0.5728055786520496,-107.6604748746954,-99.60795576769273,269,1.0,True,early,baseline,first31,160.67741935483872,4981,0.0,630,584,595,0.926984126984127,0.9444444444444444,4981,0.15779963862678176,0.19695729294583164,385,385,1.0,97,97,1.0,
5405,5405,5336,0,4931,474,145.80432925846148,165.8043292584615,1986,0.36743755781683624,1657,0.3360373149462584,1.1590909090909172,-1.0342077922077921,83.83749999999993,57.71152499999994,145.31175095268722,234.80808289135464,-89.49633193866744,-90.78775343432818,272,1.0,True,early,baseline,last30,180.16666666666666,5405,0.0,1030,879,924,0.8533980582524272,0.8970873786407767,5225,0.2819138755980861,0.2623270317676866,966,966,1.0,357,357,1.0,
224,224,219,0,224,0,1728.1110457610173,1748.1110457610173,208,0.9285714285714286,208,0.9285714285714286,9.090890232337621,5.752316946029746,44.025000000000155,28.440190476190594,1740.5682430889997,976.4270191475075,764.1412239414922,764.1412239414922,219,9.999000099990002e-05,True,early,baseline,case_night,448.0,224,0.0,144,129,134,0.8958333333333334,0.9305555555555556,224,0.7946428571428571,0.43209876543209874,184,184,1.0,100,100,1.0,
7034,7034,6934,0,6694,340,32.12939960142337,52.12939960142339,2030,0.28859823713392097,1797,0.2684493576337018,0.9391102873030575,-1.0490652482269505,83.83749999999993,57.71152499999994,32.03993436483706,115.92987105912177,-83.8899366942847,-64.69556186525318,272,1.0,True,early,tag_recent_density,full,115.31147540983606,10386,0.32274215289813213,1660,944,973,0.5686746987951807,0.5861445783132531,6896,0.21142691415313225,0.22701771653543307,1351,902,0.6676535899333826,454,321,0.7070484581497798,1.0
3545,3545,3497,0,3545,0,-105.8209685272698,-85.82096852726977,747,0.21071932299012694,747,0.21071932299012694,0.8222222222222247,-1.0621000000000003,32.23809523809522,15.747666666666776,-106.21174626503478,3.08955739085217,-109.30130365588697,-88.32665674446082,269,1.0,True,early,tag_recent_density,first31,114.35483870967742,4981,0.28829552298735195,630,395,404,0.626984126984127,0.6412698412698413,3545,0.152327221438646,0.20255720053835802,385,266,0.6909090909090909,97,73,0.7525773195876289,
3489,3489,3437,0,3149,340,172.29393242349772,192.29393242349772,1283,0.3677271424476927,1050,0.3334391870435059,1.1041666666666667,-1.035438596491228,83.83749999999993,57.71152499999994,172.7050862888004,230.7400476369334,-58.03496134813307,-29.98009589685765,272,0.9198080191980802,True,early,tag_recent_density,last30,116.3,5405,0.354486586493987,1030,549,569,0.5330097087378641,0.5524271844660195,3351,0.2739480752014324,0.2526719096592055,966,636,0.6583850931677019,357,248,0.6946778711484594,
152,152,148,0,152,0,1824.8407061518324,1844.8407061518324,141,0.9276315789473685,141,0.9276315789473685,9.407221459702829,6.002413261050857,44.025000000000155,28.440190476190594,1846.4527525637757,1016.0416830054916,830.411069558284,830.411069558284,148,9.999000099990002e-05,True,early,tag_recent_density,case_night,304.0,224,0.3214285714285714,144,88,92,0.6111111111111112,0.6388888888888888,152,0.8289473684210527,0.4022727272727273,184,127,0.6902173913043478,100,71,0.71,
6528,6528,6418,0,6132,396,20.759498472020024,40.75949847202004,1995,0.3056066176470588,1724,0.2811480756686236,1.0038249434389153,-1.0413931623931627,83.83749999999993,57.71152499999994,19.651794512536423,162.46152202362407,-142.80972751108766,-142.11323621947554,272,1.0,True,early,tag_above_six,full,107.01639344262296,10386,0.3714615829000578,1660,863,918,0.5198795180722892,0.553012048192771,6379,0.24408214453676125,0.25150182364299506,1351,889,0.6580310880829016,454,261,0.5748898678414097,1.0
2871,2871,2821,0,2871,0,-109.51632609490694,-89.51632609490694,589,0.20515499825844655,589,0.20515499825844655,0.8115942028985478,-1.057081967213115,31.512195121951272,15.747666666666776,-110.54185346148087,32.915179422482005,-143.45703288396288,-131.40154385313036,269,1.0,True,early,tag_above_six,first31,92.61290322580645,4981,0.4236097169243124,630,310,320,0.49206349206349204,0.5079365079365079,2871,0.15952629745733193,0.21053260090757106,385,224,0.5818181818181818,97,56,0.5773195876288659,
3657,3657,3597,0,3261,396,123.03510479732692,143.03510479732697,1406,0.38446814328684714,1135,0.3480527445568844,1.2401433691756287,-1.0277853881278538,83.83749999999993,57.71152499999994,121.75807222582604,264.0601410055039,-142.30206877967785,-147.32279112051395,272,1.0,True,early,tag_above_six,last30,121.9,5405,0.32340425531914896,1030,553,598,0.5368932038834952,0.5805825242718446,3508,0.31328392246294184,0.2849074975657254,966,665,0.6884057971014492,357,205,0.5742296918767507,
133,133,128,0,133,0,1690.7225851780854,1710.7225851780854,122,0.9172932330827067,122,0.9172932330827067,8.865168539325818,5.598073490813646,44.025000000000155,28.440190476190594,1710.5755844899095,969.5487142287204,741.0268702611891,741.0268702611891,128,9.999000099990002e-05,True,early,tag_above_six,case_night,266.0,224,0.40625,144,68,73,0.4722222222222222,0.5069444444444444,133,0.7819548872180451,0.391644908616188,184,107,0.5815217391304348,100,54,0.54,
2027,2027,1978,0,1910,117,52.0914761344605,72.0914761344605,626,0.3088307844104588,553,0.2895287958115183,0.9646017699115058,-1.0385555555555561,44.34215167548499,26.149044091710756,48.91266811412234,108.04169359522261,-59.129025481100285,-33.77491163813804,270,0.8483151684831517,True,early,tag_original_volume,full,33.22950819672131,10386,0.8048334296167918,1660,274,290,0.1650602409638554,0.1746987951807229,1994,0.2176529588766299,0.22745438748913988,1351,277,0.20503330866025166,454,90,0.19823788546255505,1.0
1074,1074,1050,0,1074,0,-106.2649381481251,-86.26493814812508,242,0.22532588454376165,242,0.22532588454376165,0.8827349121466791,-1.0504557919621753,25.490196078431545,15.747666666666776,-111.89940190270264,8.35258039192185,-120.25198229462447,-118.78942800936093,260,1.0,True,early,tag_original_volume,first31,34.645161290322584,4981,0.7843806464565348,630,127,134,0.2015873015873016,0.2126984126984127,1074,0.17225325884543763,0.20397690827453496,385,83,0.21558441558441557,97,18,0.18556701030927836,
953,953,928,0,836,117,230.554003877899,250.55400387789902,384,0.40293809024134314,311,0.37200956937799046,1.1555555555555572,-1.02105641025641,44.34215167548499,26.149044091710756,230.8659800943661,220.83648762912972,10.029492465236366,85.43895234933682,256,0.0705929407059294,True,early,tag_original_volume,last30,31.766666666666666,5405,0.82368177613321,1030,147,156,0.14271844660194175,0.15145631067961166,920,0.27065217391304347,0.2552142586272279,966,194,0.20082815734989648,357,72,0.20168067226890757,
