asset,arm,decision_time,signal_close,confirm_age,tag_recent_density,tag_above_six,tag_md_ge_signal,tag_middle_rising,tag_advance,tag_volume,tag_efficiency,tag_close_position,tag_original_volume,tag_original_expansion,tag_original_body,tag_original_close_position,tag_nonnegative_md
HYPE,early,2026-08-19 13:00:00+00:00,59.279,,True,True,False,True,True,True,True,True,False,False,True,True,True
HYPE,confirmed,2026-08-19 16:00:00+00:00,61.851,3.0,True,True,True,True,True,True,True,True,True,True,True,True,True
NEAR,early,2026-08-19 07:00:00+00:00,1.62,,True,True,False,True,False,False,False,True,False,False,True,True,False
NEAR,early,2026-08-19 21:00:00+00:00,1.723,,True,True,True,True,False,True,False,True,False,False,True,True,True
PEPE,early,2026-08-19 13:00:00+00:00,2.616e-06,0.0,True,False,True,True,True,True,True,False,False,False,True,False,True
PEPE,confirmed,2026-08-19 13:00:00+00:00,2.616e-06,0.0,True,False,True,True,True,True,True,False,False,False,True,False,True
