arm,group,label,n,win_rate,gross_win_rate,gross_r_sum,net_r_sum,net_r_mean,gross_bp_mean,mean_net_r_month_bootstrap_95,net_bp_mean,net_bp_sum,profit_factor_r,profit_factor_bp,max_closed_drawdown_r,longest_net_loss_streak,risk_pct_median,risk_pct_p10,risk_pct_p90,cost_r_mean,holding_hours_median,holding_hours_p95,wait_minutes_median,dual_touch,optimistic_dual_touch_net_r_sum,break_even_roundtrip_cost_bp,min_trade_net_r,max_trade_net_r,control_net_r_mean,control_net_bp_mean,matched_n,excess_net_r_mean
direct,phase,all,520,0.23461538461538461,0.23846153846153847,-23.999999999999986,-289.36436170660664,-0.556469926358859,3.41962649096517,"[-0.7425636531422006, -0.3507624472590658]",-16.580373509034835,-8621.794224698115,0.5193295421726436,0.761033634015682,290.90192406556497,24.0,0.00554090151374382,0.0022398067533650084,0.015010292671370228,0.5103160802050127,3.7083333333333335,57.98333333333327,0.0,1.0,-285.36436170660664,3.41962649096517,-7.932751219512195,2.94057273673257,-0.5447819512978836,-25.44861521082238,520.0,-0.011687975060975297
direct,phase,early_closed,333,0.24624624624624625,0.24924924924924924,-0.9999999999999893,-160.44484382536888,-0.48181634782393057,12.057351206081227,"[-0.7419009029143314, -0.20187042481407166]",-7.942648793918775,-2644.9020483749523,0.570161749723805,0.8838106580985668,160.44484382536893,24.0,0.005493391012225268,0.0023999027455280575,0.015385015771661745,0.4788133448209276,3.8333333333333335,54.44999999999993,0.0,1.0,-156.44484382536888,12.057351206081227,-6.790702702701563,2.94057273673257,-0.5064514149524778,-25.89162065112923,333.0,0.02463506712854724
direct,phase,late,187,0.21390374331550802,0.2192513368983957,-22.999999999999996,-128.91951788123777,-0.6894091865306833,-11.961990247717441,"[-0.9495744427353068, -0.433844190595536]",-31.961990247717445,-5976.892176323162,0.4363769976702467,0.5511430676100041,130.45708024019603,11.0,0.005597918022121041,0.0018859328979055558,0.014369053770475704,0.5664145341242662,3.5,60.24166666666665,0.0,0.0,-128.91951788123777,-11.961990247717441,-7.932751219512195,2.9403699432463144,-0.6130390026509324,-24.659733865249223,187.0,-0.07637018387975092
direct,phase,cross_split,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
direct,phase,long,250,0.228,0.232,-17.999999999999986,-139.21583430527755,-0.5568633372211103,6.806724308389286,"[-0.8307515600380061, -0.2678166557012454]",-13.193275691610715,-3298.318922902679,0.5183352330750122,0.816254054632448,143.28873836406063,24.0,0.006068066545049711,0.0023096770037300475,0.015646178756406507,0.48486333722111025,2.9166666666666665,48.258333333333326,0.0,0.0,-139.21583430527755,6.806724308389286,-7.932751219512195,2.9403699432463144,-0.49129924436395017,-23.206731978424934,250.0,-0.06556409285716008
direct,phase,short,270,0.24074074074074073,0.24444444444444444,-6.0,-150.1485274013291,-0.5561056570419596,0.2834248081650618,"[-0.781968874144029, -0.3048387740547844]",-19.71657519183494,-5323.4753017954345,0.5202477924594459,0.7063574284805404,154.46258781052742,23.0,0.005056814751597536,0.0022392701598701673,0.01441431029090176,0.5338834348197373,4.208333333333333,77.08333333333327,0.0,1.0,-146.1485274013291,0.2834248081650618,-6.790702702701563,2.94057273673257,-0.5943029762367109,-27.5244330185978,270.0,0.038197319194751334
direct,year,2023,40,0.075,0.1,-24.0,-50.68348711472762,-1.2670871778681905,-53.41905330945712,"[-1.510182121998032, -0.9094052268520573]",-73.41905330945713,-2936.762132378285,0.10603757180312309,0.15025468170164988,50.683487114727626,24.0,0.00627926680618867,0.0017889480877672974,0.014089096801343652,0.6670871778681904,5.083333333333333,81.96666666666663,0.0,1.0,-46.68348711472762,-53.41905330945712,-6.790702702701563,2.810771390374332,-0.757087177868118,-38.838766586930866,40.0,-0.5100000000000725
direct,year,2024,178,0.23595505617977527,0.23595505617977527,-9.999999999999986,-85.3941806472298,-0.4797425879057854,8.843805511626579,"[-0.7013432672437167, -0.23450922524731602]",-11.156194488373428,-1985.80261893047,0.5640062481740158,0.8421897475989052,88.52975521443474,16.0,0.006043861803953424,0.0024209725395353938,0.01540314510378483,0.4235628126248866,3.8333333333333335,46.82083333333335,0.0,0.0,-85.3941806472298,8.843805511626579,-2.6208365019011106,2.9086931164451495,-0.4651358463327546,-26.01566554130701,178.0,-0.014606741573030768
direct,year,2025,172,0.29069767441860467,0.29069767441860467,28.0,-55.03340619094029,-0.31996166390081565,19.839543635750847,"[-0.7220013763269831, 0.11069741182652883]",-0.1604563642491527,-27.598494650854263,0.699146131503747,0.9975228517037527,70.40557689073992,11.0,0.005384483964464259,0.0023383396318030405,0.015794539564125947,0.48275236157523427,3.5,56.21249999999992,0.0,0.0,-55.03340619094029,19.839543635750847,-6.449252808987873,2.94057273673257,-0.49300513688807607,-22.562445828038847,172.0,0.17304347298726042
direct,year,2026,130,0.2076923076923077,0.2153846153846154,-17.999999999999996,-98.25328775370893,-0.7557945211823764,-8.243315221065409,"[-1.0427281289924015, -0.419440167774201]",-28.243315221065412,-3671.6309787385035,0.40996517727357557,0.5873997603117465,99.79085011266716,11.0,0.005203233333440374,0.001889905208382348,0.012572658432950383,0.6173329827208378,3.5,65.34166666666664,0.0,0.0,-98.25328775370893,-8.243315221065409,-7.932751219512195,2.9403699432463144,-0.6570158720630412,-24.370769979808266,130.0,-0.0987786491193352
direct,month,2023-09,4,0.0,0.0,-4.0,-5.637300449385272,-1.409325112346318,-77.05186422830621,"[-1.409325112346318, -1.409325112346318]",-97.05186422830621,-388.20745691322486,0.0,0.0,5.637300449385272,4.0,0.005611072564923958,0.003104149744857145,0.013981514187129429,0.4093251123463178,12.166666666666666,21.662499999999998,0.0,0.0,-5.637300449385272,-77.05186422830621,-1.7571676136363872,-1.1179441567214596,-0.829325112346316,-70.75542680036085,4.0,-0.580000000000002
direct,month,2023-10,13,0.15384615384615385,0.23076923076923078,-1.0,-10.92943045818197,-0.8407254198601516,-31.553560518580884,"[-0.8407254198601517, -0.8407254198601517]",-51.55356051858088,-670.1962867415515,0.22992427361561965,0.3096633355517367,12.244452305594702,6.0,0.006517731423013834,0.0014349178550572053,0.012834930379476523,0.7638023429370748,2.6666666666666665,24.58333333333333,0.0,0.0,-10.92943045818197,-31.553560518580884,-1.4957495429616021,2.810771390374332,-0.8838023429369952,-34.90621866531706,13.0,0.04307692307684363
direct,month,2023-11,6,0.0,0.0,-6.0,-8.134943833796656,-1.3558239722994427,-110.63299524279216,"[-1.355823972299443, -1.355823972299443]",-130.63299524279213,-783.7979714567529,0.0,0.0,8.134943833796656,6.0,0.010148752147712698,0.002707424345701197,0.02033372207942375,0.3558239722994429,44.25,291.375,0.0,0.0,-8.134943833796656,-110.63299524279216,-1.8694827586207208,-1.0819739485594435,-0.5758239722994489,-65.85309638009828,6.0,-0.7799999999999938
