trade_id,side,entry_i,exit_i,entry_time,exit_time,entry_price,stop_price,target_price,exit_price,risk_pct,gross_return,net_return,gross_r,net_r,reason,dual_touch,holding_bars,diamond_open_time,diamond_close_time,confirm_time,wait_bars
0,1,10309,10571,2023-09-25 16:05:00+00:00,2023-09-26 13:55:00+00:00,26294.2,26134.0,26774.800000000003,26134.0,0.006092598367700889,-0.006092598367700889,-0.00809259836770089,-1.0,-1.3282671660424457,stop,False,263,2023-09-25 15:00:00+00:00,2023-09-25 16:00:00+00:00,2023-09-25 16:05:00+00:00,1
1,-1,10873,11108,2023-09-27 15:05:00+00:00,2023-09-28 10:40:00+00:00,26247.6,26633.6,25089.6,26633.6,0.0147061064630671,-0.0147061064630671,-0.0167061064630671,-1.0,-1.1359979274611398,stop,False,236,2023-09-27 14:00:00+00:00,2023-09-27 15:00:00+00:00,2023-09-27 15:05:00+00:00,1
2,-1,11305,11358,2023-09-29 03:05:00+00:00,2023-09-29 07:30:00+00:00,26926.3,27085.0,26450.199999999997,27085.0,0.005893865848631291,-0.005893865848631291,-0.00789386584863129,-1.0,-1.3393358538122226,stop,False,54,2023-09-29 02:00:00+00:00,2023-09-29 03:00:00+00:00,2023-09-29 03:05:00+00:00,1
3,-1,12025,12110,2023-10-01 15:05:00+00:00,2023-10-01 22:10:00+00:00,27133.2,27226.9,26852.1,27226.9,0.0034533339230168473,-0.0034533339230168473,-0.005453333923016847,-1.0,-1.5791504802561322,stop,False,86,2023-10-01 14:00:00+00:00,2023-10-01 15:00:00+00:00,2023-10-01 15:05:00+00:00,1
4,-1,12323,14937,2023-10-02 15:55:00+00:00,2023-10-11 17:45:00+00:00,28094.7,28607.8,26555.400000000005,26555.400000000005,0.018263231143240487,0.05478969342972146,0.05278969342972146,3.0,2.890490352757747,target,False,2615,2023-10-02 14:00:00+00:00,2023-10-02 15:00:00+00:00,2023-10-02 15:55:00+00:00,11
5,1,15013,15028,2023-10-12 00:05:00+00:00,2023-10-12 01:20:00+00:00,26850.0,26760.5,27118.5,26760.5,0.0033333333333333335,-0.0033333333333333335,-0.005333333333333334,-1.0,-1.6,stop,False,16,2023-10-11 23:00:00+00:00,2023-10-12 00:00:00+00:00,2023-10-12 00:05:00+00:00,1
6,-1,17329,17344,2023-10-20 01:05:00+00:00,2023-10-20 02:20:00+00:00,28617.0,28768.8,28161.600000000002,28768.8,0.005304539259880465,-0.005304539259880465,-0.007304539259880465,-1.0,-1.3770355731225314,stop,False,16,2023-10-20 00:00:00+00:00,2023-10-20 01:00:00+00:00,2023-10-20 01:05:00+00:00,1
7,-1,17505,17781,2023-10-20 15:45:00+00:00,2023-10-21 14:45:00+00:00,29490.8,29915.0,28218.199999999997,29915.0,0.014384146920395538,-0.014384146920395538,-0.01638414692039554,-1.0,-1.1390419613389908,stop,False,277,2023-10-20 12:00:00+00:00,2023-10-20 13:00:00+00:00,2023-10-20 15:45:00+00:00,33
8,-1,17882,17963,2023-10-21 23:10:00+00:00,2023-10-22 05:55:00+00:00,29933.2,30159.7,29253.7,30159.7,0.007566848850106236,-0.007566848850106236,-0.009566848850106236,-1.0,-1.264310816777042,stop,False,82,2023-10-21 20:00:00+00:00,2023-10-21 21:00:00+00:00,2023-10-21 23:10:00+00:00,26
9,-1,21229,22200,2023-11-02 14:05:00+00:00,2023-11-05 23:00:00+00:00,34959.5,35369.4,33729.799999999996,35369.4,0.011724996066877429,-0.011724996066877429,-0.013724996066877429,-1.0,-1.1705757501829708,stop,False,972,2023-11-02 13:00:00+00:00,2023-11-02 14:00:00+00:00,2023-11-02 14:05:00+00:00,1
