fold,variant,side,trades,win_rate,profit_factor,sum_net_r,mean_net_r,mean_net_return,realized_net_r_ge_10,mfe_r_ge_10
development,A,-1,794.0,0.30982367758186397,0.8284794001222568,-26.180501371606148,-0.03297292364182135,-0.004177400530200971,3.0,15.0
development,A,1,798.0,0.32456140350877194,1.6906425067664084,309.33603312486986,0.3876391392542229,0.0159195470878015,12.0,32.0
development,B12,-1,794.0,0.30982367758186397,0.828479400122257,-26.18050137160614,-0.03297292364182133,-0.004177400530200971,3.0,15.0
development,B12,1,304.0,0.32894736842105265,1.8567658017965172,89.6438620523909,0.2948811251723385,0.01894292147072338,4.0,9.0
development,C24,-1,794.0,0.30982367758186397,0.828479400122257,-26.180501371606134,-0.032972923641821326,-0.004177400530200971,3.0,15.0
development,C24,1,471.0,0.3354564755838641,2.021984810657574,242.74637693558466,0.5153850890352116,0.022493501895973995,9.0,18.0
validation,A,-1,1021.0,0.33202742409402547,1.105946259769422,56.07390645114574,0.05492057438897722,0.0022774874063940472,5.0,20.0
validation,A,1,983.0,0.24313326551373346,0.9088049549915156,31.326122525214146,0.031867876424429446,-0.0023259446281600972,15.0,22.0
validation,B12,-1,1021.0,0.33202742409402547,1.105946259769422,56.073906451145746,0.054920574388977225,0.0022774874063940477,5.0,20.0
validation,B12,1,402.0,0.21890547263681592,0.798853791616796,-77.00009960809811,-0.1915425363385525,-0.005448025917641503,3.0,6.0
validation,C24,-1,1021.0,0.33202742409402547,1.105946259769422,56.073906451145746,0.054920574388977225,0.0022774874063940477,5.0,20.0
validation,C24,1,599.0,0.2287145242070117,0.858682386630432,-83.56829255125243,-0.13951300926753327,-0.00378320273202618,6.0,11.0
