variant,fold,side,baseline_trades,retained_trades,baseline_net10,retained_net10,rejected_winners,rejected_losers
B12,development,-1,794,794,3,3,0,0
B12,development,1,798,242,12,3,185,371
B12,validation,-1,1021,1021,5,5,0,0
B12,validation,1,983,331,15,2,171,481
C24,development,-1,794,794,3,3,0,0
C24,development,1,798,405,12,6,126,267
C24,validation,-1,1021,1021,5,5,0,0
C24,validation,1,983,529,15,5,122,332
