fold,variant,side,seed,total,matched,sum_net_r_difference,sum_net_return_difference,mean_excess_net_r,mean_excess_net_return,match_rate
development,A,-1,0,794,792,101.90807055621465,0.462927040985762,0.12867180625784677,0.0005845038396284874,0.9974811083123426
development,A,-1,1,794,791,66.21673378909286,-0.11161206540102006,0.08371268494196316,-0.0001411024847041973,0.9962216624685138
development,A,-1,2,794,793,34.696770878322646,-1.1510179211274867,0.043753809430419476,-0.001451472788307045,0.9987405541561712
development,A,-1,3,794,792,11.02656001258001,-1.3535592634089246,0.013922424258308093,-0.0017090394740011674,0.9974811083123426
development,A,-1,4,794,789,113.23773440066265,-0.390929871197225,0.14352057591972453,-0.0004954751219229721,0.9937027707808564
development,A,-1,5,794,794,47.54917156415797,-0.11907962198868335,0.0598856065039773,-0.00014997433499834177,1.0
development,A,-1,6,794,794,122.67816290242759,1.4164822280429967,0.15450650239600452,0.0017839826549659909,1.0
development,A,-1,7,794,792,8.36309774977989,-1.3844306447711412,0.01055946685578269,-0.0017480184908726531,0.9974811083123426
development,A,-1,8,794,793,43.3073028633409,-1.6143193964166547,0.0546119834342256,-0.0020357117230979252,0.9987405541561712
development,A,-1,9,794,793,25.0497701973039,-1.374519701621771,0.031588613111354226,-0.0017333161432809218,0.9987405541561712
development,A,-1,10,794,789,102.56876161241368,1.456496887640995,0.12999843043398437,0.0018460036598745182,0.9937027707808564
development,A,-1,11,794,793,138.20758520894958,0.7418700209557059,0.17428447062919242,0.0009355233555557451,0.9987405541561712
development,A,-1,12,794,791,18.544914509670647,-0.9430247781473667,0.023444898242314344,-0.0011921931455718922,0.9962216624685138
development,A,-1,13,794,793,117.88888526855504,1.3658002120011243,0.14866189819489917,0.0017223205699888075,0.9987405541561712
development,A,-1,14,794,793,126.68104878244324,1.9793539463537402,0.15974911574078593,0.002496032719235486,0.9987405541561712
development,A,-1,15,794,793,1.8861703608549947,-1.596551794911503,0.002378525045214369,-0.002013306172650067,0.9987405541561712
development,A,-1,16,794,793,148.2235622595595,0.5131382260272834,0.18691495871318978,0.0006470847743093107,0.9987405541561712
development,A,-1,17,794,792,117.16001898276943,1.4698505290718529,0.14792931689743616,0.0018558718801412284,0.9974811083123426
development,A,-1,18,794,794,63.031022273012105,-0.3320389428380306,0.07938415903402028,-0.000418185066546638,1.0
development,A,-1,19,794,792,19.0827692421918,-1.5729451378816455,0.024094405608828032,-0.0019860418407596533,0.9974811083123426
development,A,-1,20,794,792,56.43136947855721,-0.6461177650843986,0.07125172913959243,-0.0008158052589449477,0.9974811083123426
development,A,-1,21,794,793,6.568445023068961,-2.1239888877141166,0.00828303281597599,-0.002678422304809731,0.9987405541561712
development,A,-1,22,794,790,129.98048573494196,0.9475403047795395,0.16453226042397717,0.0011994181073158728,0.9949622166246851
development,A,-1,23,794,793,126.98662074109903,1.6804420907345405,0.16013445238474028,0.0021190946919729388,0.9987405541561712
development,A,-1,24,794,791,62.36039210022007,-1.0917728997228275,0.078837410999014,-0.001380243868170452,0.9962216624685138
development,A,-1,25,794,791,-57.3031167381189,-4.003107804403586,-0.07244388968156625,-0.00506081896890466,0.9962216624685138
development,A,-1,26,794,790,83.46169058750685,-0.6332679082182068,0.10564770960443905,-0.0008016049471116541,0.9949622166246851
development,A,-1,27,794,792,136.12638286081005,2.41641684093841,0.17187674603637634,0.0030510313648212245,0.9974811083123426
development,A,-1,28,794,791,89.87248659165773,1.605833666966383,0.11361881996416907,0.002030131058111736,0.9962216624685138
development,A,-1,29,794,794,122.83283695394273,1.1179409587947642,0.15470130598733342,0.0014079860941999549,1.0
development,A,-1,30,794,791,-7.61411577959856,-2.649119575017575,-0.009625936510238381,-0.003349076580300348,0.9962216624685138
development,A,-1,31,794,791,3.6936948410844685,-0.6479529221965954,0.00466965213790704,-0.000819156665229577,0.9962216624685138
development,A,-1,32,794,791,100.46725608998251,-1.094684642287541,0.12701296597975034,-0.001383924958644173,0.9962216624685138
development,A,-1,33,794,792,60.141096542437545,-1.0921409413871797,0.07593572795762316,-0.0013789658350848227,0.9974811083123426
development,A,-1,34,794,792,29.517896344227754,-3.1275765030404896,0.03727007114170171,-0.003948960231111729,0.9974811083123426
development,A,-1,35,794,794,-9.05882108634842,-0.9994407663889462,-0.011409094567189446,-0.0012587415193815444,1.0
development,A,-1,36,794,791,76.69667754671224,-0.5622115262865739,0.09696166567220257,-0.0007107604630677293,0.9962216624685138
development,A,-1,37,794,793,-19.934178859365176,-2.078760725572734,-0.02513767825897248,-0.002621388052424633,0.9987405541561712
development,A,-1,38,794,791,25.947611120107545,-0.7920605518188056,0.03280355388129905,-0.001001340773475102,0.9962216624685138
development,A,-1,39,794,793,156.01584698742073,0.6201783396490412,0.19674129506610433,0.0007820660020794972,0.9987405541561712
development,A,-1,40,794,794,42.80178738867002,-1.2323904314669196,0.053906533235100786,-0.0015521290068852892,1.0
development,A,-1,41,794,793,6.561568836510935,-0.7697153999674355,0.008274361710606476,-0.0009706373265667536,0.9987405541561712
development,A,-1,42,794,789,81.3735674112142,0.0314730263978657,0.10313506642739442,3.9889767297675155e-05,0.9937027707808564
development,A,-1,43,794,789,153.89733227081754,1.4017022048294163,0.19505365306820982,0.0017765553926862058,0.9937027707808564
development,A,-1,44,794,792,154.67411906287845,1.553624831682432,0.19529560487737177,0.0019616475147505455,0.9974811083123426
development,A,-1,45,794,794,93.98805158327336,-0.8116497956233986,0.11837286093611255,-0.0010222289617423156,1.0
development,A,-1,46,794,791,92.00889835979771,0.25588762532823583,0.11631971979746866,0.0003234988942202729,0.9962216624685138
development,A,-1,47,794,789,57.449938308435215,0.1181386417826546,0.0728136100233653,0.00014973211886268008,0.9937027707808564
development,A,-1,48,794,793,78.3256482989738,-1.4162145284331393,0.09877130933035788,-0.0017858947395121556,0.9987405541561712
development,A,-1,49,794,793,108.65065823136406,0.5829712506172049,0.13701217935859275,0.000735146595986387,0.9987405541561712
development,A,-1,50,794,793,87.93350351954723,-0.23508310801240376,0.11088714189098012,-0.00029644780329433006,0.9987405541561712
development,A,-1,51,794,794,93.83925298131837,1.1109664583460217,0.1181854571553128,0.0013992020885970047,1.0
development,A,-1,52,794,793,77.24930393630234,0.014213659163654677,0.09741400244174318,1.792390815088862e-05,0.9987405541561712
