fold,variant,trades,win_rate,profit_factor,sum_net_r,mean_net_r,mean_net_return,realized_net_r_ge_10,mfe_r_ge_10
development,A,1592.0,0.31721105527638194,1.2487785636934303,283.15553175326374,0.1778615149203918,0.005896320700430921,15.0,47.0
development,B12,1098.0,0.3151183970856102,1.0937012796062608,63.46336068078476,0.05779905344333767,0.0022238543771587764,7.0,24.0
development,C24,1265.0,0.3193675889328063,1.2449995319513576,216.56587556397847,0.17119832060393556,0.0057530303336159536,12.0,33.0
validation,A,2004.0,0.2884231536926148,1.0008275494430479,87.4000289763599,0.04361278891035923,1.9416702817838502e-05,20.0,42.0
validation,B12,1423.0,0.3000702740688686,1.0041176587334357,-20.92619315695236,-0.014705687390690343,9.501631977262059e-05,8.0,26.0
validation,C24,1620.0,0.2938271604938272,1.0015579311010596,-27.494386100106688,-0.016971843271670794,3.6528521879407324e-05,11.0,31.0
