fold,variant,side,mean_excess_net_r,excess_net_r_p05,excess_net_r_p95,mean_excess_return,seed_nonpositive_rate,mean_match_rate
development,A,-1,0.09346405956737493,-0.011733913038210482,0.18569715581206178,-0.0003501456836629566,0.5757575757575758,0.9977737068417168
development,A,1,0.15271541336970607,-0.041574683579774965,0.3350582360974556,0.0074990617615403815,0.010101010101010102,0.9941773625984153
development,B12,-1,0.09346405956737493,-0.011733913038210482,0.18569715581206178,-0.0003501456836629566,0.5757575757575758,0.9977737068417168
development,B12,1,0.12641323046695524,-0.11182875499530934,0.36920623852855644,0.011616553552621737,0.010101010101010102,0.9906299840510366
development,C24,-1,0.09346405956737493,-0.011733913038210482,0.18569715581206178,-0.0003501456836629566,0.5757575757575758,0.9977737068417168
development,C24,1,0.2772884452767429,0.019822677908974032,0.5368527250963999,0.012425736380786163,0.0,0.9919792403868837
validation,A,-1,0.04116110372483052,-0.06844587624296201,0.14719103869209946,0.0015591153443616178,0.16161616161616163,0.9970518109597444
validation,A,1,0.025214409184706767,-0.12480369418148518,0.168137786943828,-0.0024649449360530373,0.7777777777777778,0.9975954869138999
validation,B12,-1,0.04116110372483052,-0.06844587624296201,0.14719103869209946,0.0015591153443616178,0.16161616161616163,0.9970518109597444
validation,B12,1,-0.1772804786368369,-0.4280622106018649,0.002933809175059943,-0.0057167679438031764,0.9696969696969697,0.9993718277300366
validation,C24,-1,0.04116110372483052,-0.06844587624296201,0.14719103869209946,0.0015591153443616178,0.16161616161616163,0.9970518109597444
validation,C24,1,-0.11390391954403649,-0.303945731261237,0.06455478422162268,-0.004266108130049611,0.898989898989899,0.9978077941350062
