fold,variant,symbol,timeframe_min,side,trades,win_rate,profit_factor,sum_net_r,mean_net_r,mean_net_return,realized_net_r_ge_10,mfe_r_ge_10
development,A,BTC,30,-1,81.0,0.2716049382716049,0.5827847663039988,-20.336342209483877,-0.25106595320350467,-0.004752875948803886,0.0,2.0
development,A,BTC,30,1,80.0,0.3,0.9376200158595415,-3.0033053987520333,-0.03754131748440041,-0.0006180833010159464,1.0,2.0
development,A,BTC,60,-1,42.0,0.19047619047619047,0.452023565801351,-19.018544435525705,-0.45282248656013585,-0.00929296332819314,0.0,1.0
development,A,BTC,60,1,41.0,0.2682926829268293,1.2616267188414758,3.980994117650393,0.09709741750366813,0.0036935776054156243,0.0,1.0
development,A,BTC,240,-1,13.0,0.07692307692307693,0.12332452191521075,-9.17093518276485,-0.7054565525203731,-0.03361279379843028,0.0,0.0
development,A,BTC,240,1,10.0,0.4,2.8272577499040326,9.988507606982415,0.9988507606982415,0.045878237181255284,0.0,0.0
development,A,DOGE,30,-1,77.0,0.33766233766233766,1.1303888925701846,16.418767109343026,0.21323074167977957,0.0024938685445996802,1.0,2.0
development,A,DOGE,30,1,79.0,0.3037974683544304,1.6812942484352371,47.023240643257814,0.5952308942184533,0.01224294187957199,3.0,6.0
development,A,DOGE,60,-1,39.0,0.28205128205128205,0.7458956295768737,-4.747498743786982,-0.12173073702017902,-0.008560995311175015,0.0,1.0
development,A,DOGE,60,1,35.0,0.37142857142857144,2.38873690446131,36.532815220786375,1.0437947205938964,0.04445311442803204,1.0,3.0
development,A,DOGE,240,-1,9.0,0.3333333333333333,0.5032574248052063,-1.3008528383987148,-0.14453920426652386,-0.04177778201583504,0.0,0.0
development,A,DOGE,240,1,10.0,0.5,5.556300780995691,18.101975427093162,1.8101975427093162,0.17734662777754623,1.0,1.0
development,A,ETH,30,-1,77.0,0.2987012987012987,0.9068265185617945,6.229438076446146,0.0809017932005993,-0.001599633159309352,0.0,2.0
development,A,ETH,30,1,82.0,0.3170731707317073,1.093029216498565,13.230414291711872,0.1613465157525838,0.0016458799919892315,0.0,1.0
development,A,ETH,60,-1,40.0,0.25,0.7276613770051309,-5.392241188139712,-0.1348060297034928,-0.007038961615175291,0.0,1.0
development,A,ETH,60,1,39.0,0.23076923076923078,1.1246241192206197,0.35698028651981173,0.009153340679995172,0.0031093881416614532,0.0,1.0
development,A,ETH,240,-1,8.0,0.5,1.9598338977932863,0.5269445325008806,0.06586806656261007,0.02921738057127638,0.0,0.0
development,A,ETH,240,1,8.0,0.625,4.15232195767704,9.7617153388608,1.2202144173576,0.08473001964079899,0.0,0.0
development,A,PEPE,30,-1,74.0,0.3783783783783784,1.0379845553853804,12.65829193302777,0.17105799909496988,0.0009854624891246036,1.0,1.0
development,A,PEPE,30,1,81.0,0.2839506172839506,1.3314032334206982,19.74941858514315,0.24381998253263149,0.008100587920283415,1.0,4.0
development,A,PEPE,60,-1,43.0,0.3023255813953488,0.7351661416561389,-8.05384778420361,-0.18729878567915373,-0.010486592545100747,0.0,0.0
development,A,PEPE,60,1,40.0,0.275,1.0713999210116831,6.360258152278532,0.1590064538069633,0.003128535719921212,0.0,1.0
development,A,PEPE,240,-1,10.0,0.3,0.5847839806411494,-3.4889624722669454,-0.34889624722669454,-0.03575959664358989,0.0,0.0
development,A,PEPE,240,1,12.0,0.4166666666666667,1.759566800814951,7.927019327507989,0.6605849439589991,0.05315565833108607,0.0,0.0
development,A,SOL,30,-1,81.0,0.25925925925925924,0.8386688249159262,9.192936466365415,0.11349304279463475,-0.003140223035103539,1.0,2.0
development,A,SOL,30,1,77.0,0.2987012987012987,0.7302680476039918,-2.0824837163566916,-0.027045243069567425,-0.005613575991316551,0.0,1.0
development,A,SOL,60,-1,44.0,0.36363636363636365,0.8252961465083012,-2.881840453557687,-0.06549637394449288,-0.0044168929284791845,0.0,0.0
development,A,SOL,60,1,43.0,0.32558139534883723,1.0969072598424958,1.9737685864221612,0.04590159503307352,0.002020019178310898,0.0,1.0
development,A,SOL,240,-1,10.0,0.2,0.2316676351670566,-6.329769581384047,-0.6329769581384047,-0.04214859517459817,0.0,0.0
development,A,SOL,240,1,10.0,0.7,5.709862111004777,8.934546357940437,0.8934546357940437,0.07663978257504969,0.0,0.0
development,A,SOPH,30,-1,16.0,0.3125,1.2311607884992526,-2.7033955737754987,-0.16896222336096867,0.005548522566206149,0.0,0.0
development,A,SOPH,30,1,16.0,0.1875,0.40603539644223763,-1.2118105227279203,-0.07573815767049502,-0.019287850582819673,0.0,1.0
development,A,SOPH,60,-1,5.0,0.4,0.7817646626158666,-0.26644235740210853,-0.053288471480421706,-0.00554318846997324,0.0,0.0
development,A,SOPH,60,1,8.0,0.125,0.11040970051527427,-6.6712666937730205,-0.8339083367216276,-0.0448715173671162,0.0,0.0
development,A,SOPH,240,-1,1.0,1.0,inf,1.4407737512242909,1.4407737512242909,0.1592885760693015,0.0,0.0
development,A,SOPH,240,1,1.0,0.0,0.0,-1.0216353818462334,-1.0216353818462334,-0.0944411694794391,0.0,0.0
development,A,USELESS,30,-1,6.0,0.6666666666666666,2.3737584468579676,3.924759249597188,0.6541265415995313,0.04805792751787013,0.0,0.0
development,A,USELESS,30,1,6.0,0.5,1.5363797642258976,1.564251503470224,0.260708583911704,0.0247375985657181,0.0,0.0
development,A,USELESS,60,-1,3.0,0.3333333333333333,0.712370993018463,-0.5741643680890107,-0.1913881226963369,-0.017036892836170492,0.0,0.0
development,A,USELESS,60,1,3.0,0.6666666666666666,2.464009378242127,1.9848316131246282,0.6616105377082094,0.07731580317144175,0.0,0.0
development,A,XRP,30,-1,72.0,0.3472222222222222,0.8988465792005504,10.425994801150159,0.14480548334930776,-0.0019280642048414075,0.0,2.0
development,A,XRP,30,1,71.0,0.4225352112676056,2.3554726710150704,54.46260209602108,0.7670789027608603,0.018868809536945565,3.0,6.0
development,A,XRP,60,-1,35.0,0.37142857142857144,0.9253624312074642,-1.4861604197323928,-0.042461726278068365,-0.001773520708981629,0.0,1.0
development,A,XRP,60,1,37.0,0.32432432432432434,1.8372126252055794,27.799828833501522,0.7513467252297709,0.022245790059109642,1.0,2.0
development,A,XRP,240,-1,8.0,0.5,0.7193299234617624,-1.2474096827498797,-0.15592621034373497,-0.00833370562587581,0.0,0.0
development,A,XRP,240,1,9.0,0.4444444444444444,7.033716973251667,53.59336685005336,5.954818538894817,0.365681777710948,1.0,1.0
