venue,symbol,asset,base_asset,source_path,frozen_upstream_expected_full_source_sha256,actual_development_prefix_sha256
binance,0GUSDT,0G,0G,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/0GUSDT_30m.csv.gz,750b5c182125ac31f30ab9621203b98e3b3e5a919e4cc75663a113f9241119c4,b83e44d03e0df3ed8c2b9d35a4a38f858d639d82be5e578c11c8043fa391c6b9
binance,1INCHUSDT,1INCH,1INCH,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/1INCHUSDT_30m.csv.gz,5d5f95855011578f88c2e7ad1a99b6a933b98e7806b027bc5f9baf95bb6dfd90,7f12bc88bc7057e61737c64052ca1e177f13db53d37450e645bb4944849749b4
binance,1MBABYDOGEUSDT,1MBABYDOGE,1MBABYDOGE,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/1MBABYDOGEUSDT_30m.csv.gz,69ec61970c011932e655f78d92c952608a405c9b816c7b45522b169e94b24ea5,ab04ce0f4fb7b6a909d6f9fa38bc2cb4f9a2c1c7fd451f8196852dfea8316164
binance,2ZUSDT,2Z,2Z,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/2ZUSDT_30m.csv.gz,0a211bb7286a871d46624fa080407838596a297e677af0eb4bd2b7fcb5e3379b,9ff6573762eb3775ef58a53e480efaebca5290e0876c1a3808fadc153dbd8c65
binance,4USDT,4,4,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/4USDT_30m.csv.gz,753e1ac85e1b33b735314e6745723f14dd93453a68a33aa17bd234bcc3f60923,9ff6573762eb3775ef58a53e480efaebca5290e0876c1a3808fadc153dbd8c65
binance,42USDT,42,42,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/42USDT_30m.csv.gz,5eba251240316377c02617a85c46ec03d6e710d3906a7ce2de932733ebeb9af0,9ff6573762eb3775ef58a53e480efaebca5290e0876c1a3808fadc153dbd8c65
binance,AUSDT,A,A,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/AUSDT_30m.csv.gz,38b6e10487d655d571213338789a76c3c1fb09ce13148c8969655f4d9653ebea,04ccee7d9e7c099ffc1d0268152a690e5933804960b8fad3da262e9579e7139a
binance,A2ZUSDT,A2Z,A2Z,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/A2ZUSDT_30m.csv.gz,427b087cf83db5f6af2644c5e80c004083d3b10de6027894bbe89882b7c27a41,356381629bb97d87e0c2aa1cb4d6f6331675642838d62f67fa1d7a48aa8a20f3
okx,AAOI-USDT-SWAP,AAOI,AAOI,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/okx/AAOI-USDT-SWAP_30m.csv.gz,7e89d55abc0f9e3a80a37ce3c8d80ec526ded3e41e3884bb51edb8e8da950770,9ff6573762eb3775ef58a53e480efaebca5290e0876c1a3808fadc153dbd8c65
okx,AAPL-USDT-SWAP,AAPL,AAPL,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/okx/AAPL-USDT-SWAP_30m.csv.gz,6087a15e957d028370433908236a2a652d2cacb630e7d5369083db42d37a5d29,9ff6573762eb3775ef58a53e480efaebca5290e0876c1a3808fadc153dbd8c65
binance,AAVEUSDT,AAVE,AAVE,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/AAVEUSDT_30m.csv.gz,96b20e7bdd63ffe1316b2d77c2b1c5d36594c449da47b99194cb56745607eeba,a4028d989e7b52a6244b5dcf205ee2d7da69a97f3567991b6a7fdc47f66e6dc5
binance,ACEUSDT,ACE,ACE,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/ACEUSDT_30m.csv.gz,d4b49495379cae2aa4dbf6385a68b4b388fca18617bc7e7f71faaf356551db8a,8d5f38295f58083a5a1a0a907515cef0e635994da0ed668b2d72dc3d7b1da511
binance,ACHUSDT,ACH,ACH,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/ACHUSDT_30m.csv.gz,91da2079964c6018fe9744b0dabc30f4d84dbcca5cd76376074790eb10a9264a,6b6614774d7ea2be4819d64c8d086b8ae66ff891cf7ad403657320099645d366
binance,ACTUSDT,ACT,ACT,/Users/zhangzc/fable-trading/experiments/active/exp-spike-v1-twoyear-allmarkets-20260911-v1/data/normalized/binance/ACTUSDT_30m.csv.gz,e40a8f7ec70ea274c0fc8f692f38f36a6d7bba38321fba3a6896ae4ac59a7d4b,146e10d3c482dcea7c4ce0cd77179c4d3f1c71cc55ebd2e9dd8b7f58f9cc5cc7
