period,rule,candidates,invalid,censored,closed,gt10,precision,confirmed_gt10_per_candidate,candidate_coverage,coverage,recall,win_rate,mean_r,mean_gross_bp,mean_net_bp,assets,positive_asset_months,matched_pairs,unmatched_closed,random_gt10,paired_gt10,random_precision,random_mean_net_bp,paired_excess_r,paired_excess_net_bp,random_tail_p,random_net_p,precision_delta,precision_ci_low,precision_ci_high,random_tail_holm_p,random_net_holm_p,historical_gate_passed
oof,original_all,29118,0,136,28982,246,0.008488027051273205,0.008448382443849165,1.0,1.0,1.0,0.2677523980401629,-0.0778904433707035,-17.34753901178366,-37.34753901178367,779,145,28913,69,298,244,0.010306782416214159,-5.555835563700584,-0.0320124307243273,-32.00933187619644,0.9990234375,0.8037109375,0.0,0.0,0.0,,,
oof,logistic_top1,256,0,0,256,3,0.01171875,0.01171875,0.008791812624493441,0.00883306880132496,0.012195121951219513,0.2734375,-0.14336491217745873,24.17555297942387,4.175552979423856,183,3,256,0,3,3,0.01171875,-40.96138856803303,0.116861402815917,45.136941547456885,0.75,0.165771484375,0.003230722948726795,-0.006369263786026558,0.010096049117192247,1.0,0.91259765625,False
oof,logistic_top5,1213,0,1,1212,21,0.017326732673267328,0.01731244847485573,0.04165808091215056,0.04181906010627286,0.08536585365853659,0.26567656765676567,0.07577171679606358,22.972227475412232,2.9722274754122227,490,14,1211,1,10,21,0.008257638315441783,-25.69800021026484,0.19378530148171347,28.771151978417738,0.078125,0.1201171875,0.008838705621994123,-0.002781185144508461,0.023076492587620918,0.5546875,0.8408203125,False
oof,logistic_top10,2512,0,1,2511,35,0.013938669852648347,0.01393312101910828,0.08626966137784188,0.086639983437996,0.14227642276422764,0.26921545201115094,0.03654607227117079,16.142145516952016,-3.857854483047988,616,24,2510,1,26,35,0.010358565737051793,-14.544357125178857,0.07959555271765809,10.732474449521511,0.2890625,0.343994140625,0.005450642801375142,-0.0022420458382180503,0.016039203590163812,1.0,1.0,False
oof,logistic_top20,5301,0,1,5300,61,0.011509433962264152,0.011507262780607432,0.1820523387595302,0.18287212752743082,0.24796747967479674,0.26037735849056604,-0.06471733015120244,-8.389865989888035,-28.389865989888037,684,44,5294,6,49,61,0.009255761239138648,-18.845124245836967,0.019876547229749478,-9.468986558982479,0.3203125,0.442626953125,0.0030214069109909467,-0.0018628788293545036,0.009169972264167799,1.0,1.0,False
oof,lightgbm_top1,316,0,0,316,3,0.00949367088607595,0.00949367088607595,0.01085239370835909,0.010903319301635498,0.012195121951219513,0.2563291139240506,-0.16461096675528786,-41.82480010112631,-61.82480010112631,207,2,316,0,3,3,0.00949367088607595,-58.74958223212831,0.09944602420663347,-3.0752178689979965,0.625,0.4423828125,0.0010056438348027448,-0.00694480802547715,0.018824003801864966,1.0,1.0,False
oof,lightgbm_top5,1405,0,0,1405,19,0.013523131672597865,0.013523131672597865,0.04825194038052064,0.04847836588227176,0.07723577235772358,0.27473309608540925,-0.01827763821848559,-14.190805660859246,-34.19080566085927,507,14,1404,1,18,19,0.01282051282051282,-5.920625210274718,-0.010159054842908096,-28.333488542652145,0.5,0.542724609375,0.0050351046213246604,-0.0032709343924070904,0.015211892500320278,1.0,1.0,False
oof,lightgbm_top10,2850,0,1,2849,46,0.016146016146016146,0.016140350877192983,0.09787760148361838,0.09830239458974536,0.18699186991869918,0.2755352755352755,-0.0029368515983751345,-0.22335556745349813,-20.223355567453513,624,35,2847,2,32,46,0.011239901650860555,-17.989438698365788,0.07641199242518533,-2.3533832878861056,0.158203125,0.152099609375,0.007657989094742941,0.001064957188778251,0.016202441791031794,0.94921875,0.91259765625,False
oof,lightgbm_top20,5865,0,2,5863,88,0.0150093808630394,0.015004262574595055,0.2014218009478673,0.2022979780553447,0.35772357723577236,0.2749445676274945,0.019839393878927046,9.558853090596944,-10.441146909403063,697,63,5855,8,54,88,0.009222886421861656,-27.304280573121364,0.15305390998875296,17.014455542524107,0.0693359375,0.04345703125,0.006521353811766195,0.001143955050764652,0.014972983424194869,0.5546875,0.34765625,False
oof,risk_top1,550,0,3,547,2,0.003656307129798903,0.0036363636363636364,0.018888659935435127,0.018873783727831068,0.008130081300813009,0.2522851919561243,-0.45397691499828785,-4.936694957932752,-24.93669495793275,166,2,546,1,5,2,0.009157509157509158,-27.964975309109,-0.08780746230829321,3.092612616457041,0.96875,0.8359375,-0.004831719921474301,-0.012323296157578508,0.001892551571143857,,,
