period,score,scored,base_rate,auc_gt10,pr_auc,candidates,invalid,censored,closed,gt10,precision,confirmed_gt10_per_candidate,candidate_coverage,coverage,recall,win_rate,mean_r,mean_gross_bp,mean_net_bp,assets,positive_asset_months,matched_pairs,unmatched_closed,random_gt10,paired_gt10,random_precision,random_mean_net_bp,paired_excess_r,paired_excess_net_bp,random_tail_p,random_net_p,mean_predicted_probability,brier,logloss
oof,logistic,28982,0.008488027051273205,0.5947784258605392,0.011176307727632567,2899,0,0,2899,38,0.013107968264918937,0.013107968264918937,0.09956040936877533,0.10002760334000414,0.15447154471544716,0.26974818903070025,-0.007534575339625342,5.386605591733906,-14.613394408266101,628,27,2898,1,28,38,0.00966183574879227,-15.60268789513807,0.05371618159104241,1.0253989722499137,0.28125,0.330078125,0.009395224033793488,0.008447779444371568,0.049776037796986305
oof,lightgbm,28982,0.008488027051273205,0.6038562999076539,0.011950997029656518,2899,0,0,2899,41,0.014142807864780959,0.014142807864780959,0.09956040936877533,0.10002760334000414,0.16666666666666666,0.2821662642290445,-0.00797000876385472,4.298307902659543,-15.701692097340462,610,30,2897,2,31,41,0.010700724887814981,-19.972947452802387,0.08455366043918987,4.15697245336362,0.197265625,0.1318359375,0.009385159921588298,0.008446109281336494,0.04945650466179598
oof,risk,28982,0.008488027051273205,0.6255024008863418,0.014561264291369485,2899,0,0,2899,61,0.02104173853052777,0.02104173853052777,0.09956040936877533,0.10002760334000414,0.24796747967479674,0.2890651948947913,0.16706674623045709,43.22653891818462,23.226538918184605,537,38,2893,6,30,61,0.010369858278603527,-16.124913738053383,0.30737068897148895,39.52347452733412,0.09765625,0.036865234375,,,
last_two_quarters,logistic,16392,0.011346998535871157,0.5881878343212855,0.014868469173975142,1640,0,0,1640,29,0.01768292682926829,0.01768292682926829,0.09923156047679554,0.10004880429477794,0.15591397849462366,0.27439024390243905,0.11934846138803194,40.99409296819213,20.994092968192124,544,19,1639,1,17,29,0.010372178157413058,-2.9499741582734327,0.14578563569276165,24.029632217375703,0.25,0.25,0.009709886767397773,0.011238875383373224,0.06325894075169526
last_two_quarters,lightgbm,16392,0.011346998535871157,0.5821174687723517,0.014831170405228732,1640,0,0,1640,28,0.01707317073170732,0.01707317073170732,0.09923156047679554,0.10004880429477794,0.15053763440860216,0.2975609756097561,0.05027479625662986,33.170080957814,13.170080957813989,531,22,1639,1,21,28,0.012812690665039659,-9.968128587636704,0.10787893122970245,23.112874783617734,0.25,0.203125,0.009788498480805336,0.011250151715768621,0.06338004945397656
last_two_quarters,risk,16392,0.011346998535871157,0.6299727699418376,0.019383185474662626,1640,0,0,1640,45,0.027439024390243903,0.027439024390243903,0.09923156047679554,0.10004880429477794,0.24193548387096775,0.2810975609756098,0.25507512331016535,52.81623251990489,32.81623251990489,419,31,1634,6,22,45,0.01346389228886169,-12.228946639605745,0.3732122233373677,45.38495727131689,0.125,0.078125,,,
2025Q4,logistic,5599,0.004107876406501161,0.632976732580625,0.006436614398914216,560,0,0,560,2,0.0035714285714285713,0.0035714285714285713,0.1,0.10001786033220218,0.08695652173913043,0.21071428571428572,-0.4112631046708548,-163.88126762026928,-183.88126762026928,304,2,560,0,2,2,0.0035714285714285713,-125.84270346689439,-0.020575418890984628,-58.03856415337488,1.0,0.75,0.007262507422765663,0.00413738406532687,0.027535201501875436
2025Q4,lightgbm,5599,0.004107876406501161,0.6701469028756784,0.007914056319881829,560,0,0,560,4,0.007142857142857143,0.007142857142857143,0.1,0.10001786033220218,0.17391304347826086,0.19464285714285715,-0.35825753278611167,-132.05692865955368,-152.05692865955373,311,4,560,0,3,4,0.005357142857142857,-77.29388594203472,-0.09906253082017505,-74.76304271751899,0.5,1.0,0.007186296370110309,0.00413057616045819,0.027173135250807775
2025Q4,risk,5599,0.004107876406501161,0.5165070800324372,0.004117194488682811,560,0,0,560,1,0.0017857142857142857,0.0017857142857142857,0.1,0.10001786033220218,0.043478260869565216,0.24285714285714285,-0.39787187628530885,-32.2195089066592,-52.219508906659236,239,1,560,0,2,1,0.0035714285714285713,-51.94980305252612,0.004266625170763534,-0.26970585413311643,1.0,0.5,,,
2026Q1,logistic,6991,0.005292518952939493,0.5525771673312657,0.006552405965005826,700,0,0,700,5,0.007142857142857143,0.007142857142857143,0.10012873694750393,0.10012873694750393,0.13513513513513514,0.26571428571428574,-0.10713446529333796,-13.668874260668375,-33.66887426066839,358,4,700,0,7,5,0.01,-2.6236649382228774,-0.0768923950078016,-31.045209322445505,1.0,0.875,0.0103654899150556,0.005355555026570984,0.035974678504000504
2026Q1,lightgbm,6991,0.005292518952939493,0.6137241641987112,0.009430216308567996,700,0,0,700,9,0.012857142857142857,0.012857142857142857,0.10012873694750393,0.10012873694750393,0.24324324324324326,0.28285714285714286,0.0801035628208521,25.455756193506037,5.4557561935060255,343,5,700,0,8,9,0.011428571428571429,-0.5953977728530775,0.0982954801641299,6.051153966359097,0.5,0.25,0.01020048124357937,0.005327643590961184,0.03465602391493563
2026Q1,risk,6991,0.005292518952939493,0.5950201711633981,0.008290085829348771,700,0,0,700,6,0.008571428571428572,0.008571428571428572,0.10012873694750393,0.10012873694750393,0.16216216216216217,0.32142857142857145,0.06859085174322582,26.563263140408434,6.563263140408412,295,5,700,0,3,6,0.004285714285714286,-39.70132451220245,0.34090653982301333,46.264587652610864,0.375,0.125,,,
2026Q2,logistic,8810,0.007604994324631101,0.510316995600745,0.008832151301215528,881,0,0,881,6,0.00681044267877412,0.00681044267877412,0.1,0.1,0.08955223880597014,0.2814982973893303,-0.02840050122326694,24.593683541177548,4.593683541177543,415,5,881,0,5,6,0.0056753688989784334,-20.452998105183426,0.0735357182255003,25.046681646360966,0.5,0.375,0.010139430264888198,0.007612204127539408,0.047512458015071056
2026Q2,lightgbm,8810,0.007604994324631101,0.5159761071117022,0.008190527141736419,881,0,0,881,8,0.009080590238365494,0.009080590238365494,0.1,0.1,0.11940298507462686,0.29625425652667425,-0.06461599873924313,4.687918115628009,-15.312081884372,397,7,881,0,7,8,0.007945516458569807,-12.11147646379018,0.02804726313362183,-3.2006054205818315,0.5,0.5,0.010618608544305148,0.007630269722791095,0.04748942092599632
2026Q2,risk,8810,0.007604994324631101,0.4569105177532218,0.0077812507490421555,881,0,0,881,8,0.009080590238365494,0.009080590238365494,0.1,0.1,0.11940298507462686,0.2633371169125993,-0.2166248074856315,-2.188429641582454,-22.188429641582463,280,7,881,0,5,8,0.0056753688989784334,-28.025138560534927,0.08206529016037475,5.836708918952462,0.5,0.25,,,
2026Q3,logistic,7582,0.01569506726457399,0.6441886415560463,0.024266299317544447,759,0,0,759,23,0.030303030303030304,0.030303030303030304,0.09835428275236491,0.10010551305724083,0.19327731092436976,0.25823451910408435,0.2755108159321553,58.92296508882995,38.92296508882994,378,14,758,1,13,23,0.017150395778364115,5.719154919508815,0.2064192917370787,33.41247778953534,0.5,0.5,0.009210773312782809,0.01545293153793613,0.08155576387351793
2026Q3,lightgbm,7582,0.01569506726457399,0.6423555084636026,0.026397329502126362,759,0,0,759,24,0.03162055335968379,0.03162055335968379,0.09835428275236491,0.10010551305724083,0.20168067226890757,0.28326745718050067,0.17702860582966753,54.77921190453389,34.779211904533874,386,17,757,2,13,24,0.017173051519154558,-1.4858230814570887,0.18119822856998585,35.96105115590509,0.5,0.375,0.008823941680563533,0.015456319001198853,0.08184436458606648
2026Q3,risk,7582,0.01569506726457399,0.7169751727570299,0.032524815979166816,759,0,0,759,29,0.03820816864295125,0.03820816864295125,0.09835428275236491,0.10010551305724083,0.24369747899159663,0.2977602108036891,0.6416961859860363,95.4329295448705,75.43292954487052,301,19,754,5,14,29,0.01856763925729443,2.241084725530898,0.6049482071806248,73.90876416477127,0.25,0.25,,,
