period,model,low,high,n,positives,mean_prediction,observed_rate
oof,logistic,0.0,0.001,1005,7,0.0005645616034395972,0.006965174129353234
oof,logistic,0.001,0.002,1803,8,0.0015441739178720189,0.004437049362174155
oof,logistic,0.002,0.005,7449,39,0.0034875666495149393,0.005235602094240838
oof,logistic,0.005,0.01,8616,75,0.007257936377284681,0.008704735376044569
oof,logistic,0.01,0.02,7329,80,0.014002820599359823,0.010915541001500887
oof,logistic,0.02,0.05,2691,37,0.026885605011514498,0.013749535488665924
oof,logistic,0.05,0.1,89,0,0.06125566184727654,0.0
oof,logistic,0.1,0.2,0,0,,
oof,logistic,0.2,0.5,0,0,,
oof,logistic,0.5,1.0,0,0,,
oof,lightgbm,0.0,0.001,538,1,0.0007940181978371081,0.0018587360594795538
oof,lightgbm,0.001,0.002,2405,12,0.001533228087940203,0.00498960498960499
oof,lightgbm,0.002,0.005,7866,45,0.0034472815736640103,0.005720823798627002
oof,lightgbm,0.005,0.01,8533,73,0.007282239574826313,0.008555021680534396
oof,lightgbm,0.01,0.02,6644,73,0.013989391602611628,0.01098735701384708
oof,lightgbm,0.02,0.05,2889,40,0.0273269496747994,0.013845621322256836
oof,lightgbm,0.05,0.1,103,2,0.061325228496010714,0.019417475728155338
oof,lightgbm,0.1,0.2,4,0,0.1052171004423114,0.0
oof,lightgbm,0.2,0.5,0,0,,
oof,lightgbm,0.5,1.0,0,0,,
last_two_quarters,logistic,0.0,0.001,638,4,0.0005565655650369594,0.006269592476489028
last_two_quarters,logistic,0.001,0.002,1001,8,0.0015338210818669382,0.007992007992007992
last_two_quarters,logistic,0.002,0.005,3775,28,0.00351183337527627,0.007417218543046358
last_two_quarters,logistic,0.005,0.01,4830,53,0.007287587887806648,0.010973084886128364
last_two_quarters,logistic,0.01,0.02,4480,64,0.014108961379115556,0.014285714285714285
last_two_quarters,logistic,0.02,0.05,1630,29,0.02663020306201516,0.017791411042944787
last_two_quarters,logistic,0.05,0.1,38,0,0.05795846574856413,0.0
last_two_quarters,logistic,0.1,0.2,0,0,,
last_two_quarters,logistic,0.2,0.5,0,0,,
last_two_quarters,logistic,0.5,1.0,0,0,,
last_two_quarters,lightgbm,0.0,0.001,239,0,0.0008147204581126581,0.0
