cycle_id,trades,net_pnl,finish_reason,recovered,balance_after
0,6,-13.984730676099389,loss_cap,False,986.0152693239006
1,7,-14.253622153044262,loss_cap,False,971.7616471708563
2,6,-16.998746437720797,loss_cap,False,954.7629007331356
3,6,-15.540704898019044,loss_cap,False,939.2221958351165
4,1,1.4319883381923546,reset_recovery,True,940.6541841733089
5,6,-9.800537279157652,loss_cap,False,930.8536468941512
6,6,-14.452944031590505,loss_cap,False,916.4007028625607
7,6,-10.652724842968496,loss_cap,False,905.7479780195922
8,6,-11.638634875345588,loss_cap,False,894.1093431442466
9,6,-10.998533416366854,loss_cap,False,883.1108097278798
10,1,1.2848271186442162,reset_recovery,True,884.395636846524
11,6,-16.101462121692293,loss_cap,False,868.2941747248317
12,7,-6.524014595238896,loss_cap,False,861.7701601295928
13,7,-9.39059270942073,loss_cap,False,852.3795674201721
14,6,-12.36819672268473,loss_cap,False,840.0113706974873
15,6,-16.31289725280419,loss_cap,False,823.6984734446831
16,9,-3.8938304621847237,loss_cap,False,819.8046429824984
17,1,1.6166870588235724,reset_recovery,True,821.421330041322
18,6,-11.276154436461184,loss_cap,False,810.1451756048608
19,8,-5.389253381891535,loss_cap,False,804.7559222229693
20,2,1.2738728856623993,reset_recovery,True,806.0297951086317
21,1,1.5577801608578739,reset_recovery,True,807.5875752694895
22,2,0.572813500933762,reset_recovery,True,808.1603887704233
23,7,-7.170608514356559,loss_cap,False,800.9897802560668
24,4,0.8100945128099966,reset_recovery,True,801.7998747688767
25,1,1.202444444444609,reset_recovery,True,803.0023192133214
26,6,-4.01609698951188,loss_cap,False,798.9862222238095
27,8,-3.0224532165930214,loss_cap,False,795.9637690072165
28,2,0.4352117684213681,reset_recovery,True,796.3989807756378
29,1,1.7104207011686867,reset_recovery,True,798.1094014768065
30,7,-4.5297186884124585,loss_cap,False,793.579682788394
31,1,1.870631720430083,reset_recovery,True,795.4503145088241
32,1,1.8011543209876208,reset_recovery,True,797.2514688298118
33,2,0.24325393712490495,reset_recovery,True,797.4947227669367
34,8,-6.024899905949269,loss_cap,False,791.4698228609874
35,7,-7.665608398052086,loss_cap,False,783.8042144629353
36,7,-3.1905364968938557,loss_cap,False,780.6136779660415
37,9,-3.9997809160713587,loss_cap,False,776.6138970499701
38,6,-6.564298371320206,loss_cap,False,770.0495986786499
39,1,1.7493749999999864,reset_recovery,True,771.7989736786499
40,2,1.4003281095036755,reset_recovery,True,773.1993017881535
41,1,1.7615430183356011,reset_recovery,True,774.9608448064891
42,6,-6.155895566780487,loss_cap,False,768.8049492397087
43,1,1.4181696428570376,reset_recovery,True,770.2231188825657
44,2,0.4509476000845325,reset_recovery,True,770.6740664826502
45,8,-4.168363074755916,loss_cap,False,766.5057034078943
46,7,-2.595120868259073,loss_cap,False,763.9105825396352
47,3,0.22025777563294469,reset_recovery,True,764.1308403152682
48,2,1.69713596944041,reset_recovery,True,765.8279762847086
49,1,2.085775453277506,reset_recovery,True,767.9137517379861
50,6,-6.832063152189335,loss_cap,False,761.0816885857968
51,6,-8.503599757611596,loss_cap,False,752.5780888281852
52,3,1.5227428448278033,reset_recovery,True,754.100831673013
53,1,1.8236031927024214,reset_recovery,True,755.9244348657154
54,6,-8.832908525172797,loss_cap,False,747.0915263405426
55,7,-9.28747049684182,loss_cap,False,737.8040558437008
56,1,0.1906445086705162,reset_recovery,True,737.9947003523713
57,7,-4.5543108976658,loss_cap,False,733.4403894547055
58,6,-8.435839476932756,loss_cap,False,725.0045499777727
59,1,1.4564163265305297,reset_recovery,True,726.4609663043033
60,2,1.6281987966596034,reset_recovery,True,728.0891651009629
61,1,1.8952431842966462,reset_recovery,True,729.9844082852595
62,2,1.1067344873991942,reset_recovery,True,731.0911427726587
63,7,-7.624398068763298,loss_cap,False,723.4667447038954
64,6,-6.172243569169268,loss_cap,False,717.2945011347261
65,8,-8.88822194769807,loss_cap,False,708.4062791870281
66,2,0.024335778536737962,reset_recovery,True,708.4306149655648
67,6,-6.972632173882857,loss_cap,False,701.457982791682
68,8,-5.471107054973118,loss_cap,False,695.9868757367088
69,8,-5.510201058809571,loss_cap,False,690.4766746778993
70,2,0.7631653588055087,reset_recovery,True,691.2398400367048
71,1,0.12489192263933546,reset_recovery,True,691.3647319593441
72,8,-5.342570092374558,loss_cap,False,686.0221618669696
73,1,0.40770006724949326,reset_recovery,True,686.429861934219
74,1,0.02844475233803223,reset_recovery,True,686.4583066865571
75,3,0.6441119327768092,reset_recovery,True,687.1024186193339
