name,n_candidates,n_accepted,n_natural,n_blocked,n_rejected_capacity,n_rejected_ruined,net_wins,net_losses,max_consecutive_net_loss,max_consecutive_losing_stop,max_risk,max_effective_leverage,max_realized_drawdown,recovered_cycles,abandoned_cycles,capacity_failed_cycles,capped_cycles,natural_sum_net_r,natural_positive_cash,natural_negative_cash,n_boundary_marks,boundary_mark_pnl,initial_balance,final_balance,profit,final_cash_excluding_boundary,win_rate,active_months,ruined,cash_pf,n_partial,n_full_initial_stop,max_full_initial_stop,max_price_loss,mean_net_r,mean_gross_r,hard_pass
whole_3r,923,751,751,172,0,0,191,560,17,13,1.0,2.7725627582683625,0.5201789927654781,78,75,0,75,-520.1789927654778,374.07400584872227,-894.2529986142006,0,0.0,1000.0,479.82100723452197,-520.178992765478,479.82100723452197,0.25432756324900135,17,False,0.4183089197670173,0,443,12,17,-0.6926484590752033,0.026357365247481244,False
whole_3r_be1,923,775,775,148,0,0,150,625,30,17,1.0,2.8272849679317673,0.5337812190174944,85,88,0,88,-533.7812190174933,298.62173921475267,-832.4029582322473,0,0.0,1000.0,466.2187809825055,-533.7812190174945,466.2187809825055,0.1935483870967742,17,False,0.35874660975367983,0,348,10,10,-0.6887499600225722,0.0305772786824787,False
p50_1_keep,923,751,751,172,0,0,217,534,17,12,1.0,2.7636287532369503,0.5213598033828648,68,81,0,81,-521.3598033828654,226.60150379475232,-747.9613071776173,0,0.0,1000.0,478.64019661713513,-521.3598033828648,478.64019661713513,0.28894806924101196,17,False,0.3029588584599625,378,337,10,10,-0.6942207768080757,0.024785047514607837,False
p50_1_be,923,775,775,148,0,0,244,531,30,17,1.0,2.799794016805213,0.5359062771258407,84,82,0,82,-535.9062771258409,194.29878220180353,-730.2050593276442,0,0.0,1000.0,464.0937228741593,-535.9062771258407,464.0937228741593,0.31483870967741934,17,False,0.2660879703856192,391,348,10,10,-0.6914919704849557,0.02783526822009462,False
p70_1_be,923,775,775,148,0,0,299,476,28,17,1.0,2.7889467481897476,0.5367608959418577,64,73,0,73,-536.760895941858,170.85288640949938,-707.6137823513573,0,0.0,1000.0,463.2391040581423,-536.7608959418577,463.2391040581423,0.3858064516129032,17,False,0.24144934803525972,391,348,10,10,-0.692594704441106,0.026732534263944178,False
p30_1_be,923,775,775,148,0,0,183,592,30,17,1.0,2.8107259931406694,0.5350516583098258,82,89,0,89,-535.0516583098245,228.77106395278253,-763.8227222626081,0,0.0,1000.0,464.9483416901742,-535.0516583098258,464.9483416901742,0.2361290322580645,17,False,0.29950806291165727,391,348,10,10,-0.6903892365288051,0.028938002176245016,False
p50_05_be,923,815,815,108,0,0,132,683,36,32,1.0,2.7917550286221844,0.5878538968847504,48,107,0,107,-587.8538968847532,106.97132027344617,-694.8252171581973,0,0.0,1000.0,412.1461031152495,-587.8538968847505,412.1461031152495,0.1619631901840491,17,False,0.1539542861022717,530,265,6,6,-0.7212931250119657,0.0004545213375606049,False
p50_15_be,923,764,764,159,0,0,252,512,17,14,1.0,2.8205384708605914,0.5491247527876986,79,77,0,77,-549.1247527876993,261.81483044422765,-810.9395832319267,0,0.0,1000.0,450.8752472123015,-549.1247527876985,450.8752472123015,0.3298429319371728,17,False,0.3228536821458243,296,407,11,14,-0.7187496764236891,0.001955054168316322,False
p50_1_lock05,923,794,794,129,0,0,297,497,28,17,1.0,2.7929785995220433,0.5546108091203927,75,79,0,79,-554.6108091203932,171.39826263245465,-726.0090717528476,0,0.0,1000.0,445.3891908796072,-554.6108091203928,445.3891908796072,0.37405541561712846,17,False,0.23608281122250643,399,359,10,10,-0.69850227848916,0.01903280322577167,False
p50_1_netbe,923,786,786,137,0,0,323,460,28,19,1.0,2.7864850744668974,0.5471904250559998,86,71,0,71,-547.1904250559986,156.2929608116557,-703.4833858676554,0,0.0,1000.0,452.80957494400025,-547.1904250559998,452.80957494400025,0.410941475826972,17,False,0.22217008098761082,399,351,10,10,-0.6961710242442724,0.025793216063471715,False
whole_3r_trail1,923,755,755,168,0,0,213,542,17,12,1.0,2.7884493685175196,0.5314461339524458,82,75,0,75,-531.446133952446,356.3133661559456,-887.7595001083916,0,0.0,1000.0,468.5538660475542,-531.4461339524457,468.5538660475542,0.28211920529801326,17,False,0.40136249300902016,0,447,12,17,-0.7039021641754246,0.017368852242174587,False
whole_3r_trail2,923,755,755,168,0,0,207,548,18,13,1.0,2.798888307401694,0.5465369285736443,92,76,0,76,-546.5369285736446,344.2826036623106,-890.8195322359552,0,0.0,1000.0,453.4630714263556,-546.5369285736444,453.4630714263556,0.27417218543046357,17,False,0.38647850793994376,0,447,12,17,-0.7238899716207207,-0.0026189552031213917,False
whole_3r_trail3,923,754,754,169,0,0,195,559,18,13,1.0,2.8039966626596895,0.5418515882665882,76,78,0,78,-541.8515882665887,354.0258236442197,-895.8774119108082,0,0.0,1000.0,458.14841173341176,-541.8515882665882,458.14841173341176,0.25862068965517243,17,False,0.3951721730422039,0,446,12,17,-0.7186360587090028,0.003024469270381851,False
