fold,events,mean_gross_bp,mean_net_bp,median_net_bp,win_rate,profit_factor,equal_risk_1pct_return,max_drawdown,median_hold_bars,p90_net_bp,max_net_bp,mean_capture_of_horizon_mfe,banked_events,banked_to_nonpositive_events,banked_to_nonpositive_share,runner_armed_events,runner_armed_to_nonpositive_events,runner_armed_to_nonpositive_share,actual_mfe_2atr_events,actual_mfe_2atr_to_nonpositive_share,median_giveback_atr,p95_net_bp,mean_banked_gross_bp,profit_floor_gap_breaches,policy
2025H1,54,1.2217702338161984,-18.778229766183813,-101.26233495685808,0.2222222222222222,0.7832581111354489,-0.12916831407879326,-0.21033172361304975,19.5,97.44962254520156,1677.3002693825254,0.31478399360555753,24,12,0.5,20,8,0.4,26,0.5384615384615384,3.1558942273310038,319.32473136538937,4.756537111472544,0,wide_ladder_v6
2025H2,47,56.962394869372794,36.962394869372794,-75.43877181291901,0.2765957446808511,1.5263569429127541,0.23635957918708494,-0.07445499223745367,28.0,473.2606779401303,731.4550321722846,0.4967824430727099,24,11,0.4583333333333333,20,7,0.35,24,0.4583333333333333,3.4720059837240704,531.3780640923617,6.613805976790259,0,wide_ladder_v6
2026P1,13,9.884302919407661,-10.115697080592348,-103.08297509285009,0.23076923076923078,0.8843448750655428,-0.042805064934703485,-0.05806871003662495,35.0,124.22175412388212,792.8843450879145,0.2492134683348431,8,5,0.625,5,2,0.4,8,0.625,3.8365932622233916,398.84593655759033,9.353281923898738,0,wide_ladder_v6
