period                  rule  candidates  invalid  censored  closed  gt5  precision  confirmed_gt5_per_candidate  candidate_coverage  coverage   recall  win_rate    mean_r  mean_gross_bp  mean_net_bp  assets  positive_asset_months  matched_pairs  unmatched_closed  random_gt5  paired_gt5  random_precision  random_mean_net_bp  paired_excess_r  paired_excess_net_bp  random_tail_p  random_net_p  precision_delta  precision_ci_low  precision_ci_high  random_tail_holm_p  random_net_holm_p historical_gate_passed
   oof          original_all       29118        0       136   28982  789   0.027224                     0.027097            1.000000  1.000000 1.000000  0.267752 -0.077890     -17.347539   -37.347539     779                    469          28913                69         953         786          0.032961           -5.555836        -0.032012            -32.009332       0.998291      0.803711         0.000000          0.000000           0.000000                 NaN                NaN                    NaN
   oof         logistic_top1         284        0         0     284    2   0.007042                     0.007042            0.009753  0.009799 0.002535  0.264085 -0.334956     -19.888332   -39.888332     189                      2            284                 0           8           2          0.028169          -37.290568         0.030471             -2.597765       0.968750      0.439941        -0.020182         -0.026891          -0.011656                 1.0           1.000000                  False
   oof         logistic_top5        1313        0         0    1313   39   0.029703                     0.029703            0.045092  0.045304 0.049430  0.296268  0.009343      15.391196    -4.608804     488                     33           1312                 1          45          39          0.034299          -22.122463         0.135884             17.555924       0.718750      0.138184         0.002479         -0.001391           0.005254                 1.0           0.690918                  False
   oof        logistic_top10        2637        0         0    2637   86   0.032613                     0.032613            0.090563  0.090988 0.108999  0.290102  0.031878      14.621715    -5.378285     592                     69           2635                 2          87          86          0.033017          -22.159713         0.127488             16.941084       0.564453      0.083008         0.005389          0.000252           0.010095                 1.0           0.581055                  False
   oof        logistic_top20        5560        0         2    5558  178   0.032026                     0.032014            0.190947  0.191774 0.225602  0.281396 -0.022204       0.683718   -19.316282     684                    133           5552                 6         181         178          0.032601          -20.974501         0.077301              1.660303       0.600098      0.088379         0.004802          0.000227           0.008644                 1.0           0.581055                  False
   oof         lightgbm_top1         294        0         0     294    6   0.020408                     0.020408            0.010097  0.010144 0.007605  0.248299 -0.250934     -40.123518   -60.123518     189                      5            294                 0          13           6          0.044218          -20.924193        -0.138569            -39.199325       0.984375      0.785645        -0.006816         -0.019358           0.005846                 1.0           1.000000                  False
   oof         lightgbm_top5        1396        0         1    1395   35   0.025090                     0.025072            0.047943  0.048133 0.044360  0.273835 -0.086050     -16.295358   -36.295358     451                     28           1393                 2          49          35          0.035176          -28.912255         0.053475             -7.650342       0.889893      0.416260        -0.002134         -0.008657           0.005084                 1.0           1.000000                  False
   oof        lightgbm_top10        2906        0         1    2905   91   0.031325                     0.031315            0.099801  0.100235 0.115336  0.272289 -0.037787      -2.914650   -22.914650     579                     72           2902                 3          89          91          0.030669          -24.926322         0.079726              1.828417       0.468994      0.224854         0.004102         -0.001926           0.008669                 1.0           0.899414                  False
   oof        lightgbm_top20        5944        0         6    5938  196   0.033008                     0.032974            0.204135  0.204886 0.248416  0.276187  0.016593       4.586992   -15.413008     664                    143           5928                10         183         196          0.030870          -25.776050         0.134441             10.211372       0.217773      0.036621         0.005784          0.000812           0.010053                 1.0           0.292969                  False
   oof             risk_top1         550        0         3     547   11   0.020110                     0.020000            0.018889  0.018874 0.013942  0.252285 -0.453977      -4.936695   -24.936695     166                     11            546                 1          12          11          0.021978          -27.964975        -0.087807              3.092613       0.687500      0.835938        -0.007114         -0.015323           0.004320                 NaN                NaN                    NaN
   oof             risk_top5        2022        0         4    2018   76   0.037661                     0.037587            0.069442  0.069629 0.096324  0.280476  0.022871      25.771787     5.771787     427                     56           2013                 5          57          76          0.028316          -21.107382         0.230917             26.974674       0.134766      0.052734         0.010437         -0.001505           0.022647                 NaN                NaN                    NaN
   oof            risk_top10        3648        0         5    3643  132   0.036234                     0.036184            0.125283  0.125699 0.167300  0.286028  0.065508      27.753013     7.753013     570                     94           3637                 6         115         132          0.031619          -14.321724         0.190028             22.186043       0.308105      0.114502         0.009010         -0.002439           0.020705                 NaN                NaN                    NaN
   oof            risk_top20        6722        0         8    6714  222   0.033065                     0.033026            0.230854  0.231661 0.281369  0.279416  0.014320      19.280951    -0.719049     675                    151           6704                10         220         222          0.032816          -13.419587         0.106185             12.667054       0.497070      0.218994         0.005841         -0.003197           0.017330                 NaN                NaN                    NaN
   oof prior_v21_risk_decile        3381        0        14    3367  133   0.039501                     0.039337            0.116114  0.116176 0.168568  0.291654  0.103521      37.264820    17.264820     527                     89           3360                 7         108         133          0.032143           -3.164243         0.199520             20.658201       0.268555      0.138184         0.012277         -0.003115           0.027691                 NaN                NaN                    NaN
