fold,variant_id,kind,feature_count,train_events,test_events,threshold,events,mean_gross_bp,mean_net_bp,median_net_bp,win_rate,profit_factor,equal_risk_1pct_return,max_drawdown,median_hold_bars,p90_net_bp,max_net_bp,mean_capture_of_horizon_mfe,pool_events,selection_rate,auc_profit,evaluation_top_decile_events,evaluation_top_decile_net_bp
2023Q2,signal_score,single_score,0,830,854,0.7962576882167703,82,1.2959041027057168,-18.704095897294252,-57.9842726851,0.15853658536585366,0.6301495648532853,-0.40212412733610026,-0.40212412733610026,18.5,85.31278883919806,801.280748149035,0.4549095181302335,854,0.09601873536299765,0.507830205495149,86,-16.982136253111587
2023Q2,rule_confluence_vote,single_score,0,830,854,5.0,145,-4.374639525548392,-24.37463952554837,-59.773831433413,0.20689655172413793,0.5271559678222114,-0.5952114755050437,-0.5982364346428546,18.0,82.18915384002854,391.831362804795,0.45352655989176094,854,0.16978922716627634,0.4713529067250643,145,-24.37463952554837
2023Q2,legacy_28,lightgbm,28,830,854,0.004385345415202501,80,-2.4123561181625015,-22.4123561181625,-56.362377646861,0.175,0.5609970165575944,-0.361263307696958,-0.39282015954054383,11.5,74.48131928702665,386.879112627835,0.4388576067397893,854,0.0936768149882904,0.4371843514722483,86,-24.66284562412371
2023Q2,legacy_plus_k1k2,lightgbm,43,830,854,0.004068031971588468,82,-9.12154011754644,-29.121540117546424,-55.4840163163935,0.13414634146341464,0.45112101511496844,-0.46085582334872066,-0.4841787679907751,11.0,36.27796006547674,386.879112627835,0.4006723793438722,854,0.09601873536299765,0.43575836282922936,86,-30.91017559548178
2023Q2,legacy_plus_trend,lightgbm,38,830,854,0.00427328424043478,79,-8.07991047906366,-28.07991047906366,-55.51845098244,0.16455696202531644,0.4590628699448659,-0.3745648972922171,-0.38545816685093925,14.0,65.0609731928552,386.879112627835,0.4293482409048414,854,0.09250585480093677,0.44046921816777435,86,-25.52991137516985
2023Q2,legacy_plus_1h,lightgbm,36,830,854,0.0038950060792189854,84,-4.82234260448738,-24.82234260448737,-55.272683610570006,0.14285714285714285,0.5123017848732365,-0.4114528703060122,-0.42078730881449644,14.5,72.09670763484064,386.879112627835,0.45416357007235386,854,0.09836065573770492,0.43757480074355126,86,-25.93079178728336
2023Q2,legacy_plus_volatility,lightgbm,35,830,854,0.0040427448312746845,77,-4.827880653174988,-24.82788065317498,-57.703406113245,0.14285714285714285,0.5281375121001336,-0.37740544526081443,-0.4346017172848319,11.0,93.86250354314078,386.879112627835,0.42522267451680534,854,0.09016393442622951,0.4254369212226155,86,-27.10115611984826
2023Q2,legacy_plus_participation,lightgbm,34,830,854,0.004762435929610261,64,-1.1904527385717052,-21.190452738571704,-57.70007363719,0.125,0.607631254445498,-0.3533256696435414,-0.3533256696435414,11.5,56.535895628769914,801.280748149035,0.5066888332186987,854,0.07494145199063232,0.43462096712586895,86,-19.27989791792394
2023Q2,legacy_plus_structure,lightgbm,36,830,854,0.004475400347622595,82,-5.236140634259112,-25.236140634259108,-57.451522736208496,0.17073170731707318,0.5016908913427194,-0.4268873709488463,-0.4443001833366539,13.0,62.71687558791295,386.879112627835,0.40420893527388035,854,0.09601873536299765,0.45141028579189046,86,-27.979902598606138
2023Q2,legacy_plus_market,lightgbm,37,830,854,0.0041348719229561525,75,-24.195208177098877,-44.19520817709886,-61.350340771435,0.09333333333333334,0.25470577695249413,-0.46406800532852566,-0.46406800532852566,13.0,-8.276292596770656,240.087407631046,0.3935738380091858,854,0.08782201405152225,0.4250719360342238,86,-47.938123476121135
2023Q2,legacy_plus_sequence,lightgbm,37,830,854,0.004603837240925975,88,3.1917180861309316,-16.808281913869056,-52.8736281993555,0.22727272727272727,0.6374564255950952,-0.3050155224460589,-0.3410755896297698,17.5,72.9915663072098,386.879112627835,0.43334084473009393,854,0.10304449648711944,0.45365112508806327,86,-15.83232581799773
