variant_id,events,mean_gross_bp,mean_net_bp,median_net_bp,win_rate,profit_factor,equal_risk_1pct_return,max_drawdown,median_hold_bars,p90_net_bp,max_net_bp,mean_capture_of_horizon_mfe,pool_events,selection_rate,auc_profit,evaluation_top_decile_events,evaluation_top_decile_net_bp
legacy_plus_participation,314,12.859967395916728,-7.140032604083252,-64.727986449497,0.2611464968152866,0.8810804344326085,-0.4084625298958888,-0.6911824399184598,24.0,169.4197785515525,884.298736656958,0.4329253077055558,3437,0.09135874308990398,0.5315214110861474,344,-6.56015021888778
signal_score,368,-3.343128594966543,-23.34312859496651,-66.303881079609,0.21467391304347827,0.630541787201697,-0.6508608992119445,-0.7656987273813763,20.0,122.20045342269614,904.397966036649,0.42884096254760184,3437,0.10707011929007856,0.4952143750641454,344,-23.43173023054638
rule_confluence_vote,566,0.5754545962589764,-19.424545403740993,-68.4634173011765,0.21201413427561838,0.6885648011007491,-0.7835275150811071,-0.8033407239336401,20.0,116.735747417253,876.698291739315,0.4137285036360164,3437,0.16467849869071866,0.5148855341923985,566,-19.424545403740993
legacy_28,300,17.192521473659827,-2.807478526340151,-63.6705861185235,0.26,0.9508302894947704,-0.349078999018683,-0.5269495760355114,26.5,178.51551719706706,905.214157384561,0.44484892092602685,3437,0.08728542333430317,0.5341751236925778,344,-5.382909461060241
