variant_id,kind,feature_count,eligible,selected_events,selection_rate,mean_net_bp,profit_factor,win_rate,mean_auc_profit,mean_evaluation_top_decile_net_bp,positive_fold_count,worst_fold_net_bp,median_fold_net_bp,fold_std_net_bp,familywise_score_p_one_sided
legacy_plus_participation,lightgbm,34,True,206,0.0764378478664193,-17.14854533226459,0.6544922566481982,0.16990291262135923,0.4687903457001548,-13.598699308055634,0,-21.190452738571704,-17.877996982716276,3.3160361602545874,0.7991600419979001
full_all,lightgbm,103,True,255,0.09461966604823747,-17.89231558820187,0.6394899686566545,0.17254901960784313,0.4747618227084047,-16.31128671543068,0,-22.54342370781126,-15.961921420103694,3.1580140071314506,0.8390580470976451
signal_score,single_score,0,True,277,0.10278293135435992,-15.433690314131617,0.6687308665740349,0.1588447653429603,0.49427290703832477,-14.307087470577516,0,-23.27517673266021,-18.704095897294252,8.44174107075116,0.6430678466076696
legacy_plus_calendar,lightgbm,31,True,222,0.08237476808905381,-21.192243649885643,0.5919530459472675,0.18018018018018017,0.48715143909432834,-25.789742201097273,0,-25.199011729408422,-21.075440074746158,2.795031352171569,0.9696515174241288
legacy_plus_structure,lightgbm,36,True,216,0.08014842300556586,-21.23631527154127,0.5935759158443151,0.1712962962962963,0.48472068070027374,-24.270523150472343,0,-25.236140634259108,-19.976114571669704,3.0581783548810897,0.9733013349332533
legacy_plus_volatility,lightgbm,35,True,215,0.07977736549165121,-24.02788180979825,0.5521508788751985,0.15813953488372093,0.4896108039201848,-25.52203115610912,0,-25.641460794749158,-24.82788065317498,2.2261539351921065,0.9958002099895005
legacy_28,lightgbm,28,True,220,0.08163265306122448,-22.40795211292087,0.5773119466436918,0.17272727272727273,0.4798299166618607,-23.56924210570988,0,-26.459806879864487,-22.4123561181625,2.7174317311754637,0.9874006299685015
legacy_plus_1h,lightgbm,36,True,222,0.08237476808905381,-21.328826975980377,0.5803255020117006,0.15315315315315314,0.4884702592069845,-22.131093579918772,0,-27.650919337269563,-24.82234260448737,6.7608118517092874,0.9678516074196291
legacy_plus_trend,lightgbm,38,True,217,0.08051948051948052,-22.89871031952215,0.5634606256882521,0.15207373271889402,0.48365834433441446,-21.156040228859826,0,-28.423973628185305,-28.07991047906366,7.285489175056191,0.9867006649667517
physics_only,lightgbm,72,True,254,0.09424860853432282,-15.36546159403782,0.6930382923311869,0.1889763779527559,0.4725941841437713,-17.413822859803627,0,-29.896564366472592,-17.231252701061972,11.668323973808178,0.6971151442427879
legacy_plus_sequence,lightgbm,37,True,244,0.09053803339517626,-23.053110292029135,0.5349668586926323,0.1721311475409836,0.49784833914253596,-20.90555508571264,0,-30.437116048700098,-22.405649371865636,5.593449535102817,0.984150792460377
rule_confluence_vote,single_score,0,True,459,0.17031539888682745,-23.05960373193438,0.5173887681111592,0.1721132897603486,0.5011695443502274,-23.047847788670655,0,-33.04319132052292,-24.37463952554837,8.753247315067464,0.984400779961002
legacy_plus_k1k2,lightgbm,43,True,238,0.08831168831168831,-30.252970759946937,0.431067951600492,0.15546218487394958,0.47941608908594,-26.069181600902482,0,-35.505006428241465,-29.121540117546424,4.068042709124317,1.0
legacy_plus_market,lightgbm,37,True,240,0.08905380333951762,-23.701676407424078,0.5591084641906351,0.17083333333333334,0.47360403833987474,-28.060475919747745,0,-44.19520817709886,-18.832105308653084,13.94141886405713,0.9955002249887506
