variant_id,feature,split_importance,gain_importance
legacy_28,sma60_sma160_spread_atr,69,0.0821776113298256
legacy_28,sma120_sma240_spread_atr,74,0.05738099584414158
legacy_28,atr_ratio96,65,0.05596272119873902
legacy_28,atr_pct,50,0.04436884805909358
legacy_28,sma60_sma120_spread_atr,45,0.035212654882343486
legacy_28,fee_to_risk,45,0.03461703716311604
legacy_28,ema30_sma60_spread_atr,55,0.03270203009014949
legacy_28,prior24_range_atr,42,0.03212589524628129
legacy_28,direction,36,0.026679849848733284
legacy_28,signed_body_atr,36,0.0252586510614492
legacy_28,adx14,34,0.02317986704292707
legacy_28,prior_range_atr,40,0.020902831907733344
legacy_28,signed_close_atr,27,0.018774997908622026
legacy_28,signed_return8_atr,16,0.013828018971253186
legacy_28,signed_slope_atr_per_bar,23,0.012093029101379216
legacy_28,eff12,22,0.01109130700933747
legacy_28,volume_ratio20,14,0.009394773951498792
legacy_28,ema20_sma60_spread_atr,13,0.009352887027489487
legacy_28,signed_di_balance,12,0.00853314105188474
legacy_28,signed_return24_atr,15,0.008040253043873236
legacy_28,eff24,16,0.00747195107396692
legacy_28,range_ratio20,11,0.007434266095515341
legacy_28,prior_near_ma_share,4,0.003217719029635191
legacy_28,breakout_atr,8,0.0030289889546111226
legacy_28,signal_score,3,0.0019419379532337189
legacy_28,family_has_direct,1,0.0005517299869097769
legacy_28,family_has_coil,0,0.0
legacy_28,family_has_rejection,0,0.0
