feature,quartile,events,mean_net_bp,win_rate
sma60_sma160_spread_atr,1,937,-12.978798743013984,0.2294557097118463
sma60_sma160_spread_atr,2,936,-19.040868464406593,0.23504273504273504
sma60_sma160_spread_atr,3,936,-21.921425589107592,0.21047008547008547
sma60_sma160_spread_atr,4,937,-7.813679354109002,0.23799359658484526
atr_ratio96,1,937,-15.821513218668205,0.1728922091782284
atr_ratio96,2,936,-18.8773635225209,0.21047008547008547
atr_ratio96,3,936,-17.701118924114734,0.22542735042735043
atr_ratio96,4,937,-9.350097924386818,0.304162219850587
sma60_sma120_spread_atr,1,937,-14.07773035374966,0.22518676627534684
sma60_sma120_spread_atr,2,936,-14.92393096406059,0.25
sma60_sma120_spread_atr,3,936,-14.261806198382022,0.21901709401709402
sma60_sma120_spread_atr,4,937,-18.47873627063372,0.21878335112059766
sma120_sma240_spread_atr,1,937,-20.42408893876434,0.20384204909284953
sma120_sma240_spread_atr,2,936,-19.36527723781707,0.24358974358974358
sma120_sma240_spread_atr,3,936,-11.524205059487779,0.23717948717948717
sma120_sma240_spread_atr,4,937,-10.43045084865954,0.22838847385272146
atr_pct,1,937,-14.01360775299576,0.1664887940234792
atr_pct,2,936,-15.244045744533041,0.1955128205128205
atr_pct,3,936,-21.082543992793617,0.2467948717948718
atr_pct,4,937,-11.409627270436216,0.304162219850587
fee_to_risk,1,937,-11.409627270436216,0.304162219850587
fee_to_risk,2,936,-21.082543992793617,0.2467948717948718
fee_to_risk,3,936,-15.244045744533041,0.1955128205128205
fee_to_risk,4,937,-14.01360775299576,0.1664887940234792
signed_volume_balance48,1,937,-2.325222432144754,0.2550693703308431
signed_volume_balance48,2,936,-22.2926907303279,0.22542735042735043
signed_volume_balance48,3,936,-18.494483407410087,0.2094017094017094
signed_volume_balance48,4,937,-18.64218868650066,0.22305229455709713
ema30_sma60_spread_atr,1,937,-12.811655382482103,0.2305229455709712
ema30_sma60_spread_atr,2,936,-13.580566372138948,0.23824786324786323
ema30_sma60_spread_atr,3,936,-16.451312549958956,0.23824786324786323
ema30_sma60_spread_atr,4,937,-18.899572515073793,0.20597652081109924
signed_body_atr,1,937,-13.711908659211218,0.23692636072572038
signed_body_atr,2,936,-16.811674555679613,0.20833333333333334
signed_body_atr,3,936,-15.122657337522524,0.23931623931623933
signed_body_atr,4,937,-16.098896633271504,0.22838847385272146
direction,1,3746,-15.436000857205958,0.22824345969033635
prior_range_atr,1,937,-10.074539474133925,0.2294557097118463
prior_range_atr,2,936,-13.493506444835733,0.22435897435897437
prior_range_atr,3,936,-22.641153834081642,0.2094017094017094
prior_range_atr,4,937,-15.540420173706899,0.2497331910352188
prior24_range_atr,1,937,-12.121642432091795,0.22305229455709713
prior24_range_atr,2,936,-16.032652674157926,0.22756410256410256
prior24_range_atr,3,936,-19.026373789578955,0.2232905982905983
prior24_range_atr,4,937,-14.56780307595067,0.2390608324439701
volume_ratio96,1,937,-17.150040465533603,0.20811099252934898
volume_ratio96,2,936,-10.494158234486228,0.2297008547008547
volume_ratio96,3,936,-14.604412197584143,0.22756410256410256
volume_ratio96,4,937,-19.489230918325145,0.24759871931696906
signed_close_atr,1,937,-13.606807218528397,0.23799359658484526
signed_close_atr,2,936,-16.494497237695857,0.2222222222222222
signed_close_atr,3,936,-17.171318246571012,0.2232905982905983
signed_close_atr,4,937,-14.474362384267467,0.2294557097118463
price_volume_corr24,1,937,-10.803185051335214,0.23479188900747064
price_volume_corr24,2,936,-21.193696865874465,0.23931623931623933
price_volume_corr24,3,936,-13.62606829992163,0.2297008547008547
price_volume_corr24,4,937,-16.12526640641117,0.20917822838847386
volume_impulse4,1,937,-9.787044400706424,0.2518676627534685
volume_impulse4,2,936,-9.566502205391412,0.22863247863247863
volume_impulse4,3,936,-22.134047029630867,0.19764957264957264
volume_impulse4,4,937,-20.257294048720105,0.23479188900747064
adx14,1,937,-22.12729767992478,0.19743863393810032
adx14,2,936,-16.568563858540678,0.2232905982905983
adx14,3,936,-11.222074220370246,0.24465811965811965
adx14,4,937,-11.82277912822131,0.24759871931696906
signed_slope_atr_per_bar,1,937,-23.75903029058237,0.20490928495197439
signed_slope_atr_per_bar,2,936,-7.549450842911074,0.23824786324786323
signed_slope_atr_per_bar,3,936,-16.444055216107238,0.2403846153846154
signed_slope_atr_per_bar,4,937,-13.984126102002875,0.2294557097118463
eff12,1,937,-13.539565809321983,0.22732123799359658
eff12,2,936,-14.694499526565362,0.23504273504273504
eff12,3,936,-20.09195203938157,0.21474358974358973
eff12,4,937,-13.42216369480521,0.23585912486659552
eff24,1,937,-14.543986810621247,0.24759871931696906
eff24,2,936,-12.575672648243692,0.23397435897435898
eff24,3,936,-19.624891633901168,0.21153846153846154
eff24,4,937,-15.000870225671093,0.2198505869797225
