variant_id,feature,split_importance,gain_importance
legacy_plus_participation,sma60_sma160_spread_atr,52,0.06540327036054805
legacy_plus_participation,atr_ratio96,61,0.054130193777382374
legacy_plus_participation,sma60_sma120_spread_atr,50,0.04563806104124524
legacy_plus_participation,sma120_sma240_spread_atr,55,0.04495822777971625
legacy_plus_participation,atr_pct,40,0.04376634265645407
legacy_plus_participation,fee_to_risk,39,0.03431264900427777
legacy_plus_participation,signed_volume_balance48,39,0.03412368104909547
legacy_plus_participation,ema30_sma60_spread_atr,44,0.029368764022365212
legacy_plus_participation,signed_body_atr,36,0.02506117007578723
legacy_plus_participation,direction,29,0.02321802417282015
legacy_plus_participation,prior_range_atr,36,0.017792759921576362
legacy_plus_participation,prior24_range_atr,23,0.01778036291943863
legacy_plus_participation,volume_ratio96,24,0.017589833034435287
legacy_plus_participation,signed_close_atr,24,0.01696643090690486
legacy_plus_participation,price_volume_corr24,29,0.014678093080874532
legacy_plus_participation,volume_impulse4,22,0.012062031019013375
legacy_plus_participation,adx14,16,0.011368077939550858
legacy_plus_participation,signed_slope_atr_per_bar,22,0.011334442941006273
legacy_plus_participation,eff12,18,0.010908118129009381
legacy_plus_participation,eff24,17,0.010730969050200656
legacy_plus_participation,signed_return8_atr,10,0.009309495042543858
legacy_plus_participation,signal_score,12,0.007097819965565577
legacy_plus_participation,signed_di_balance,10,0.006314498925348744
legacy_plus_participation,ema20_sma60_spread_atr,7,0.005960691982181743
legacy_plus_participation,signed_return24_atr,11,0.005620404030196369
legacy_plus_participation,volume_ratio20,13,0.0055847256880952045
legacy_plus_participation,range_ratio20,6,0.003942400042433292
legacy_plus_participation,breakout_atr,5,0.0026919849624391645
legacy_plus_participation,signed_volume_balance12,4,0.0023801470088073984
legacy_plus_participation,prior_near_ma_share,3,0.002286199014633894
legacy_plus_participation,obv_slope12_norm,1,0.0007976510096341372
legacy_plus_participation,family_has_coil,0,0.0
legacy_plus_participation,family_has_direct,0,0.0
legacy_plus_participation,family_has_rejection,0,0.0
