entry_i,exit_i,signal_i,entry_time,exit_time,side,entry_price,exit_price,gross_return,net_return,mae_return,mfe_return,censored,exit_reason
17495,18069,17494,2022-07-04 20:30:00+00:00,2022-07-10 20:00:00+00:00,-1,19782.7,20919.5,-0.05746435016453777,-0.05946435016453777,-0.13987473903966596,0.0251583454230212,False,opposite_entry
18069,18459,18068,2022-07-10 20:00:00+00:00,2022-07-14 21:30:00+00:00,1,20919.5,20570.1,-0.016702120031549583,-0.018702120031549585,-0.09605870121178806,0.012452496474581132,False,opposite_entry
18459,19302,18458,2022-07-14 21:30:00+00:00,2022-07-23 16:15:00+00:00,-1,20570.1,22260.0,-0.08215322239561318,-0.08415322239561318,-0.18025678047262783,0.009508947452856242,False,opposite_entry
19302,19745,19301,2022-07-23 16:15:00+00:00,2022-07-28 07:00:00+00:00,1,22260.0,23126.8,0.038939802336028784,0.03693980233602878,-0.06960017969451926,0.05376010781671159,False,opposite_entry
19745,21485,19744,2022-07-28 07:00:00+00:00,2022-08-15 10:00:00+00:00,-1,23126.8,24173.6,-0.04526350381375721,-0.04726350381375721,-0.09016379265613916,0.03290554681149138,False,opposite_entry
21485,22108,21484,2022-08-15 10:00:00+00:00,2022-08-21 21:45:00+00:00,1,24173.6,21491.5,-0.11095161663963993,-0.11295161663963993,-0.1411291657014263,0.011433961015322458,False,opposite_entry
22108,22624,22107,2022-08-21 21:45:00+00:00,2022-08-27 06:45:00+00:00,-1,21491.5,20137.2,0.06301561082288343,0.061015610822883426,-0.019007514598794906,0.07310331991717645,False,opposite_entry
22624,22862,22623,2022-08-27 06:45:00+00:00,2022-08-29 18:15:00+00:00,1,20137.2,20198.7,0.003054049222334765,0.0010540492223347648,-0.030649742764634613,0.01429195717378784,False,opposite_entry
22862,24519,22861,2022-08-29 18:15:00+00:00,2022-09-16 00:30:00+00:00,-1,20198.7,19758.1,0.02181328501339208,0.01981328501339208,-0.12878551589953813,0.08376776723254464,False,opposite_entry
24519,24690,24518,2022-09-16 00:30:00+00:00,2022-09-17 19:15:00+00:00,1,19758.1,20022.9,0.013402098379905025,0.011402098379905025,-0.02220861317636813,0.021748042574943893,False,opposite_entry
24690,25101,24689,2022-09-17 19:15:00+00:00,2022-09-22 02:00:00+00:00,-1,20022.9,18513.1,0.07540366280608712,0.07340366280608712,-0.006212886245249072,0.09572040014183769,False,opposite_entry
