period,rule,candidates,invalid,censored,closed,gt10,precision,confirmed_gt10_per_candidate,candidate_coverage,coverage,recall,win_rate,mean_r,mean_gross_bp,mean_net_bp,assets,positive_asset_months,retained_gt10,lost_gt10,gained_gt10,gt10_count_ratio,matched_pairs,unmatched_closed,random_gt10,paired_gt10,random_precision,random_mean_net_bp,paired_excess_r,paired_excess_net_bp,random_tail_p,random_net_p,precision_delta,precision_ci_low,precision_ci_high,random_tail_holm_p,random_net_holm_p,historical_gate_passed
oof,original_all,24681,0,113,24568,206,0.008384890915011397,0.008346501357319396,1.0,1.0,1.0,0.26595571475089547,-0.08069627372155425,-17.222837211414973,-37.22283721141499,779,138,206,0,0,1.0,24515,53,246,204,0.010034672649398328,-10.877676446863193,-0.01802629715190748,-26.61264339273518,0.99951171875,0.697265625,0.0,0.0,0.0,,,
oof,logistic_top1,256,0,0,256,3,0.01171875,0.01171875,0.010372351201328957,0.010420058612829698,0.014563106796116505,0.2734375,-0.14336491217745873,24.17555297942387,4.175552979423856,183,3,3,203,0,0.014563106796116505,256,0,3,3,0.01171875,-40.96138856803303,0.116861402815917,45.136941547456885,0.75,0.165771484375,0.0033338590849886027,-0.006249133693520116,0.010206152703054961,1.0,1.0,False
oof,logistic_top5,1202,0,1,1201,21,0.017485428809325562,0.01747088186356073,0.04870143024998987,0.048884728101595575,0.09223300970873786,0.2656119900083264,0.07592088667638504,24.11948291097023,4.119482910970224,490,14,19,187,2,0.10194174757281553,1200,1,9,21,0.0075,-25.101450813464318,0.19609208209771609,29.32373920272163,0.078125,0.144775390625,0.009100537894314165,-0.0026510678975270835,0.02338840667384173,0.5625,1.0,False
oof,logistic_top10,2465,0,1,2464,32,0.012987012987012988,0.012981744421906694,0.0998743973096714,0.10029306414848584,0.14563106796116504,0.2690746753246753,0.019548571488782095,15.314626257989838,-4.685373742010166,616,23,30,176,2,0.1553398058252427,2463,1,24,32,0.0097442143727162,-14.920113303121129,0.07688178589278352,10.281252641619101,0.328125,0.36181640625,0.004602122072001591,-0.002812670563657214,0.014304426804630958,1.0,1.0,False
oof,logistic_top20,5106,0,1,5105,56,0.010969637610186092,0.010967489228358794,0.20687978607025648,0.20779062194724846,0.23786407766990292,0.26111655239960824,-0.06585433641158507,-7.025503638455598,-27.025503638455607,684,43,49,157,7,0.27184466019417475,5099,6,43,56,0.008433026083545793,-19.90002279115236,0.033426711404638945,-7.045223125424119,0.28125,0.4287109375,0.0025847466951746945,-0.0021506254348742466,0.007817259548439892,1.0,1.0,False
oof,lightgbm_top1,316,0,0,316,3,0.00949367088607595,0.00949367088607595,0.012803371014140433,0.012862259850211657,0.014563106796116505,0.2563291139240506,-0.16461096675528786,-41.82480010112631,-61.82480010112631,207,2,3,203,0,0.014563106796116505,316,0,3,3,0.00949367088607595,-58.74958223212831,0.09944602420663347,-3.0752178689979965,0.625,0.4423828125,0.0011087799710645524,-0.006731291715929284,0.018890723006352528,1.0,1.0,False
oof,lightgbm_top5,1382,0,0,1382,18,0.013024602026049204,0.013024602026049204,0.05599448968842429,0.05625203516769782,0.07281553398058252,0.2735166425470333,-0.024283142471726412,-16.04468892999409,-36.04468892999411,507,13,15,191,3,0.08737864077669903,1381,1,18,18,0.013034033309196235,-6.081938778760982,-0.012921262706183259,-30.028455035036192,0.578125,0.55712890625,0.004639711111037807,-0.0031034135898721986,0.013713559347744774,1.0,1.0,False
oof,lightgbm_top10,2783,0,1,2782,45,0.016175413371675055,0.016169601149838304,0.11275880231757222,0.11323673070661022,0.18446601941747573,0.2739036664270309,-0.0005171189878891489,-0.24991519055297834,-20.249915190552986,624,34,38,168,7,0.21844660194174756,2780,2,31,45,0.011151079136690648,-18.18830278003874,0.08218390596786508,-2.1839771635952587,0.158203125,0.14892578125,0.007790522456663658,0.0011658921005275175,0.015980838676749615,0.94921875,1.0,False
oof,lightgbm_top20,5625,0,2,5623,81,0.014405121821091944,0.0144,0.22790810745107573,0.22887495929664603,0.35436893203883496,0.2752978836919794,0.020344799006775018,9.883612769759615,-10.116387230240392,697,60,73,133,8,0.3932038834951456,5615,8,51,81,0.009082813891362422,-27.653399801183678,0.15443648457470135,17.69526505141369,0.0703125,0.032958984375,0.006020230906080547,0.0010497580403273554,0.013409331255381,0.5625,0.263671875,False
oof,risk_top1,520,0,3,517,2,0.0038684719535783366,0.0038461538461538464,0.021068838377699444,0.021043633995441225,0.0,0.2611218568665377,-0.41260343271009975,-2.4840323336765455,-22.484032333676538,166,2,0,206,2,0.009708737864077669,516,1,5,2,0.009689922480620155,-26.521335606708558,-0.07496923544725181,4.1101290084342725,0.96875,0.791748046875,-0.004516418961433061,-0.012111303311764063,0.0024302292411472726,,,
oof,risk_top5,1881,0,4,1877,29,0.015450186467767715,0.01541733120680489,0.07621247113163972,0.07640019537609899,0.13106796116504854,0.27810335641981887,0.04025969002770219,27.43918971076379,7.43918971076379,427,21,27,179,2,0.1407766990291262,1874,3,17,29,0.009071504802561366,-21.091882882616602,0.2398181582656498,28.697017912233257,0.234375,0.06494140625,0.007065295552756317,-0.0038325636448515842,0.02005602666376355,,,
oof,risk_top10,3390,0,5,3385,53,0.01565731166912851,0.015634218289085546,0.1373526194238483,0.13778085314229893,0.24271844660194175,0.28301329394387004,0.07206981396442132,28.377733839131185,8.377733839131173,570,39,50,156,3,0.25728155339805825,3381,4,29,53,0.00857734398107069,-14.963269375013606,0.19294503295259266,23.49394092328273,0.1318359375,0.12548828125,0.007272420754117112,-0.00220958232876492,0.021220078430805662,,,
