flag,description,n_with,n_without,win_rate_with,win_rate_without,win_rate_delta,mean_net_bp_with,mean_net_bp_without,mean_net_bp_delta,win_rate_fisher_p_two_sided,mean_net_permutation_p_two_sided,exploratory_only,win_rate_fisher_p_holm,mean_net_permutation_p_holm
edge_gap_2_7_8,"gap is 2, 7, or 8 rather than central 3-6",23,26,0.43478260869565216,0.34615384615384615,0.08862876254180602,10.900145388867786,-8.509898020934227,19.41004340980201,0.568794981294654,0.4675953240467595,True,1.0,1.0
k1_body_below_owner_strict,K1 body/range is below 0.65,16,33,0.1875,0.48484848484848486,-0.29734848484848486,-31.508247792713437,16.169029093426794,-47.67727688614023,0.06305830485297093,0.08333916660833392,True,1.0,1.0
k1_range_below_owner_strict,K1 range/ATR is below 1.25,17,32,0.47058823529411764,0.34375,0.12683823529411764,4.034587744182566,-1.2231873828573285,5.257775127039896,0.5390165455696887,0.8507114928850712,True,1.0,1.0
k1_close_below_owner_strict,K1 directional close location is below 0.85,33,16,0.3333333333333333,0.5,-0.16666666666666669,-13.149428401886855,28.96107079137096,-42.110499193257816,0.35148578791029916,0.12856871431285688,True,1.0,1.0
k1_volume_below_owner_strict,K1 volume/prior-20 mean is below 1.25,16,33,0.375,0.3939393939393939,-0.018939393939393923,2.7415557232080845,-0.4369362476260671,3.1784919708341515,1.0,0.9105108948910511,True,1.0,1.0
k1_ma_colour_misaligned,K1 HL2 is on the opposite side of SMA40,16,33,0.1875,0.48484848484848486,-0.29734848484848486,-42.9743916170351,21.728371553703965,-64.70276317073906,0.06305830485297093,0.015609843901560984,True,1.0,0.2965870341296587
k2_wick_below_owner_strict,K2 rejection wick share is below 0.60,34,15,0.35294117647058826,0.4666666666666667,-0.11372549019607842,-6.025086577647937,15.619929269313266,-21.6450158469612,0.5318900345692202,0.45232547674523255,True,1.0,1.0
k2_body_above_owner_strict,K2 body/range is above 0.35,13,36,0.38461538461538464,0.3888888888888889,-0.004273504273504258,11.080998153149872,-3.183527238646643,14.264525391796514,1.0,0.6376736232637673,True,1.0,1.0
k2_rejection_below_owner_strict,K2 directional rejection location is below 0.65,28,21,0.32142857142857145,0.47619047619047616,-0.1547619047619047,-14.366071480422619,20.556952231023928,-34.92302371144655,0.3759444661942276,0.1866981330186698,True,1.0,1.0
k2_close_back_below_owner_strict,K2 close-back depth is below 0.25 ATR,18,31,0.3888888888888889,0.3870967741935484,0.0017921146953405187,-9.812921454578703,6.647696180067285,-16.46061763464599,1.0,0.5510044899551004,True,1.0,1.0
k2_touch_outside_owner_strict,K2 touch depth is outside 0.10-1.00 ATR,16,33,0.25,0.45454545454545453,-0.20454545454545453,-21.340644275560287,11.23928193359496,-32.57992620915524,0.21935873401925843,0.24237757622423775,True,1.0,1.0
risk_outside_owner_strict,next-open stop distance is outside 0.25-2.00 ATR,3,46,0.0,0.41304347826086957,-0.41304347826086957,-32.92751042694699,2.7875766669676114,-35.715087093914605,0.27295918367346944,0.5238547614523855,True,1.0,1.0
path_close_distance_large,absolute K2-to-K1 close distance exceeds 0.75 K1 ATR,5,44,0.6,0.36363636363636365,0.23636363636363633,11.737237217654535,-0.6645497883773533,12.401787006031887,0.3628584643848288,0.7902420975790242,True,1.0,1.0
path_extension_large,pre-retest extension exceeds 1.00 K1 ATR,13,36,0.38461538461538464,0.3888888888888889,-0.004273504273504258,-17.788690376861087,7.241638063857312,-25.0303284407184,1.0,0.4058559414405856,True,1.0,1.0
path_wrong_sma40_close,an intermediate close crossed to the wrong SMA40 side,19,30,0.2631578947368421,0.4666666666666667,-0.20350877192982458,-31.850471887435535,21.153498708698145,-53.003970596133684,0.23020759499169124,0.043569564304356954,True,1.0,0.7842521574784251
path_ma_colour_not_continuous,intermediate MA-side colour share is below 1.00,9,40,0.2222222222222222,0.425,-0.20277777777777778,-37.98041351689311,9.281742926292678,-47.26215644318578,0.45108513791347216,0.15613843861561386,True,1.0,1.0
path_volume_relation_outside,K2/K1 volume is outside 0.50-1.50,27,22,0.4444444444444444,0.3181818181818182,0.12626262626262624,0.7556513252005573,0.41106407360245634,0.34458725159810094,0.39547996533399943,0.989670103298967,True,1.0,1.0
oscillator_state_misaligned,owner oscillator sequence is not fully aligned,41,8,0.36585365853658536,0.5,-0.13414634146341464,-4.1537311777665495,24.968621711012197,-29.122352888778746,0.6938025939381274,0.41777582224177756,True,1.0,1.0
market_structure_misaligned,confirmed 10/10 market-break state is not aligned,28,21,0.4642857142857143,0.2857142857142857,0.1785714285714286,8.503388471998175,-9.935661038870471,18.439049510868646,0.2467160097652633,0.4918350816491835,True,1.0,1.0
