arm,arm_label,n,mean_delta_bp_vs_3r,median_delta_bp_vs_3r,better_count,worse_count,equal_count,signflip_p_one_sided,bootstrap_95_ci_low_bp,bootstrap_95_ci_high_bp,pre_boundary_mean_delta_bp,post_boundary_ex_sep_mean_delta_bp,partial_september_mean_delta_bp,delta_positive_both_nonpartial_periods,posthoc,promotable,holdout_use,holm_p_fixed_targets
fixed_4R,Fixed 4R,49,7.4762411506537525,0.0,13,3,33,0.03281967180328197,-0.22039267990189912,15.380946071729499,-7.379920666710145,10.996757517968948,62.56919290383988,False,True,False,2,0.08069919300806992
fixed_5R,Fixed 5R,49,11.555750839485986,0.0,12,4,33,0.026899731002689973,0.7240469388020295,23.6810274806725,-4.6036953089923145,13.524323273647846,101.25443800648348,False,True,False,2,0.08069919300806992
fixed_6R,Fixed 6R,49,10.178556299534383,0.0,11,5,33,0.035839641603583966,0.004687068868049129,21.479327150130146,-1.827469951274482,9.10427422367518,117.41226639434815,False,True,False,2,0.08069919300806992
split_3R_6R,50% 3R + 50% 6R,49,5.089278149767196,0.0,11,5,33,0.03497965020349796,0.003157483944925872,10.681252429422766,-0.913734975637241,4.552137111837595,58.7061331971741,False,True,False,2,
split_3R_runner,50% 3R + runner,49,7.47611920550306,0.0,10,6,33,0.046949530504694956,-0.06113021756310665,16.693941333181794,7.495263802521894,5.620087213643605,37.029046597613075,True,True,False,2,
