direction,side,k1_i,k2_i,gap_bars,k1_time,k2_time,k1_open,k1_high,k1_low,k1_close,k2_open,k2_high,k2_low,k2_close,atr,sma40_k1,sma40_k2,k1_body_ratio,k1_range_atr,k1_close_location,k1_sma40_cross_depth_atr,k1_volume_ratio,k1_ma_colour_aligned,k1_osc_accel_aligned,k2_wick_share,k2_body_ratio,k2_rejection_close_location,k2_sma40_touch_depth_atr,k2_sma40_close_side_atr,k2_volume_ratio,k2_ma_colour_aligned,k2_osc_sign_aligned,k2_osc_accel_aligned,k2_structure_aligned,side_ma_alignment,rope_slope_side_atr,atr_pct,atr_release_24,ma_shift_osc,ma_shift_osc_delta,k2_to_k1_volume_ratio,k1_quality,anchor_k1_score,anchor_k2_score_pre_risk,anchor_path_score,anchor_state_score,oscillator_sequence_aligned,close_distance_atr,extreme_distance_atr,path_variation_atr,path_efficiency,pre_retest_extension_atr,retrace_fraction,wrong_side_close_count,wrong_sma40_close_count,intermediate_ma_colour_share,intermediate_native_side_share,k1_k2_body_overlap_share,entry_i,entry_time,entry_price,stop_price,risk_price,stop_distance_atr,target_price,anchor_k2_score,anchor_score,causal_flag_count,causal_flags,event_id,outcome,resolved,exit_i,exit_bar_time,exit_available_at,exit_price,hold_bars,gross_return,net_return,return_r,net_return_r,mfe_r,mae_r,path_class,net_profitable,verdict,outcome_reason,pre_entry_weaknesses,reason_scope
1,long,5285,5287,2,2026-03-09 05:00:00+00:00,2026-03-09 07:00:00+00:00,67103.2,68030.0,67071.5,67870.9,67236.6,67530.0,66833.2,67504.5,645.582863534628,67162.59875,67138.5975,0.8009389671361472,1.499999426997093,0.8340114762649913,0.09295575478805941,1.4347786361573862,True,True,0.5789322617680928,0.38447187141215994,0.9634041331802528,0.47305701134619005,0.5667785201060717,1.2695794375113487,True,True,True,False,0.0,-0.0009113154025290217,0.009563553000683333,1.3352622822367912,0.2741059638230174,0.06398001604769363,0.8966839123184768,0.46591672503265247,49.29144498579905,66.10056601559415,83.2478555342476,66.66666666666666,False,-0.573395712104044,-0.3729263051157138,1.4118930443784572,-0.40611837729993494,0.03928011019054332,42.34262948206201,1,0,1.0,0.0,0.34896443923406956,5288,2026-03-09 08:00:00+00:00,67504.6,66833.2,671.4000000000087,1.0399904302354455,69518.80000000003,71.7504716796618,67.73910971659379,6,edge_gap_2_7_8|k1_close_below_owner_strict|k2_wick_below_owner_strict|k2_body_above_owner_strict|oscillator_state_misaligned|market_structure_misaligned,977aacab3facc430,tp,True,5299,2026-03-09 19:00:00+00:00,2026-03-09 20:00:00+00:00,69518.80000000003,12,0.029837966597832333,0.02783796659783233,3.0,2.7989139112302768,3.04289544235921,0.32514149538278236,ordinary_tp,True,success,3R target was reached on path bar 12; maximum adverse excursion was 0.33R.,edge_gap_2_7_8|k1_close_below_owner_strict|k2_wick_below_owner_strict|k2_body_above_owner_strict|oscillator_state_misaligned|market_structure_misaligned,"outcome_reason is mechanical path attribution; pre_entry_weaknesses are descriptive associations, not proven causes"
1,long,5362,5368,6,2026-03-12 10:00:00+00:00,2026-03-12 16:00:00+00:00,69919.3,70499.8,69822.0,70373.3,70291.1,70542.7,69864.3,70340.9,646.7900929789784,69934.42,69979.9975,0.6698141044555888,1.2340011796924204,0.8133667748598414,0.02752743853193209,1.1179977198300028,True,True,0.6291273584905758,0.073408018867908,0.7025353773584837,0.17887951787745626,0.5579901484541235,1.5983303923607186,True,True,True,False,10.0,0.004456036696545926,0.009195078439129702,1.072061040898058,0.0421947702169125,0.013901399086744117,1.438080936973842,0.3498429085973268,25.74373262580865,62.05302340648484,69.16885779079742,66.66666666666666,False,-0.058987368282745686,0.07701128636912474,2.94718369679269,-0.02001482579689194,0.7389806415419654,2.254003449125418,1,2,1.0,0.4,0.1096916299559215,5369,2026-03-12 17:00:00+00:00,70340.9,69864.3,476.59999999999127,0.7368696663315798,71770.69999999997,68.37751950540402,57.48919414716919,6,k1_range_below_owner_strict|k1_close_below_owner_strict|k1_volume_below_owner_strict|path_wrong_sma40_close|oscillator_state_misaligned|market_structure_misaligned,52c1acc59a08fc5e,sl,True,5370,2026-03-12 18:00:00+00:00,2026-03-12 19:00:00+00:00,69864.3,2,-0.006775574381334248,-0.008775574381334248,-1.0,-1.2951779269828063,0.3577423415862424,1.2119177507343724,immediate_reversal_sl,False,failure,The exact K2-extreme stop was breached on path bar 2 after at most 0.36R favourable excursion.,k1_range_below_owner_strict|k1_close_below_owner_strict|k1_volume_below_owner_strict|path_wrong_sma40_close|oscillator_state_misaligned|market_structure_misaligned,"outcome_reason is mechanical path attribution; pre_entry_weaknesses are descriptive associations, not proven causes"
1,long,5367,5374,7,2026-03-12 15:00:00+00:00,2026-03-12 22:00:00+00:00,69556.1,70529.3,69428.6,70291.0,70246.7,70278.8,69975.1,70134.0,581.2601987960162,69973.10874999998,70037.65125,0.6676660307077279,1.7082104056285843,0.7835014081947819,0.4933452721979695,2.378414531181122,True,False,0.523213697728007,0.37108989134013226,0.523213697728007,0.10761316554884376,0.16575838187368594,0.2979144939356506,True,True,False,False,11.0,0.022594502887867976,0.008287851809336643,0.9905425680264781,0.25165502161923925,-0.028579163444673872,0.14595713671348612,0.490966957060007,65.89765046743628,27.232081372321442,54.76141533881494,66.66666666666666,False,-0.24365316042853497,0.8481302686254418,2.663113524174306,-0.09149184149184149,0.3906210221647232,2.2550655542312192,0,1,1.0,0.5,0.1533541978500449,5375,2026-03-12 23:00:00+00:00,70133.9,69975.1,158.79999999998836,0.27319950743043503,70610.29999999996,39.36006781026787,56.67145007079644,10,edge_gap_2_7_8|k1_close_below_owner_strict|k2_wick_below_owner_strict|k2_body_above_owner_strict|k2_rejection_below_owner_strict|k2_close_back_below_owner_strict|path_wrong_sma40_close|path_volume_relation_outside|oscillator_state_misaligned|market_structure_misaligned,740ab49e2f9c07fc,tp,True,5375,2026-03-12 23:00:00+00:00,2026-03-13 00:00:00+00:00,70610.29999999996,1,0.0067927207812479296,0.0047927207812479295,3.0,2.116701511334942,3.638539042821444,0.10012594458435356,fast_clean_tp,True,success,3R target was reached on path bar 1; maximum adverse excursion was 0.10R.,edge_gap_2_7_8|k1_close_below_owner_strict|k2_wick_below_owner_strict|k2_body_above_owner_strict|k2_rejection_below_owner_strict|k2_close_back_below_owner_strict|path_wrong_sma40_close|path_volume_relation_outside|oscillator_state_misaligned|market_structure_misaligned,"outcome_reason is mechanical path attribution; pre_entry_weaknesses are descriptive associations, not proven causes"
1,long,5486,5494,8,2026-03-17 14:00:00+00:00,2026-03-17 22:00:00+00:00,73581.9,74383.3,73380.6,74344.4,74651.3,74733.1,73880.0,74272.0,612.6999812273461,73897.75749999999,74131.43000000001,0.760446793657128,1.5388925580325727,0.9612047471825982,0.48476189902141426,1.3543992360209391,False,False,0.4595006447075341,0.44461376157543114,0.4595006447075341,0.4103639753609082,0.229427132865919,0.5570060002042329,True,False,True,True,12.0,0.03748603084592214,0.008249407330182925,0.9409210155817375,-0.012238092741796469,0.07019999622246273,0.3544853371501598,0.4648773376373691,70.88817556392664,29.299013895462185,56.40090606408984,33.33333333333333,False,-0.11111580851854956,0.7664535189802135,3.0170090661019473,-0.03682978939871534,0.7759689611461853,1.918512658227826,0,1,1.0,0.7142857142857143,0.06770151486814437,5495,2026-03-17 23:00:00+00:00,74272.0,73880.0,392.0,0.6397911082268272,75448.0,41.08251157955182,50.426231635225406,9,edge_gap_2_7_8|k1_ma_colour_misaligned|k2_wick_below_owner_strict|k2_body_above_owner_strict|k2_rejection_below_owner_strict|k2_close_back_below_owner_strict|path_wrong_sma40_close|path_volume_relation_outside|oscillator_state_misaligned,1cd1eb17dbd2e390,sl,True,5495,2026-03-17 23:00:00+00:00,2026-03-18 00:00:00+00:00,73880.0,1,-0.005277897457992231,-0.007277897457992231,-1.0,-1.3789387755102014,0.24515306122450464,1.1242346938775436,immediate_reversal_sl,False,failure,The exact K2-extreme stop was breached on path bar 1 after at most 0.25R favourable excursion.,edge_gap_2_7_8|k1_ma_colour_misaligned|k2_wick_below_owner_strict|k2_body_above_owner_strict|k2_rejection_below_owner_strict|k2_close_back_below_owner_strict|path_wrong_sma40_close|path_volume_relation_outside|oscillator_state_misaligned,"outcome_reason is mechanical path attribution; pre_entry_weaknesses are descriptive associations, not proven causes"
-1,short,5584,5586,2,2026-03-21 16:00:00+00:00,2026-03-21 18:00:00+00:00,70588.3,70623.0,70200.0,70275.8,70276.5,70498.5,70259.0,70364.8,324.4609455741183,70450.72750000001,70451.89875000001,0.7387706855791962,1.2484817854832755,0.8208037825059032,0.4060443509063626,1.7979217201594355,True,True,0.5582463465553115,0.36868475991650485,0.5582463465553115,0.14362668492361608,0.2684413985353077,0.5627933284976263,True,True,True,True,10.0,0.03713330514263557,0.004611125812538631,0.7326425897435912,0.16814386637598588,0.019666114632613002,0.29799788149498063,0.38731431576921793,59.94698264240436,32.99177798477976,74.46203288619614,83.33333333333334,False,-0.26268292886054734,0.367460951046496,0.26268292886054734,-1.0,0.32850123575482787,3.0008984725965075,0,0,1.0,0.0,0.2825600000000093,5587,2026-03-21 19:00:00+00:00,70364.8,70498.5,133.6999999999971,0.41206808345892376,69963.70000000001,44.159814987316466,65.47554096231258,8,edge_gap_2_7_8|k1_range_below_owner_strict|k1_close_below_owner_strict|k2_wick_below_owner_strict|k2_body_above_owner_strict|k2_rejection_below_owner_strict|path_volume_relation_outside|oscillator_state_misaligned,edcd1eaf2ac21301,tp,True,5591,2026-03-21 23:00:00+00:00,2026-03-22 00:00:00+00:00,69963.70000000001,5,0.00570029332848232,0.00370029332848232,3.0,1.9474225878833091,13.807030665669709,0.8070306656693832,ordinary_tp,True,success,3R target was reached on path bar 5; maximum adverse excursion was 0.81R.,edge_gap_2_7_8|k1_range_below_owner_strict|k1_close_below_owner_strict|k2_wick_below_owner_strict|k2_body_above_owner_strict|k2_rejection_below_owner_strict|path_volume_relation_outside|oscillator_state_misaligned,"outcome_reason is mechanical path attribution; pre_entry_weaknesses are descriptive associations, not proven causes"
-1,short,5773,5775,2,2026-03-29 13:00:00+00:00,2026-03-29 15:00:00+00:00,66810.1,66848.6,66485.1,66544.0,66564.3,66697.9,66277.2,66500.2,305.2928980461149,66540.22,66563.74625,0.7320495185694795,1.2423050952968706,0.8379642365887368,-0.012918605942835558,1.5876978585603647,False,False,0.31756596149273164,0.15236510577610235,0.469931067268834,0.4394263700812771,0.20814847121140917,1.9510920527654034,True,True,False,True,11.0,0.06711252596397864,0.0045908568402217576,0.9706161781146911,0.00438621608843661,-0.011207040976144375,1.310545950916661,0.3595977565973919,38.85302836735058,42.77943354626378,49.472240230114224,66.66666666666666,False,0.14969178314719822,0.5150354274037218,0.28776365618705063,0.5201900237530216,0.4237849568550536,2.2411290322580175,0,1,0.0,0.0,0.06550500161343123,5776,2026-03-29 16:00:00+00:00,66500.2,66697.9,197.6999999999971,0.6475748412926863,65907.1,52.31619462188649,51.82703247150449,10,edge_gap_2_7_8|k1_range_below_owner_strict|k1_close_below_owner_strict|k1_ma_colour_misaligned|k2_wick_below_owner_strict|k2_rejection_below_owner_strict|k2_close_back_below_owner_strict|path_wrong_sma40_close|path_ma_colour_not_continuous|oscillator_state_misaligned,215eb8541bc1405b,sl,True,5780,2026-03-29 20:00:00+00:00,2026-03-29 21:00:00+00:00,66697.9,5,-0.0029729233897040075,-0.0049729233897040075,-1.0,-1.6727384926656514,1.9079413252402764,1.3581183611532825,giveback_then_sl,False,failure,The exact K2-extreme stop was breached on path bar 5 after at most 1.91R favourable excursion.,edge_gap_2_7_8|k1_range_below_owner_strict|k1_close_below_owner_strict|k1_ma_colour_misaligned|k2_wick_below_owner_strict|k2_rejection_below_owner_strict|k2_close_back_below_owner_strict|path_wrong_sma40_close|path_ma_colour_not_continuous|oscillator_state_misaligned,"outcome_reason is mechanical path attribution; pre_entry_weaknesses are descriptive associations, not proven causes"
-1,short,5801,5805,4,2026-03-30 17:00:00+00:00,2026-03-30 21:00:00+00:00,67338.0,67439.8,66600.1,66811.6,66617.7,66963.3,66559.5,66771.4,469.93366218857125,66908.34625,66893.51875,0.6268905561510015,1.6535679732070547,0.7481243301178984,0.19051625643429534,1.3132744888392236,False,True,0.47523526498268287,0.3806339772164338,0.47523526498268287,0.14849170343536433,0.25986380594928715,0.6259937667305322,True,True,True,False,8.0,0.031044205352234885,0.007037948316024095,1.0094267487846973,0.3875511548294295,0.06002367259403901,0.43768680053693926,0.525667433617371,37.70718987019041,28.653676592878302,76.37442500006085,50.0,False,0.0791633113289783,0.9383412400061502,1.0633877641202962,0.07444444444446599,1.1831173494138463,1.252496671105187,0,0,1.0,0.6666666666666666,0.0,5806,2026-03-30 22:00:00+00:00,66771.3,66963.3,192.0,0.4085683053770167,66195.3,40.544730494065256,51.156586341079134,10,k1_body_below_owner_strict|k1_close_below_owner_strict|k1_ma_colour_misaligned|k2_wick_below_owner_strict|k2_body_above_owner_strict|k2_rejection_below_owner_strict|path_extension_large|path_volume_relation_outside|oscillator_state_misaligned|market_structure_misaligned,f57c8b8c5e7181f6,sl,True,5806,2026-03-30 22:00:00+00:00,2026-03-30 23:00:00+00:00,66963.3,1,-0.0028754869232738844,-0.0048754869232738845,-1.0,-1.6955343749999872,0.7083333333333334,1.0187499999999545,ordinary_sl,False,failure,The exact K2-extreme stop was breached on path bar 1 after at most 0.71R favourable excursion.,k1_body_below_owner_strict|k1_close_below_owner_strict|k1_ma_colour_misaligned|k2_wick_below_owner_strict|k2_body_above_owner_strict|k2_rejection_below_owner_strict|path_extension_large|path_volume_relation_outside|oscillator_state_misaligned|market_structure_misaligned,"outcome_reason is mechanical path attribution; pre_entry_weaknesses are descriptive associations, not proven causes"
1,long,5808,5815,7,2026-03-31 00:00:00+00:00,2026-03-31 07:00:00+00:00,66765.1,67276.0,66510.0,67178.1,67475.3,67508.7,67064.1,67346.9,488.7660306726761,66900.5125,67078.565,0.5391644908616188,1.6054423702873097,0.8721932114882582,0.2838080482591597,0.9309694013091375,False,True,0.6360773729194645,0.28879892037789306,0.6360773729194645,0.029594937234260533,0.5490050109061165,0.7913570640189316,True,False,False,True,6.0,0.006576433096078889,0.0072574391794229,1.0153226412561704,-0.03931461966838881,-0.03044148147478426,0.8781762415392461,0.46065005908710327,42.97679551061094,43.6276864389437,69.37348858757673,66.66666666666666,False,0.3537841672382235,1.161325871248313,3.370171450942551,0.10497512437810222,2.537688801493285,1.0941526263627364,0,0,1.0,0.5,0.0,5816,2026-03-31 08:00:00+00:00,67346.8,67064.1,282.6999999999971,0.5783953512704726,68194.9,53.02307203245308,58.010005699326854,8,edge_gap_2_7_8|k1_body_below_owner_strict|k1_volume_below_owner_strict|k1_ma_colour_misaligned|k2_rejection_below_owner_strict|k2_touch_outside_owner_strict|path_extension_large|oscillator_state_misaligned,60e326ecafb71d6b,sl,True,5816,2026-03-31 08:00:00+00:00,2026-03-31 09:00:00+00:00,67064.1,1,-0.0041976753164217895,-0.0061976753164217895,-1.0,-1.4764541917226717,0.5040679165192836,2.4648036788114966,ordinary_sl,False,failure,The exact K2-extreme stop was breached on path bar 1 after at most 0.50R favourable excursion.,edge_gap_2_7_8|k1_body_below_owner_strict|k1_volume_below_owner_strict|k1_ma_colour_misaligned|k2_rejection_below_owner_strict|k2_touch_outside_owner_strict|path_extension_large|oscillator_state_misaligned,"outcome_reason is mechanical path attribution; pre_entry_weaknesses are descriptive associations, not proven causes"
-1,short,5816,5823,7,2026-03-31 08:00:00+00:00,2026-03-31 15:00:00+00:00,67346.8,67489.3,66650.0,66739.3,66552.8,67263.1,66552.8,66705.0,620.5552906080304,67092.38125,67161.98375,0.7238174669367304,1.6335017246218242,0.8936018110330006,0.4951667662351037,1.6175663090819365,True,True,0.7857243418274018,0.21427565817259814,0.7857243418274018,0.16294478756426525,0.7364110127112753,1.578583740036654,True,False,False,True,8.0,0.016460028866484375,0.009302980145536772,1.2179390762533822,-0.004210578335357964,-0.019811281728649696,1.0687636879240867,0.5639268649315421,70.5724151242118,73.04662016184135,58.434993106803375,83.33333333333334,False,0.0667569512147422,0.44024554999338805,5.357099364972691,0.012461398728429692,1.5439734518557053,1.6602798436909125,1,1,1.0,0.5,0.0,5824,2026-03-31 16:00:00+00:00,66705.0,67263.1,558.1000000000058,0.8993558002755405,65030.69999999998,77.5388501348678,72.46989792480409,4,edge_gap_2_7_8|path_extension_large|path_wrong_sma40_close|oscillator_state_misaligned,50f8bcceaba19607,sl,True,5824,2026-03-31 16:00:00+00:00,2026-03-31 17:00:00+00:00,67263.1,1,-0.008366689153736617,-0.010366689153736617,-1.0,-1.2390431822253967,0.015767783551339936,2.308367676043701,immediate_reversal_sl,False,failure,The exact K2-extreme stop was breached on path bar 1 after at most 0.02R favourable excursion.,edge_gap_2_7_8|path_extension_large|path_wrong_sma40_close|oscillator_state_misaligned,"outcome_reason is mechanical path attribution; pre_entry_weaknesses are descriptive associations, not proven causes"
-1,short,5933,5938,5,2026-04-05 05:00:00+00:00,2026-04-05 10:00:00+00:00,67070.1,67125.9,66850.3,66904.3,66996.8,67116.7,66923.6,67007.2,194.4047383355876,67031.66500000001,67033.26,0.601596516690886,1.4617483840047276,0.804063860667628,0.20385449615101625,0.9870536935634969,True,True,0.5670636975660536,0.053858104608983166,0.5670636975660536,0.4292076454225388,0.13405023058137644,0.886285703423082,True,True,False,False,9.0,0.025337500001400216,0.002901251482461401,0.9985618648464107,0.17278799033128264,-0.017772786188964856,0.9965019882430021,0.4330284145892613,32.41390438895246,48.69342558221268,74.66396762060774,83.33333333333334,True,-0.5457688995431158,0.04879566448780721,2.001152631658143,-0.2727272727272657,1.7608870228214257,1.6397590361445609,0,0,1.0,0.25,0.06272617611576596,5939,2026-04-05 11:00:00+00:00,67007.3,67116.7,109.39999999999418,0.5627434852495439,66679.10000000002,57.24452131851058,61.91393166535103,8,k1_body_below_owner_strict|k1_close_below_owner_strict|k1_volume_below_owner_strict|k2_wick_below_owner_strict|k2_rejection_below_owner_strict|k2_close_back_below_owner_strict|path_extension_large|market_structure_misaligned,6d0dc4dbe247247c,tp,True,5940,2026-04-05 12:00:00+00:00,2026-04-05 13:00:00+00:00,66679.10000000002,2,0.004897973802854061,0.002897973802854061,3.0,1.7750036563070681,3.2650822669105675,0.39853747714802185,fast_clean_tp,True,success,3R target was reached on path bar 2; maximum adverse excursion was 0.40R.,k1_body_below_owner_strict|k1_close_below_owner_strict|k1_volume_below_owner_strict|k2_wick_below_owner_strict|k2_rejection_below_owner_strict|k2_close_back_below_owner_strict|path_extension_large|market_structure_misaligned,"outcome_reason is mechanical path attribution; pre_entry_weaknesses are descriptive associations, not proven causes"
