arm,arm_label,period,n,net_win_count,net_win_rate,mean_net_bp,profit_factor
fixed_3R,Fixed 3R,pre_boundary,15,5,0.3333333333333333,-13.853772895085557,0.6889771197733596
fixed_4R,Fixed 4R,pre_boundary,15,4,0.26666666666666666,-21.2336935617957,0.5478767161033153
fixed_5R,Fixed 5R,pre_boundary,15,4,0.26666666666666666,-18.457468204077873,0.6069901304471589
fixed_6R,Fixed 6R,pre_boundary,15,4,0.26666666666666666,-15.681242846360037,0.6661035447910025
split_3R_6R,50% 3R + 50% 6R,pre_boundary,15,4,0.26666666666666666,-14.767507870722799,0.6702762120049305
split_3R_runner,50% 3R + runner,pre_boundary,15,4,0.26666666666666666,-6.358509092563663,0.8580294168552512
fixed_3R,Fixed 3R,post_boundary_ex_sep,32,12,0.375,-3.067580268659026,0.9054628536944167
fixed_4R,Fixed 4R,post_boundary_ex_sep,32,12,0.375,7.929177249309924,1.2443625672519392
fixed_5R,Fixed 5R,post_boundary_ex_sep,32,12,0.375,10.456743004988821,1.322257465743398
fixed_6R,Fixed 6R,post_boundary_ex_sep,32,12,0.375,6.0366939550161565,1.1860397347896836
split_3R_6R,50% 3R + 50% 6R,post_boundary_ex_sep,32,12,0.375,1.4845568431785703,1.0457512942420504
split_3R_runner,50% 3R + runner,post_boundary_ex_sep,32,12,0.375,2.5525069449845805,1.078663539783919
fixed_3R,Fixed 3R,partial_september,2,2,1.0,167.70757871151957,inf
fixed_4R,Fixed 4R,partial_september,2,2,1.0,230.27677161535945,inf
fixed_5R,Fixed 5R,partial_september,2,2,1.0,268.96201671800304,inf
fixed_6R,Fixed 6R,partial_september,2,2,1.0,285.11984510586774,inf
split_3R_6R,50% 3R + 50% 6R,partial_september,2,2,1.0,226.4137119086937,inf
split_3R_runner,50% 3R + runner,partial_september,2,2,1.0,204.73662530913265,inf
