candidate_event_id,entry_time,direction,fixed_3r_hold_bars,fixed_3r_net_return,fixed_4R_outcome,fixed_4R_exit_family,fixed_4R_hold_bars,fixed_4R_net_return,fixed_4R_return_r,fixed_5R_outcome,fixed_5R_exit_family,fixed_5R_hold_bars,fixed_5R_net_return,fixed_5R_return_r,fixed_6R_outcome,fixed_6R_exit_family,fixed_6R_hold_bars,fixed_6R_net_return,fixed_6R_return_r,split_3R_6R_outcome,split_3R_6R_exit_family,split_3R_6R_hold_bars,split_3R_6R_net_return,split_3R_6R_return_r,split_3R_runner_outcome,split_3R_runner_exit_family,split_3R_runner_hold_bars,split_3R_runner_net_return,split_3R_runner_return_r
977aacab3facc430,2026-03-09 08:00:00+00:00,1,12,0.027837966597832234,timeout,timeout,12,0.019420762436930222,2.1537086684539486,timeout,timeout,12,0.019420762436930222,2.1537086684539486,timeout,timeout,12,0.019420762436930222,2.1537086684539486,scale_then_timeout,timeout,12,0.023629364517381228,2.576854334226974,scale_then_timeout,timeout,12,0.023629364517381228,2.576854334226974
740ab49e2f9c07fc,2026-03-12 23:00:00+00:00,1,1,0.004792720781247943,target,target,2,0.0070569610416639245,4.0,target,target,2,0.009321201302079906,5.0,target,target,2,0.011585441562495887,6.0,full_target,target,2,0.008189081171871915,4.5,scale_then_timeout,timeout,12,0.017700886447210018,8.700881612091209
edcd1eaf2ac21301,2026-03-21 19:00:00+00:00,-1,5,0.003700293328482299,target,target,5,0.005600391104643065,4.0,target,target,5,0.0075004888808038305,5.0,target,target,5,0.009400586656964598,6.0,full_target,target,5,0.0065504399927234485,4.5,scale_then_timeout,timeout,12,0.009652132884624047,6.132385938668751
6d0dc4dbe247247c,2026-04-05 11:00:00+00:00,-1,2,0.002897973802854055,stop,stop,5,-0.0036326579342846853,-1.0,stop,stop,5,-0.0036326579342846853,-1.0,stop,stop,5,-0.0036326579342846853,-1.0,scale_then_stop,stop,5,-0.000367342065715315,1.0,scale_then_stop,stop,5,-0.000367342065715315,1.0
b289b2f6dc76ba2a,2026-04-18 16:00:00+00:00,-1,3,0.00680431098581461,timeout,timeout,12,0.006517927847213396,2.9024171888989514,timeout,timeout,12,0.006517927847213396,2.9024171888989514,timeout,timeout,12,0.006517927847213396,2.9024171888989514,scale_then_timeout,timeout,12,0.006661119416514002,2.9512085944494757,scale_then_timeout,timeout,12,0.006661119416514002,2.9512085944494757
3aff392fef0c97ec,2026-06-01 04:00:00+00:00,-1,3,0.008734879405553118,target,target,4,0.012313172540737492,4.0,target,target,8,0.015891465675921868,5.0,target,target,9,0.019469758811106234,6.0,full_target,target,9,0.014102319108329679,4.5,scale_then_timeout,timeout,12,0.021098167040366426,6.455079605761892
12b9f8b1e2554d55,2026-06-22 09:00:00+00:00,1,3,0.003931479252296947,target,target,3,0.005908639003062596,3.9999999999999996,target,target,4,0.007885798753828246,4.999999999999999,target,target,4,0.009862958504593894,5.999999999999999,full_target,target,4,0.006897218878445422,4.5,scale_then_timeout,timeout,12,0.0031409272068409167,2.6001577287065993
4bf07a4f67d1c390,2026-06-25 13:00:00+00:00,-1,1,0.024962470162872653,target,target,1,0.03394996021716354,4.0,target,target,1,0.04293745027145442,5.0,timeout,timeout,12,0.02384822398635466,2.8760225413561353,scale_then_timeout,timeout,12,0.024405347074613663,2.938011270678068,scale_then_timeout,timeout,12,0.024405347074613663,2.938011270678068
e6030f623cf08a2e,2026-07-09 13:00:00+00:00,1,1,0.005511612559940164,target,target,1,0.008015483413253552,4.0,target,target,6,0.01051935426656694,5.0,timeout,timeout,12,0.005960615565544123,3.179323548181325,scale_then_timeout,timeout,12,0.005736114062742143,3.0896617740906622,scale_then_timeout,timeout,12,0.005736114062742143,3.0896617740906622
1c9d7cefd1f7cc0f,2026-07-13 01:00:00+00:00,-1,3,0.015015747687194951,target,target,4,0.020687663582926598,4.0,timeout,timeout,12,0.0203316071885912,3.9372246696035558,timeout,timeout,12,0.0203316071885912,3.9372246696035558,scale_then_timeout,timeout,12,0.017673677437893075,3.4686123348017777,scale_then_timeout,timeout,12,0.017673677437893075,3.4686123348017777
