arm,arm_label,n,target_count,stop_count,timeout_count,scaled_count,net_win_count,net_win_rate,mean_net_bp,median_net_bp,profit_factor,equal_notional_compounded,equal_risk_1pct_compounded,equal_risk_1pct_max_drawdown,excluding_partial_september_n,excluding_partial_september_mean_net_bp,excluding_partial_september_profit_factor,excluding_partial_september_equal_risk_1pct_compounded,excluding_partial_september_equal_risk_1pct_max_drawdown,control_n,control_mean_net_bp,matched_candidate_n,candidate_minus_control_bp
fixed_3R,Fixed 3R,49,16,30,3,0,19,0.3877551020408163,0.6009386816258576,-38.98177030807092,1.0172553149871821,0.000996214854479316,-0.13305297520264137,-0.21787994792558774,47,-6.509982170710043,0.8207024692010522,-0.17615602404118058,-0.21787994792558774,141,-15.07511790049766,47,8.565135729787613
fixed_4R,Fixed 4R,49,13,31,5,0,18,0.3673469387755102,8.077179832279612,-38.98177030807092,1.2270934146324466,0.03763829162760235,-0.06356109319317893,-0.21762555472163425,47,-1.3781219457237879,0.9628349933510174,-0.12721829606002433,-0.21762555472163425,141,-15.452808397224095,47,14.074686451500304
fixed_5R,Fixed 5R,49,9,31,9,0,18,0.3673469387755102,12.156689521111844,-38.98177030807092,1.341790599107736,0.05802778217476945,-0.0020256444017315856,-0.21109974965593226,47,1.228803257414346,1.0331382004138328,-0.08306522050327059,-0.21109974965593226,141,-16.489264246262675,47,17.718067503677016
fixed_6R,Fixed 6R,49,7,31,11,0,18,0.3673469387755102,10.77949498116024,-38.98177030807092,1.3030701772296824,0.05138467240272426,0.027136579311119124,-0.21109974965593248,47,-0.8945624709549705,0.9758755600082177,-0.06522647812527849,-0.21109974965593248,141,-18.300222364060662,47,17.405659893105693
split_3R_6R,50% 3R + 50% 6R,49,7,31,11,16,18,0.3673469387755102,5.690216831393056,-38.98177030807092,1.1630375653981024,0.025976196951162933,-0.05540452482898528,-0.2017366707286261,47,-3.702272320832503,0.8982512684948991,-0.1216760747072726,-0.2017366707286261,141,-16.68767013227913,47,12.98539781144662
split_3R_runner,50% 3R + runner,49,0,31,18,16,18,0.3673469387755102,8.077057887128916,-38.98177030807092,1.2314259530905522,0.03783270340377465,-0.01358927328188464,-0.2016519097919065,47,-0.29143434359464565,0.9919905743802474,-0.07079419263254727,-0.2016519097919065,141,-16.125076194231546,47,15.833641850636894
