primary_loss_reason,n,mean_net_bp,median_net_bp,sum_event_net_bp,profit_factor,profit_factor_infinite,win_rate,loss_n,flat_n
cost_flip,24,-12.173693548754427,-13.022196890600783,-292.16864517010623,0.0,False,0.0,24,0
early_reversal,9,-72.04917227635264,-62.02785648008023,-648.4425504871737,0.0,False,0.0,9,0
giveback,14,-32.74753399368398,-31.81244470193965,-458.4654759115757,0.0,False,0.0,14,0
hard_stop,26,-117.84914815212578,-79.45154944911934,-3064.0778519552705,0.0,False,0.0,26,0
other_loss,138,-61.72924790291537,-52.70756469917813,-8518.63621060232,0.0,False,0.0,138,0
