state,requests,closed,net_mean_bp,gross_mean_bp,wins,losses,exit_5min,exit_le_30min,hold_median_minutes,hold_mean_minutes,hard_stops,time_exits,fee_flips,loser_mfe_ge_1r,mae_median_r,never_armed_executed
aligned,286,286,-16.43306544288454,3.56693455711547,75,211,0,16,150.0,170.06993006993008,26,0,24,27,-0.49015539229199967,0
opposite,0,0,,,0,0,0,0,,,0,0,0,0,,0
unknown,0,0,,,0,0,0,0,,,0,0,0,0,,0
