outcome,n,mean_net_bp,median_net_bp,sum_event_net_bp,profit_factor,profit_factor_infinite,win_rate,loss_n,flat_n
hard_stop,26,-117.84914815212578,-79.45154944911934,-3064.0778519552705,0.0,False,0.0,26,0
transition_colour_exit,260,-6.291457171960416,-32.24619351113954,-1635.7788647097082,0.8350649102122821,False,0.28846153846153844,185,0
