state,requests,closed,net_mean_bp,gross_mean_bp,wins,losses,exit_5min,exit_le_30min,hold_median_minutes,hold_mean_minutes,hard_stops,time_exits,fee_flips,loser_mfe_ge_1r,mae_median_r,never_armed_executed
aligned,849,849,-21.975129458383584,-1.9751294583835763,142,707,1,244,75.0,107.037691401649,54,0,104,44,-0.2750131927610425,0
opposite,0,0,,,0,0,0,0,,,0,0,0,0,,0
unknown,0,0,,,0,0,0,0,,,0,0,0,0,,0
