outcome,direction,fold,n,mean_net_bp,median_net_bp,sum_event_net_bp,profit_factor,profit_factor_infinite,win_rate,loss_n,flat_n
hard_stop,-1,2023H1,1,-86.14648245226729,-86.14648245226729,-86.14648245226729,0.0,False,0.0,1,0
hard_stop,-1,2023H2,2,-45.95151207071211,-45.95151207071211,-91.90302414142423,0.0,False,0.0,2,0
hard_stop,-1,2024H1,1,-100.89852092066697,-100.89852092066697,-100.89852092066697,0.0,False,0.0,1,0
hard_stop,-1,2024H2,4,-154.95797075299967,-93.35371871767028,-619.8318830119987,0.0,False,0.0,4,0
hard_stop,1,2023H1,3,-205.20920372427182,-237.22246576666439,-615.6276111728154,0.0,False,0.0,3,0
hard_stop,1,2023H2,4,-96.31050987032928,-89.51484846847656,-385.24203948131714,0.0,False,0.0,4,0
hard_stop,1,2024H1,7,-84.61168519347481,-71.4089443431931,-592.2817963543237,0.0,False,0.0,7,0
hard_stop,1,2024H2,4,-143.03662360511422,-99.98577419238818,-572.1464944204569,0.0,False,0.0,4,0
transition_colour_exit,-1,2023H1,36,-39.4899567546663,-51.43058226351081,-1421.638443167987,0.30680992041574906,False,0.2222222222222222,28,0
transition_colour_exit,-1,2023H2,24,-22.385655018305872,-22.66074584060472,-537.255720439341,0.22798106808378316,False,0.25,18,0
transition_colour_exit,-1,2024H1,30,-4.935874080972389,-27.024569603751864,-148.07622242917168,0.8869063651886463,False,0.4,18,0
transition_colour_exit,-1,2024H2,34,1.3487748087480613,-31.587653105908924,45.858343497434085,1.040041449537822,False,0.2647058823529412,25,0
transition_colour_exit,1,2023H1,29,22.68703364649446,-26.5762334921593,657.9239757483393,1.7487451543375163,False,0.3448275862068966,19,0
transition_colour_exit,1,2023H2,25,-12.13720100841658,-37.925689453985875,-303.43002521041456,0.630113664977005,False,0.16,21,0
transition_colour_exit,1,2024H1,40,28.07525613982774,-6.4825966815473635,1123.0102455931096,1.9568335131807535,False,0.475,21,0
transition_colour_exit,1,2024H2,42,-25.051690911944664,-38.95348311403422,-1052.1710183016758,0.4292951312739662,False,0.16666666666666666,35,0
