bar,protection_arm,protection_trigger_r,protection_disabled,distance_from_1.50r,candidate_rows,decision_rows,all_folds_gross_positive,events,mean_gross_bp,mean_net_bp,median_net_bp,win_rate,profit_factor,equal_risk_1pct_return,max_drawdown,tp,sl,protected_stop,timeout,minimum_fold_events,eligible,robust_score_bp,worst_fold_net_bp,2023H1_events,2023H1_mean_net_bp,2023H2_events,2023H2_mean_net_bp,2024H1_events,2024H1_mean_net_bp,2024H2_events,2024H2_mean_net_bp,matched_events,matched_control_excess_bp,paired_signflip_p_one_sided
15m,trigger_0.75r,0.75,False,0.75,1661,1661,False,345,5.763211971649896,-14.236788028350107,-36.70146137787043,0.4405797101449275,0.47435691644171385,-0.8970809419759286,-0.8979883471595775,47,184,112,2,62,True,-16.791625778160743,-21.072664296530967,89,-11.663343285692926,62,-16.579479228243855,87,-6.792546269818218,107,-21.072664296530967,345,6.258862887121436,0.051629483705162946
15m,trigger_1.00r,1.0,False,0.5,1661,1661,False,345,6.341045363540503,-13.6589546364595,-37.58366719487814,0.39420289855072466,0.5345548291659646,-0.8984352874889021,-0.9009043602773861,61,201,79,4,62,True,-16.412090334701844,-20.901453002712614,89,-7.560759773199922,62,-18.954706196498833,87,-7.215913497592622,107,-20.901453002712614,345,7.316972717956647,0.03061969380306197
15m,trigger_1.25r,1.25,False,0.25,1661,1661,False,345,5.553977078028643,-14.446022921971363,-38.28972416109798,0.36231884057971014,0.5379364456172038,-0.9092824148399766,-0.9114877902643507,68,215,57,5,62,True,-18.13003790251083,-21.403709468549465,89,-7.466995242552096,62,-21.403709468549465,87,-8.206639963550865,107,-21.292595024429822,345,5.8671162153542,0.07459925400745993
15m,trigger_1.50r,1.5,False,0.0,1661,1661,False,345,6.4897423280088145,-13.510257671991193,-38.492220228117915,0.34492753623188405,0.579992877731773,-0.8976624218491096,-0.9001502832647967,79,221,39,6,62,True,-16.3510574594729,-20.540228852589355,89,-7.700339681729607,62,-20.540228852589355,87,-7.911461754042345,107,-18.821657043932724,345,6.630124797972693,0.052009479905200946
15m,trigger_2.00r,2.0,False,0.5,1661,1661,False,345,6.71397910059929,-13.286020899400716,-39.18194886852742,0.30434782608695654,0.6123867090083647,-0.8973668966820608,-0.9020377141363425,91,235,11,8,62,True,-16.81654665108332,-21.62088483716325,89,-5.842699117670593,62,-21.62088483716325,87,-8.62056303042124,107,-18.441057432427986,345,6.656683600396008,0.05644943550564494
15m,trigger_2.50r,2.5,False,1.0,1661,1661,False,345,6.69441985562672,-13.305580144373284,-39.256069303640324,0.2927536231884058,0.6175173727278019,-0.9015825190238774,-0.9060614841246954,93,239,3,10,62,True,-16.58674739725918,-22.209730478405266,89,-6.301016346455416,62,-22.209730478405266,87,-7.089169084346187,107,-19.02685696238324,345,6.948752718241506,0.05161948380516195
15m,protection_disabled,,True,1000000000.0,1661,1661,False,345,6.7704137762667065,-13.2295862237333,-39.382734456538934,0.2898550724637681,0.6209717902413286,-0.8998999758764007,-0.9044555132686798,95,240,0,10,62,True,-16.373866180918437,-22.209730478405266,89,-6.409376763621328,62,-22.209730478405266,87,-7.089169084346187,107,-18.691698273144347,345,7.202503567341412,0.04546954530454696
5m,trigger_0.75r,0.75,False,0.75,9343,9343,False,755,2.183965113463117,-17.816034886536887,-1.0928757898653885e-12,0.47549668874172185,0.19723423543460786,-0.9975603882861294,-0.9975603882861294,58,376,320,1,114,True,-18.860585955513248,-20.545789214989544,180,-20.545789214989544,114,-17.099439022964493,227,-18.666041134339306,234,-15.240755959505377,664,-0.17433376314651058,0.5506144938550614
5m,trigger_1.00r,1.0,False,0.5,9343,9343,False,755,2.4200837117509018,-17.579916288249105,-36.39830927776753,0.43973509933774835,0.2651535159861244,-0.9974739283358599,-0.9974739283358599,87,405,261,2,114,True,-18.22118812665516,-20.44701466788778,180,-20.44701466788778,114,-16.54289166880661,227,-18.026031201335254,234,-15.446903523338536,664,0.16181383027638915,0.45822541774582254
5m,trigger_1.25r,1.25,False,0.25,9343,9343,False,755,3.257417626307013,-16.742582373692994,-36.82765407126752,0.41456953642384103,0.33602602851240154,-0.9966293970267811,-0.9966293970267811,123,427,203,2,114,True,-17.811647119110074,-20.354440088345868,180,-20.354440088345868,114,-15.982654881217828,227,-17.27414062940016,234,-13.818794431210616,664,1.6080357062069857,0.16987830121698783
5m,trigger_1.50r,1.5,False,0.0,9343,9343,False,755,2.6821426984126413,-17.317857301587363,-37.26734624236448,0.3827814569536424,0.3549744231155662,-0.9971106401265801,-0.9971106401265801,141,454,158,2,114,True,-17.6843960795863,-21.06814222464793,180,-21.06814222464793,114,-16.264488351127824,227,-16.91190811344184,234,-15.34000789949557,664,1.2814343836773974,0.23154768452315477
5m,trigger_2.00r,2.0,False,0.5,9343,9343,False,755,2.241074883270423,-17.758925116729586,-38.34561763938702,0.3125827814569536,0.41309762205263456,-0.9976001407472657,-0.9976001407472657,187,512,52,4,114,True,-18.30482679359944,-21.021566451960737,180,-21.021566451960737,114,-15.267314972705814,227,-18.65697276704529,234,-15.591879387906657,664,0.8703518318116297,0.3251167488325117
5m,trigger_2.50r,2.5,False,1.0,9343,9343,False,755,3.0360459494694765,-16.963954050530525,-38.53700270925462,0.29403973509933773,0.45823095187404805,-0.9971874607261739,-0.9971874607261739,212,531,6,6,114,True,-17.49648277106231,-20.203974661119062,180,-20.203974661119062,114,-14.505423588603508,227,-17.829274058580893,234,-14.82994174679682,664,1.102441346282527,0.2912370876291237
5m,protection_disabled,,True,1000000000.0,9343,9343,False,755,3.095126210689932,-16.904873789310074,-38.56701337985323,0.2913907284768212,0.4627595457915192,-0.9971861493138575,-0.9971861493138575,215,534,0,6,114,True,-17.317001649799373,-20.203974661119062,180,-20.203974661119062,114,-14.505423588603508,227,-17.120665560290842,234,-15.32673034461903,664,0.936622627370165,0.3209267907320927
