fold,minutes,cohort,arm,scope,case_count,matched_case_count,control_link_count,funding_case_observed_count,funding_control_observed_link_count,funding_common_case_count,funding_common_control_link_count,funding_coverage_complete,case_mean_net_20bp,matched_case_mean_net_20bp,matched_control_mean_net_20bp,matched_excess_mean_net_20bp,case_mean_net_40bp,matched_case_mean_net_40bp,matched_control_mean_net_40bp,matched_excess_mean_net_40bp,case_mean_net_60bp,matched_case_mean_net_60bp,matched_control_mean_net_60bp,matched_excess_mean_net_60bp,case_mean_net_notional_fee_bp,matched_case_mean_net_notional_fee_bp,matched_control_mean_net_notional_fee_bp,matched_excess_mean_net_notional_fee_bp,funding_common_case_mean_low,funding_common_control_mean_low,funding_common_excess_mean_low,funding_common_case_mean_high,funding_common_control_mean_high,funding_common_excess_mean_high
audit_pre,60,all_core,base,all_events,737,736,2205,0,0,0,0,False,-33.76204781937588,-33.66053707709123,-63.57082769834935,29.910290621258113,-53.76204781937588,-53.66053707709123,-83.57082769834933,29.910290621258106,-73.7620478193759,-73.66053707709123,-103.57082769834933,29.910290621258117,-33.699879493521365,-33.5984044925795,-63.54636755242613,29.947963059846632,,,,,,
audit_pre,60,all_core,deriv_oi24_available,all_events,685,684,2049,0,0,0,0,False,-37.21061198175799,-37.10642580901074,-71.39905104787664,34.2926252388659,-57.210611981758,-57.10642580901074,-91.39905104787664,34.2926252388659,-77.21061198175799,-77.10642580901073,-111.39905104787664,34.2926252388659,-37.13242909947222,-37.02825797215164,-71.34692562199757,34.31866764984592,,,,,,
audit_pre,60,all_core,deriv_oi24_down,all_events,436,436,1306,0,0,0,0,False,-55.206020745154866,-55.206020745154866,-69.98444591448148,14.77842516932662,-75.20602074515487,-75.20602074515487,-89.98444591448147,14.778425169326619,-95.20602074515486,-95.20602074515486,-109.98444591448148,14.778425169326619,-55.16150890114029,-55.16150890114029,-69.94705848358336,14.78554958244308,,,,,,
audit_pre,60,all_core,deriv_oi24_pos,all_events,249,248,743,0,0,0,0,False,-5.70057896633215,-5.286170195467018,-73.88601813723263,68.59984794176563,-25.700578966332152,-25.28617019546702,-93.88601813723263,68.59984794176563,-45.70057896633215,-45.28617019546703,-113.88601813723264,68.59984794176563,-5.563437960808441,-5.14883295183291,-73.80798236533866,68.65914941350574,,,,,,
audit_pre,60,all_core,deriv_oi4_available,all_events,700,699,2094,0,0,0,0,False,-42.236295995073874,-42.141535396868136,-76.93551502101701,34.79397962414886,-62.236295995073874,-62.14153539686815,-96.935515021017,34.79397962414886,-82.23629599507387,-82.14153539686815,-116.935515021017,34.79397962414886,-42.16518294310714,-42.070447181671334,-76.88781933770713,34.81737215603579,,,,,,
audit_pre,60,all_core,deriv_oi4_pos,all_events,327,326,977,0,0,0,0,False,-51.89944165208663,-51.72590020273449,-75.62522085380705,23.899320651072543,-71.89944165208664,-71.7259002027345,-95.62522085380705,23.899320651072546,-91.89944165208662,-91.7259002027345,-115.62522085380705,23.899320651072543,-51.836419659575455,-51.66295628372525,-75.57129692335846,23.90834063963319,,,,,,
audit_pre,60,all_core,deriv_taker55,all_events,128,128,384,0,0,0,0,False,-46.95191372002112,-46.95191372002112,-68.68679883369329,21.734885113672153,-66.95191372002111,-66.95191372002111,-88.68679883369327,21.734885113672153,-86.95191372002111,-86.95191372002111,-108.68679883369327,21.73488511367215,-46.90237088038724,-46.90237088038724,-68.61676424628186,21.714393365894622,,,,,,
audit_pre,60,all_core,deriv_taker_available,all_events,701,700,2097,0,0,0,0,False,-42.58175600839496,-42.48762429677712,-70.96334963671744,28.475725339940325,-62.58175600839496,-62.48762429677713,-90.96334963671744,28.475725339940325,-82.58175600839496,-82.48762429677713,-110.96334963671747,28.475725339940325,-42.51036722074583,-42.41625991650869,-70.9091622837554,28.492902367246714,,,,,,
audit_pre,60,all_core,exit_chandelier,all_events,737,736,2205,0,0,0,0,False,23.884265365824067,24.064099903197313,-10.070142293525901,34.13424219672321,3.884265365824066,4.064099903197308,-30.070142293525905,34.134242196723214,-16.115734634175933,-15.935900096802692,-50.070142293525905,34.134242196723214,23.905180047036094,24.084922791918938,-10.06168738558177,34.146610177500705,,,,,,
audit_pre,60,all_core,exit_fixed3r,all_events,737,736,2205,0,0,0,0,False,-3.474079349980067,-3.331416476622861,-35.4844248801954,32.15300840357254,-23.474079349980066,-23.331416476622863,-55.4844248801954,32.15300840357254,-43.474079349980066,-43.33141647662286,-75.4844248801954,32.15300840357254,-3.4236255798581787,-3.281014364359698,-35.46045609983669,32.179441735476985,,,,,,
