timeframe,arm,half,closed,mean_net_r,total_net_r
15m,joint,2024H2,541,0.31748868702511046,171.76137968058475
15m,joint,2025H1,1489,0.003523637357082486,5.246696024695821
15m,joint,2025H2,1364,-0.11077496854091516,-151.0970570898083
15m,joint,2026H1,1314,-0.22023389253362197,-289.38733478917925
15m,v9_long,2024H2,3030,0.14228395640457733,431.12038790586934
15m,v9_long,2025H1,6675,-0.10326570147473424,-689.298557343851
15m,v9_long,2025H2,7236,-0.11571308413060664,-837.2998767690697
15m,v9_long,2026H1,6264,-0.19515401711088146,-1222.4447631825615
1d,joint,2024H2,4,6.882874190598257,27.53149676239303
1d,joint,2025H2,4,6.02976860248803,24.11907440995212
1d,v9_long,2024H2,18,2.3690911221324944,42.6436401983849
1d,v9_long,2025H2,21,0.7536767964122602,15.827212724657462
1d,v9_long,2026H1,2,-1.0148868908888575,-2.029773781777715
1h,joint,2024H2,163,0.08934128988064653,14.562630250545386
1h,joint,2025H1,366,0.23638838012734076,86.51814712660672
1h,joint,2025H2,540,-0.04375803953709338,-23.629341350030426
1h,joint,2026H1,407,0.12812571103833603,52.14716439260276
1h,v9_long,2024H2,758,-0.04909288063003293,-37.21240351756496
1h,v9_long,2025H1,1719,-0.06460952626311245,-111.06377564629031
1h,v9_long,2025H2,2363,0.0938961720371232,221.8766545237221
1h,v9_long,2026H1,1711,-0.06264694395454598,-107.18892110622816
30m,joint,2024H2,224,-0.4251393971602826,-95.2312249639033
30m,joint,2025H1,693,0.21943047134444454,152.06531664170006
30m,joint,2025H2,1041,0.07051077041912625,73.40171200631042
30m,joint,2026H1,745,0.27563608145872043,205.34888068674672
30m,v9_long,2024H2,1441,-0.1278646545499577,-184.25296720648905
30m,v9_long,2025H1,3095,0.03988834080216216,123.45441478269187
30m,v9_long,2025H2,4371,0.13195843290504022,576.7903102279308
30m,v9_long,2026H1,3245,-0.014739178942427926,-47.82863566817862
4h,joint,2024H2,43,0.9482007880529707,40.77263388627774
4h,joint,2025H1,47,0.007206743899320957,0.338716963268085
4h,joint,2025H2,95,0.605845974323358,57.555367560719006
4h,joint,2026H1,145,-0.6273236867044941,-90.96193457215165
4h,v9_long,2024H2,270,1.134771005289062,306.38817142804675
4h,v9_long,2025H1,192,-0.03289465637546953,-6.31577402409015
4h,v9_long,2025H2,627,-0.11772809205308517,-73.8155137172844
4h,v9_long,2026H1,489,-0.44687831833856667,-218.5234976675591
5m,joint,2024H2,1586,-0.20488976198872047,-324.95516251411067
5m,joint,2025H1,3517,-0.2802890899653489,-985.7767294081322
5m,joint,2025H2,4659,-0.2762480845152486,-1287.0398257565435
5m,joint,2026H1,3403,-0.16567712060783743,-563.7992414284707
5m,v9_long,2024H2,9208,-0.25506839747555843,-2348.669803954942
5m,v9_long,2025H1,21235,-0.27080114523368065,-5750.4623190372085
5m,v9_long,2025H2,27448,-0.30836165153364037,-8463.910611295361
5m,v9_long,2026H1,20204,-0.24726170876594059,-4995.675563907063
