timeframe,joint_taken,v9_long_taken,joint_on_a_v9_bar,joint_per_v9_long
5m,13171,78130,10175,0.16857801100729553
15m,4711,23223,3721,0.20285923437970976
30m,2709,12174,2069,0.2225234105470675
1h,1476,6565,1182,0.22482863670982484
4h,341,1619,268,0.21062384187770228
1d,8,41,7,0.1951219512195122
