timeframe,joint_order,closed,win_rate,mean_net_r,pf,total_net_r,paired_excess_r,p_month_signflip
15m,break_first,2157,0.296708391284191,-0.1055394549032425,0.853830818365315,-227.64860422629408,0.04070706077316256,0.30884557721139433
15m,same_bar,1561,0.31326073030108903,-0.010806903040129911,0.9842531572366793,-16.86957564564279,0.14746709555759716,0.06196901549225387
15m,spike_first,990,0.32222222222222224,-0.019149632628050618,0.9727022602257926,-18.95813630177011,0.25103139556476034,0.01199400299850075
1d,break_first,4,0.75,8.677270807660905,35.1835178277464,34.70908323064362,-7.190525103688798,0.743128435782109
1d,same_bar,3,0.3333333333333333,5.9837775508294655,9.901097870181115,17.951332652488396,-3.6815519126208813,1.0
1d,spike_first,1,0.0,-1.0098447107868682,0.0,-1.0098447107868682,0.00267878885159889,
1h,break_first,689,0.34107402031930334,0.16944771486099364,1.258671920133661,116.74947553922462,0.43449985569948435,0.004497751124437781
1h,same_bar,493,0.3002028397565923,-0.026822271579434915,0.9592597222702449,-13.223379888661412,-0.01633764766685269,0.5527236381809095
1h,spike_first,294,0.3435374149659864,0.08868198901075247,1.1433373542969607,26.072504769161228,0.23189754918832645,0.033483258370814596
30m,break_first,1184,0.2964527027027027,0.2725667358980841,1.3902628498630438,322.7190153033316,0.32231651563883595,0.06646676661669165
30m,same_bar,882,0.30952380952380953,-0.01921890998171119,0.9702998760320803,-16.95107860386927,0.11886780783933501,0.1729135432283858
30m,spike_first,637,0.2967032967032967,0.04680808111678419,1.0666784738770496,29.81674767139153,0.18693146721923923,0.18490754622688654
4h,break_first,149,0.28859060402684567,-0.028808212667606033,0.9585138541072538,-4.292423687473299,-0.22805324403216304,0.8535732133933034
4h,same_bar,110,0.32727272727272727,-0.004494194824122324,0.9930092438423208,-0.4943614306534556,-0.17845773166632106,0.7706146926536732
4h,spike_first,71,0.323943661971831,0.175937590932957,1.2793437510047387,12.491568956239947,-0.1553763157943637,0.6686656671664168
5m,break_first,5821,0.27125923380862393,-0.26027391929506605,0.6825346645311382,-1515.0544842165796,0.07107175025899397,0.10694652673663169
5m,same_bar,4349,0.27362612094734423,-0.2188042788362608,0.717204650988015,-951.5798086588982,0.1261982924949616,0.019490254872563718
5m,spike_first,2995,0.276126878130217,-0.23203227587037714,0.7151962800163051,-694.9366662317796,0.0840687593474866,0.13943028485757122
