timeframe,arm,period,signals_taken,closed,censored,win_rate,mean_net_r,median_net_r,mean_gross_r,pf,total_net_r,mean_net_bp,cost_r_median,ge_10r,event_drawdown_r,matched_pairs,control_mean_r,paired_excess_r,paired_excess_bp,excess_ci_low,excess_ci_high,p_month_signflip,month_blocks
5m,joint,full,13171,13165,6,0.27314849981010253,-0.24014971204764582,-1.10726896551724,-0.04091185200135256,0.7010986883213811,-3161.5709591072573,-28.122827248712564,0.17059090909090963,62,3233.7312238441887,13148,-0.33265925907597205,0.09222822858428516,-1.9565933534124076,0.0022223483735766126,0.16739568310167466,0.03248375812093953,20
5m,joint,earlier,6625,6625,0,0.2801509433962264,-0.22090065156905628,-1.1062449959967977,-0.030963972023184825,0.7210180535513624,-1463.4668166449978,-26.411941179779262,0.16495867768595024,34,1530.6967980675754,6622,-0.29613579394858813,0.07565165724161875,-3.1527954865347065,-0.06552907616626533,0.21195345099659452,0.14342828585707146,13
5m,joint,later,6546,6540,6,0.26605504587155965,-0.25964895144682865,-1.1088733333333307,-0.050989023997585176,0.681499981582481,-1698.1041424622592,-29.855949604474507,0.17820855614973252,28,1758.6150102211952,6526,-0.36971999859076465,0.10904864774320899,-0.742794621335198,0.015850021735304424,0.1839428033772456,0.054972513743128434,8
5m,v9_long,full,78130,78095,35,0.26165567577949933,-0.2760576003354194,-1.1136941176470612,-0.06515026901270325,0.663835077648715,-21558.718298194577,-30.05902769426984,0.17976315789473588,348,21562.586442102624,77982,-0.32132066820773725,0.04503479850887578,-7.27586530987165,-0.006627136128131285,0.09097409973501938,0.0544727636181909,20
5m,v9_long,earlier,39901,39901,0,0.2730758627603318,-0.2422504946648544,-1.11047619047619,-0.04150010646193108,0.6988664558670973,-9666.036987622356,-27.377855661051818,0.17205944798301495,165,9963.01875025233,39872,-0.28162094370959045,0.03924652357227491,-6.296106823805951,-0.028475751290091788,0.10565448508487438,0.13993003498250875,13
5m,v9_long,later,38229,38194,35,0.24972508771011154,-0.31137564304791904,-1.1180242861348253,-0.08985742552781979,0.6287311891186842,-11892.68131057222,-32.86002903734552,0.18909090909091225,183,11895.232454480361,38110,-0.36285589295688736,0.0510906919298191,-8.300922522057727,-0.023100216585139336,0.1102116668086118,0.12093953023488256,8
15m,joint,full,4711,4708,3,0.30756159728122345,-0.05596353359679417,-1.0549735338678103,0.05215757187125804,0.9207167009572513,-263.47631617370695,-10.02961107323907,0.0944493121071806,30,670.9584465975302,4704,-0.176372534373013,0.1203321503506728,18.106759883675718,-0.004059035515295761,0.27018545424379864,0.044977511244377814,20
15m,joint,earlier,2501,2501,0,0.3550579768092763,0.11595787970461176,-1.047488636363637,0.2217775495393876,1.1770236183972798,290.010657141234,23.267337313023514,0.09361676646706635,22,321.5234547177364,2501,-0.18363325745775785,0.2995911371623696,56.57698690662108,0.14705780132126214,0.4540718277187242,0.0034982508745627187,13
15m,joint,later,2210,2207,3,0.25373810602628,-0.25078702914134166,-1.0614484536082471,-0.14005790803268037,0.6715145062503715,-553.486973314941,-47.76212938499382,0.09546666666666695,8,609.7921599147047,2203,-0.16812965265038618,-0.08317521506741792,-25.567338066567746,-0.16890076972081647,0.010988781510369024,0.9395302348825587,8
15m,v9_long,full,23223,23205,18,0.28515406162464985,-0.0998889381335752,-1.0594705493050949,0.009730655044099656,0.8626225599889072,-2317.9228093896127,-22.166919756633245,0.09542372881355998,143,2969.077583376974,23170,-0.14803159657391574,0.04870904257071048,-0.7692311890540523,-0.05954293551999891,0.16460883893246345,0.2063968015992004,20
15m,v9_long,earlier,12351,12348,3,0.3216715257531584,0.017821862685341684,-1.0539688507299454,0.12438126876828332,1.025916381045162,220.0643604385991,-4.933169335505882,0.09330375762345074,82,1341.9368945853612,12345,-0.12204042225070462,0.14013683162154858,12.527115149715472,-0.006520483721898312,0.2985529509958911,0.062468765617191405,13
15m,v9_long,later,10872,10857,15,0.24362162660035,-0.23376505202433565,-1.0648481012658233,-0.12066501394974945,0.6971858777198466,-2537.9871698282122,-41.76739412340867,0.0982733812949639,61,2586.230469624875,10825,-0.17767233994759163,-0.05555664388033771,-15.93259336476858,-0.1886292667536845,0.09178567607885225,0.7586206896551724,8
30m,joint,full,2709,2703,6,0.30077691453940064,0.12415267642280943,-1.0388253424657532,0.20098770165978963,1.1819044582782015,335.5846843708539,14.975874607422442,0.06819354838709678,22,443.11859138146986,2700,-0.09943890294223409,0.22409139811372322,52.07184348940884,-0.03451026143488984,0.48967195810632796,0.05297351324337831,20
30m,joint,earlier,1356,1356,0,0.3333333333333333,0.2896677137987846,-1.0341630461815998,0.36579228481059717,1.4466449233410403,392.78941991115187,35.73130717546722,0.06850088159280657,13,262.04798256800296,1356,-0.011310126500645223,0.30097784029942987,55.79546794722774,-0.14478180891887235,0.727225643526735,0.1089455272363818,13
30m,joint,later,1353,1347,6,0.2680029695619896,-0.04246825207149066,-1.0447243243243236,0.03508197430084752,0.9407461625721717,-57.20473554029792,-5.918235683794122,0.06768354430379787,9,362.90688348372265,1344,-0.18835454345919428,0.14651846983707287,48.31497238464515,-0.10762387450441745,0.3838129009718411,0.19390304847576212,8
30m,v9_long,full,12174,12152,22,0.28554970375246874,0.03852560254575009,-1.0415092633061382,0.11489662332072599,1.054949718128647,468.16312213595506,-10.27552809426137,0.06715161418102619,98,1571.7392644789297,12126,-0.09087738640198643,0.12737769734380958,8.012176701545837,-0.03759280700017282,0.3313394927123732,0.09795102448775612,20
30m,v9_long,earlier,6340,6340,0,0.31892744479495266,0.21364061483954755,-1.0373443556287543,0.2881364906139645,1.3208797708893165,1354.4814980827314,31.571165867034,0.06535566448801775,62,998.4313041043815,6340,-0.03210131201421259,0.24574192685376012,44.21528816815789,-0.06773726465133176,0.5713252945120224,0.07496251874062969,13
30m,v9_long,later,5834,5812,22,0.24913971094287682,-0.15249799999084246,-1.0461118935837246,-0.07408148380920049,0.7938169309054031,-886.3183759467763,-55.92384876091873,0.06939779371637973,36,1338.4278750723329,5786,-0.1552811734082924,-0.0023197128001735475,-31.65732324631459,-0.08517919743773346,0.08867705034459447,0.5297351324337831,8
1h,joint,full,1476,1476,0,0.32791327913279134,0.08780392982366154,-1.0282612162258267,0.14420966052660725,1.1353064275646574,129.59860041972445,17.66883916086445,0.05001896608623085,11,197.72460029664475,1473,-0.15497703476422497,0.24361422945100702,69.90477870302018,0.05770306855413235,0.49029381142587486,0.008995502248875561,20
1h,joint,earlier,747,747,0,0.3949129852744311,0.24896687184010924,-1.01501644031451,0.3061121231968836,1.4255159341988486,185.9782532645616,72.45649792928455,0.050572368421052685,3,93.09404125922703,747,-0.06154194678960864,0.3105088186297179,113.11485574411113,-0.0794960171080116,0.7577243330078658,0.0814592703648176,13
1h,joint,later,729,729,0,0.25925925925925924,-0.0773383440944268,-1.0337764350453174,-0.021690393814540094,0.8917337941701997,-56.37965284483714,-38.47160130554134,0.0496736401673642,8,197.72460029664452,726,-0.25111479057281777,0.1747846728167136,25.444823400410094,0.0330274339907443,0.35424079887991344,0.03248375812093953,8
