timeframe,streams,skipped,bars_in_window,streams_ready_in_window,v9_long_signals,lines_born,line_breaks,joint_signals,streams_with_joint,pivot_ties,partial_buckets,gaps
5m,638,0,82622997,624,92432,205646,212030,13533,619,17878164,0,8
15m,638,0,27540770,623,26939,78870,81302,4867,609,5674549,4,8
30m,638,0,13770253,623,14259,42037,43438,2809,577,2786918,87,8
1h,638,0,6885049,622,7757,22641,23291,1528,519,1388723,247,8
4h,638,0,1721128,624,1834,6086,6177,354,247,351085,382,8
1d,638,0,286708,453,43,436,427,8,8,57208,604,92
