symbol,timeframe_min,arm,feature,feature_role,side,side_name,cohort,bucket,early_closed_n,q1_tercile,q2_tercile,n_rows,n_closed,n_censored,net_win_rate,mean_gross_bp,mean_net_bp,mean_net_r,net_r_ge_3_count,mfe_known_r_ge_3_count,net_r_ge_5_count,mfe_known_r_ge_5_count,net_r_ge_10_count,mfe_known_r_ge_10_count,matched_control_n,matched_target_net_bp,control_net_bp,paired_excess_bp
BTC_USDT_SWAP,1,joint,pre12_opp,primary,1,long,all,baseline,751,0.00317734206257,0.0416745997876,1239,1239,0,0.179176755448,2.09231877964,-17.9076812204,-1.50974693135,45,240,23,98,7,25,1239,-17.9076812204,-18.264261008,0.356579787615
BTC_USDT_SWAP,1,joint,pre12_opp,primary,1,long,all,low,751,0.00317734206257,0.0416745997876,402,402,0,0.199004975124,6.54056099284,-13.4594390072,-1.28326495587,16,88,8,31,5,8,402,-13.4594390072,-18.6533634533,5.19392444615
BTC_USDT_SWAP,1,joint,pre12_opp,primary,1,long,all,middle,751,0.00317734206257,0.0416745997876,441,441,0,0.167800453515,0.523314596802,-19.4766854032,-1.611663995,16,75,9,36,2,8,441,-19.4766854032,-17.2600231175,-2.21666228568
BTC_USDT_SWAP,1,joint,pre12_opp,primary,1,long,all,high,751,0.00317734206257,0.0416745997876,396,396,0,0.171717171717,-0.676020930134,-20.6760209301,-1.62616190377,13,77,6,31,0,9,396,-20.6760209301,-18.9876189036,-1.68840202655
BTC_USDT_SWAP,1,joint,pre12_opp,primary,1,long,earlier,baseline,751,0.00317734206257,0.0416745997876,751,751,0,0.202396804261,4.14708456818,-15.8529154318,-1.31133757988,31,153,16,62,4,16,751,-15.8529154318,-17.2893748227,1.43645939089
BTC_USDT_SWAP,1,joint,pre12_opp,primary,1,long,earlier,low,751,0.00317734206257,0.0416745997876,250,250,0,0.212,8.36315081823,-11.6368491818,-1.10864502503,11,54,6,16,3,5,250,-11.6368491818,-16.9528921943,5.31604301257
BTC_USDT_SWAP,1,joint,pre12_opp,primary,1,long,earlier,middle,751,0.00317734206257,0.0416745997876,250,250,0,0.18,2.08299916534,-17.9170008347,-1.5029378908,9,46,5,21,1,4,250,-17.9170008347,-17.6606347284,-0.256366106302
BTC_USDT_SWAP,1,joint,pre12_opp,primary,1,long,earlier,high,751,0.00317734206257,0.0416745997876,251,251,0,0.215139442231,2.00367734985,-17.9963226502,-1.32238563161,11,53,5,25,0,7,251,-17.9963226502,-17.2547361003,-0.741586549838
BTC_USDT_SWAP,1,joint,pre12_opp,primary,1,long,later,baseline,751,0.00317734206257,0.0416745997876,488,488,0,0.143442622951,-1.06983103018,-21.0698310302,-1.81508591282,14,87,7,36,3,9,488,-21.0698310302,-19.7645469201,-1.30528411005
BTC_USDT_SWAP,1,joint,pre12_opp,primary,1,long,later,low,751,0.00317734206257,0.0416745997876,152,152,0,0.177631578947,3.54288035897,-16.457119641,-1.57046878948,5,34,2,15,2,3,152,-16.457119641,-21.4501911819,4.99307154083
BTC_USDT_SWAP,1,joint,pre12_opp,primary,1,long,later,middle,751,0.00317734206257,0.0416745997876,191,191,0,0.151832460733,-1.51815735154,-21.5181573515,-1.75397564972,7,29,4,15,1,4,191,-21.5181573515,-16.7356623704,-4.78249498119
BTC_USDT_SWAP,1,joint,pre12_opp,primary,1,long,later,high,751,0.00317734206257,0.0416745997876,145,145,0,0.0965517241379,-5.31467105617,-25.3146710562,-2.15200910592,2,24,1,6,0,2,145,-25.3146710562,-21.9872987906,-3.32737226554
BTC_USDT_SWAP,1,joint,pre12_opp,primary,-1,short,all,baseline,751,0.00317734206257,0.0416745997876,0,0,0,,,,,0,0,0,0,0,0,0,,,
BTC_USDT_SWAP,1,joint,pre12_opp,primary,-1,short,all,low,751,0.00317734206257,0.0416745997876,0,0,0,,,,,0,0,0,0,0,0,0,,,
BTC_USDT_SWAP,1,joint,pre12_opp,primary,-1,short,all,middle,751,0.00317734206257,0.0416745997876,0,0,0,,,,,0,0,0,0,0,0,0,,,
BTC_USDT_SWAP,1,joint,pre12_opp,primary,-1,short,all,high,751,0.00317734206257,0.0416745997876,0,0,0,,,,,0,0,0,0,0,0,0,,,
BTC_USDT_SWAP,1,joint,pre12_opp,primary,-1,short,earlier,baseline,751,0.00317734206257,0.0416745997876,0,0,0,,,,,0,0,0,0,0,0,0,,,
BTC_USDT_SWAP,1,joint,pre12_opp,primary,-1,short,earlier,low,751,0.00317734206257,0.0416745997876,0,0,0,,,,,0,0,0,0,0,0,0,,,
BTC_USDT_SWAP,1,joint,pre12_opp,primary,-1,short,earlier,middle,751,0.00317734206257,0.0416745997876,0,0,0,,,,,0,0,0,0,0,0,0,,,
BTC_USDT_SWAP,1,joint,pre12_opp,primary,-1,short,earlier,high,751,0.00317734206257,0.0416745997876,0,0,0,,,,,0,0,0,0,0,0,0,,,
BTC_USDT_SWAP,1,joint,pre12_opp,primary,-1,short,later,baseline,751,0.00317734206257,0.0416745997876,0,0,0,,,,,0,0,0,0,0,0,0,,,
BTC_USDT_SWAP,1,joint,pre12_opp,primary,-1,short,later,low,751,0.00317734206257,0.0416745997876,0,0,0,,,,,0,0,0,0,0,0,0,,,
BTC_USDT_SWAP,1,joint,pre12_opp,primary,-1,short,later,middle,751,0.00317734206257,0.0416745997876,0,0,0,,,,,0,0,0,0,0,0,0,,,
BTC_USDT_SWAP,1,joint,pre12_opp,primary,-1,short,later,high,751,0.00317734206257,0.0416745997876,0,0,0,,,,,0,0,0,0,0,0,0,,,
BTC_USDT_SWAP,1,v9_both,pre12_opp,primary,1,long,all,baseline,1939,0.00305007223707,0.0390393163192,1586,1586,0,0.179066834805,1.23881667684,-18.7611833232,-1.51924473243,57,301,25,117,6,30,1586,-18.7611833232,-18.4894640815,-0.271719241687
BTC_USDT_SWAP,1,v9_both,pre12_opp,primary,1,long,all,low,1939,0.00305007223707,0.0390393163192,518,518,0,0.19305019305,3.39142834595,-16.6085716541,-1.28767183579,19,105,6,34,4,8,518,-16.6085716541,-17.7494532417,1.14088158768
BTC_USDT_SWAP,1,v9_both,pre12_opp,primary,1,long,all,middle,1939,0.00305007223707,0.0390393163192,531,531,0,0.184557438795,1.08512542482,-18.9148745752,-1.49290613106,21,94,11,43,2,11,531,-18.9148745752,-17.4878340566,-1.42704051856
BTC_USDT_SWAP,1,v9_both,pre12_opp,primary,1,long,all,high,1939,0.00305007223707,0.0390393163192,537,537,0,0.160148975791,-0.685657792029,-20.685657792,-1.76866848995,17,102,8,40,0,11,537,-20.685657792,-20.1937306703,-0.491927121742
BTC_USDT_SWAP,1,v9_both,pre12_opp,primary,1,long,earlier,baseline,1939,0.00305007223707,0.0390393163192,967,967,0,0.197518097208,2.61201120265,-17.3879887974,-1.3244230802,40,182,16,76,3,19,967,-17.3879887974,-17.8404690745,0.452480277156
BTC_USDT_SWAP,1,v9_both,pre12_opp,primary,1,long,earlier,low,1939,0.00305007223707,0.0390393163192,317,317,0,0.201892744479,4.10619325717,-15.8938067428,-1.12528293788,12,62,4,19,2,4,317,-15.8938067428,-15.7548800316,-0.138926711191
BTC_USDT_SWAP,1,v9_both,pre12_opp,primary,1,long,earlier,middle,1939,0.00305007223707,0.0390393163192,308,308,0,0.191558441558,2.96527551232,-17.0347244877,-1.38805560498,15,56,6,27,1,7,308,-17.0347244877,-18.0451817867,1.01045729898
BTC_USDT_SWAP,1,v9_both,pre12_opp,primary,1,long,earlier,high,1939,0.00305007223707,0.0390393163192,342,342,0,0.198830409357,0.908908516507,-19.0910914835,-1.45169971028,13,64,6,30,0,8,342,-19.0910914835,-19.589241622,0.498150138515
BTC_USDT_SWAP,1,v9_both,pre12_opp,primary,1,long,later,baseline,1939,0.00305007223707,0.0390393163192,619,619,0,0.150242326333,-0.906383818255,-20.9063838183,-1.82359455101,17,119,9,41,3,11,619,-20.9063838183,-19.5033221941,-1.40306162411
BTC_USDT_SWAP,1,v9_both,pre12_opp,primary,1,long,later,low,1939,0.00305007223707,0.0390393163192,201,201,0,0.179104477612,2.26416229193,-17.7358377081,-1.5437777096,7,43,2,15,2,4,201,-17.7358377081,-20.8951234288,3.15928572072
BTC_USDT_SWAP,1,v9_both,pre12_opp,primary,1,long,later,middle,1939,0.00305007223707,0.0390393163192,223,223,0,0.174887892377,-1.51167379916,-21.5116737992,-1.63772210429,6,38,5,16,1,4,223,-21.5116737992,-16.7180443667,-4.79362943248
BTC_USDT_SWAP,1,v9_both,pre12_opp,primary,1,long,later,high,1939,0.00305007223707,0.0390393163192,195,195,0,0.0923076923077,-3.48228177931,-23.4822817793,-2.32458296507,4,38,2,10,0,3,195,-23.4822817793,-21.2539114627,-2.22837031665
BTC_USDT_SWAP,1,v9_both,pre12_opp,primary,-1,short,all,baseline,1939,0.00305007223707,0.0390393163192,1587,1587,0,0.168872085696,-0.42708200176,-20.4270820018,-1.50029615413,47,293,22,121,7,23,1587,-20.4270820018,-19.6623423232,-0.764739678546
BTC_USDT_SWAP,1,v9_both,pre12_opp,primary,-1,short,all,low,1939,0.00305007223707,0.0390393163192,536,536,0,0.192164179104,1.53029478112,-18.4697052189,-1.17308324998,20,99,6,43,2,7,536,-18.4697052189,-21.4773194613,3.00761424241
BTC_USDT_SWAP,1,v9_both,pre12_opp,primary,-1,short,all,middle,1939,0.00305007223707,0.0390393163192,541,541,0,0.190388170055,-0.0342046507478,-20.0342046507,-1.52314765109,14,107,5,42,2,5,541,-20.0342046507,-20.3929981934,0.358793542613
BTC_USDT_SWAP,1,v9_both,pre12_opp,primary,-1,short,all,high,1939,0.00305007223707,0.0390393163192,510,510,0,0.121568627451,-2.9010047518,-22.9010047518,-1.81994999095,13,87,11,36,3,11,510,-22.9010047518,-16.9797686531,-5.9212360987
BTC_USDT_SWAP,1,v9_both,pre12_opp,primary,-1,short,earlier,baseline,1939,0.00305007223707,0.0390393163192,972,972,0,0.17695473251,-0.93726261701,-20.937262617,-1.38587222474,26,183,10,68,3,10,972,-20.937262617,-19.0132949457,-1.92396767134
BTC_USDT_SWAP,1,v9_both,pre12_opp,primary,-1,short,earlier,low,1939,0.00305007223707,0.0390393163192,329,329,0,0.206686930091,2.06881830885,-17.9311816911,-1.04826232552,12,56,3,23,2,4,329,-17.9311816911,-20.9452877701,3.01410607891
BTC_USDT_SWAP,1,v9_both,pre12_opp,primary,-1,short,earlier,middle,1939,0.00305007223707,0.0390393163192,339,339,0,0.206489675516,-0.519670393346,-20.5196703933,-1.34195133036,8,75,2,27,1,2,339,-20.5196703933,-20.4062771318,-0.113393261531
BTC_USDT_SWAP,1,v9_both,pre12_opp,primary,-1,short,earlier,high,1939,0.00305007223707,0.0390393163192,304,304,0,0.111842105263,-4.65622442106,-24.6562244211,-1.80022367223,6,52,5,18,0,4,304,-24.6562244211,-15.3690627078,-9.2871617133
BTC_USDT_SWAP,1,v9_both,pre12_opp,primary,-1,short,later,baseline,1939,0.00305007223707,0.0390393163192,615,615,0,0.156097560976,0.379252238927,-19.6207477611,-1.68114177914,21,110,12,53,4,13,615,-19.6207477611,-20.6881537882,1.06740602714
BTC_USDT_SWAP,1,v9_both,pre12_opp,primary,-1,short,later,low,1939,0.00305007223707,0.0390393163192,207,207,0,0.169082125604,0.674380575201,-19.3256194248,-1.37147012992,8,43,3,20,0,3,207,-19.3256194248,-22.3229157242,2.99729629938
BTC_USDT_SWAP,1,v9_both,pre12_opp,primary,-1,short,later,middle,1939,0.00305007223707,0.0390393163192,202,202,0,0.163366336634,0.780512610345,-19.2194873897,-1.82723454578,6,32,3,15,1,3,202,-19.2194873897,-20.3707132422,1.15122585254
BTC_USDT_SWAP,1,v9_both,pre12_opp,primary,-1,short,later,high,1939,0.00305007223707,0.0390393163192,206,206,0,0.135922330097,-0.31077766707,-20.3107776671,-1.84906067489,7,35,6,18,3,7,206,-20.3107776671,-19.3567327666,-0.954044900465
BTC_USDT_SWAP,3,joint,pre12_opp,primary,1,long,all,baseline,336,0.00581918152681,0.0350952263075,530,530,0,0.218867924528,1.91721069002,-18.08278931,-0.902015341581,22,98,11,42,3,10,530,-18.08278931,-21.6528218955,3.57003258557
BTC_USDT_SWAP,3,joint,pre12_opp,primary,1,long,all,low,336,0.00581918152681,0.0350952263075,191,191,0,0.240837696335,-1.003127661,-21.003127661,-0.857590953007,5,33,2,13,0,2,191,-21.003127661,-21.2958858941,0.292758233137
