symbol,timeframe_min,arm,feature,feature_role,cohort,early_closed_n,q90_top10,n_closed,auc_slope_net_positive,spearman_slope_net_return,top10_n,top10_n_rows,top10_n_closed,top10_n_censored,top10_net_win_rate,top10_mean_gross_bp,top10_mean_net_bp,top10_mean_net_r,top10_net_r_ge_3_count,top10_mfe_known_r_ge_3_count,top10_net_r_ge_5_count,top10_mfe_known_r_ge_5_count,top10_net_r_ge_10_count,top10_mfe_known_r_ge_10_count,top10_matched_control_n,top10_matched_target_net_bp,top10_control_net_bp,top10_paired_excess_bp
BTC_USDT_SWAP,1,joint,pre12_opp,primary,all,751,0.119469630181,1239,0.470647638789,-0.0116704775751,130,130,130,0,0.169230769231,-0.315825592663,-20.3158255927,-1.6733275415,4,28,1,12,0,4,130,-20.3158255927,-20.7763600912,0.460534498552
BTC_USDT_SWAP,1,joint,pre12_opp,primary,earlier,751,0.119469630181,751,0.489126614533,0.00550338555685,76,76,76,0,0.223684210526,2.91005539193,-17.0899446081,-1.38572459647,4,17,1,9,0,4,76,-17.0899446081,-20.6536667686,3.56372216057
BTC_USDT_SWAP,1,joint,pre12_opp,primary,later,751,0.119469630181,488,0.42956254272,-0.0437278937583,54,54,54,0,0.0925925925926,-4.85595438579,-24.8559543858,-2.07810205672,0,11,0,3,0,0,54,-24.8559543858,-20.9490395822,-3.90691480355
BTC_USDT_SWAP,1,joint,pre12_trend,single_feature,all,751,0.0481492537063,1239,0.501488213878,0.00139867763727,122,122,122,0,0.147540983607,-2.00693466172,-22.0069346617,-1.85006323947,4,24,0,12,0,4,122,-22.0069346617,-19.0837122234,-2.92322243828
BTC_USDT_SWAP,1,joint,pre12_trend,single_feature,earlier,751,0.0481492537063,751,0.503240049205,0.00557367481656,76,76,76,0,0.197368421053,1.55577066468,-18.4442293353,-1.57403367071,4,18,0,9,0,4,76,-18.4442293353,-18.9032777514,0.459048416122
BTC_USDT_SWAP,1,joint,pre12_trend,single_feature,later,751,0.0481492537063,488,0.495762132604,-0.00623440675505,46,46,46,0,0.0652173913043,-7.89314346186,-27.8931434619,-2.30611209221,0,6,0,3,0,0,46,-27.8931434619,-19.3818213511,-8.51132211077
BTC_USDT_SWAP,1,joint,pre12_inward,single_feature,all,751,0.106063745684,1239,0.463436888216,-0.0130181271882,123,123,123,0,0.146341463415,-1.61934953459,-21.6193495346,-1.84364368729,2,25,1,9,0,2,123,-21.6193495346,-21.0894833081,-0.529866226505
BTC_USDT_SWAP,1,joint,pre12_inward,single_feature,earlier,751,0.106063745684,751,0.487775678763,0.0055160211916,76,76,76,0,0.210526315789,1.15089399688,-18.8491060031,-1.6167739905,2,16,1,8,0,2,76,-18.8491060031,-19.7657660312,0.916660028119
BTC_USDT_SWAP,1,joint,pre12_inward,single_feature,later,751,0.106063745684,488,0.413568010936,-0.0445155455914,47,47,47,0,0.0425531914894,-6.09889226633,-26.0988922663,-2.21049681402,0,9,0,1,0,0,47,-26.0988922663,-23.2299623089,-2.86892995739
BTC_USDT_SWAP,1,joint,now12_opp,lag_diagnostic,all,751,0.115606268438,1239,0.471949825932,-0.00370013111578,126,126,126,0,0.126984126984,-3.16563878972,-23.1656387897,-1.95191839494,3,21,1,9,0,3,126,-23.1656387897,-18.552003349,-4.61363544076
BTC_USDT_SWAP,1,joint,now12_opp,lag_diagnostic,earlier,751,0.115606268438,751,0.492278797997,0.0108208063008,76,76,76,0,0.171052631579,-0.972796247504,-20.9727962475,-1.76055322436,3,13,1,8,0,3,76,-20.9727962475,-16.6494854172,-4.32331083035
BTC_USDT_SWAP,1,joint,now12_opp,lag_diagnostic,later,751,0.115606268438,488,0.427785372522,-0.0322979587344,50,50,50,0,0.06,-6.4987594539,-26.4987594539,-2.24279345424,0,8,0,1,0,0,50,-26.4987594539,-21.4438306053,-5.0549288486
BTC_USDT_SWAP,1,joint,pre3_opp,lag_diagnostic,all,751,0.105752766458,1239,0.478199438376,0.0116665785495,126,126,126,0,0.134920634921,-2.87597043407,-22.8759704341,-1.83638750781,3,20,1,10,0,3,126,-22.8759704341,-17.6726128635,-5.20335757056
BTC_USDT_SWAP,1,joint,pre3_opp,lag_diagnostic,earlier,751,0.105752766458,751,0.505326860557,0.0385278635578,76,76,76,0,0.171052631579,-1.10768207845,-21.1076820785,-1.72884211607,3,12,1,8,0,3,76,-21.1076820785,-16.683346963,-4.42433511544
BTC_USDT_SWAP,1,joint,pre3_opp,lag_diagnostic,later,751,0.105752766458,488,0.428058783322,-0.0320762638621,50,50,50,0,0.08,-5.56376873461,-25.5637687346,-1.99985650324,0,8,0,2,0,0,50,-25.5637687346,-19.1762970323,-6.38747170234
